"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20142015-95-3.1.9.9","nl.proc","speech",0.8193574,"2015-06-11","Voortman","GroenLinks","Mevrouw","mp",2,"commons","Ik ben het er helemaal mee eens dat dit niet de bedoeling kan zijn. Dit wetsvoorstel scheert echter iedereen over één kam. Dat is juist het probleem. Als wij zeggen dat wij het misbruik willen <em>aanpakken</em>, moeten wij de echte misbruikers <em>aanpakken</em>. Dat kan nu al via de rechter, zoals de heer Van Raak heel mooi heeft gezegd.  De Rijksuniversiteit"
"nl.proc.ob.d.h-tk-20112012-52-9.1.19.52","nl.proc","speech",0.77249753,"2012-02-09","Voordewind","ChristenUnie","De heer","mp",2,"commons","Mijn opmerking was speciaal gericht, als steun in de rug voor het kabinet, op het <em>aanpakken</em> van mensenhandel, met name waar het gaat om Bulgarije. Daar komen nog steeds heel veel vrouwen vandaan die hier achter de ramen verdwijnen. Mijn laatste vraag was hoe het kabinet aankijkt tegen die speciale vertegenwoordiger voor de mensenrechten binnen de EU."
"nl.proc.ob.d.h-tk-20132014-50-4.1.11.25","nl.proc","speech",0.77249753,"2014-02-05","Otwin van Dijk","PvdA","De heer","mp",2,"commons","Je weet op dit moment toch niet hoeveel dat is? Het gaat de gemeenten om het overgangsrecht. Zij zeggen dat ze niet precies weten hoe dat zit. Dit soort processen is, zoals ik al eerder aangaf, spannend, en dan moet je ze ook gezamenlijk <em>aanpakken</em>. Ik ga afronden."
"nl.proc.ob.d.h-tk-20072008-848-872.1.6.29","nl.proc","speech",0.77249753,"2007-10-16","Aptroot","VVD","De heer","mp",2,"commons","Wij zijn ook voor het verbieden en het hard <em>aanpakken</em> van kraken. Wij kunnen het CDA dus zeker steunen als het met het initiatief komt. De regeling criminaliteit wordt een regeling van 12 mln. per jaar. De heer Van der Vlies had aangekaart dat er iets zou moeten gebeuren. Maar waarom wil het CDA een grens van tien werknemers?"
"nl.proc.ob.d.h-tk-20092010-80-6801.1.6.54","nl.proc","speech",0.77249753,"2010-04-22","Jasper van Dijk","SP","De heer","mp",2,"commons","We willen allemaal zwakke opleidingen zo snel mogelijk <em>aanpakken</em>. Maar bij de heer Jan Jacob van Dijk is het niet zo dat je een school niet vooraf kúnt toetsen; volgens mij wíl hij niet vooraf toetsen, omdat hij veel waarde hecht aan artikel 23 van de Grondwet. Heeft de heer Jan Jacob van Dijk het aspect kapitaalvernietiging hierbij ook betrokken?"
"nl.proc.ob.d.h-tk-20092010-65-5657.1.6.7","nl.proc","speech",0.77249753,"2010-03-18","Roefs","PvdA","Mevrouw","mp",2,"commons","Nee, dat is niet waar. Het vluchtheuvelen kan veel beperkter dan nu wordt voorgesteld, en dan denk ik dat we daar veel minder problemen mee zullen hebben. De heer Koopmans van het CDA creëert vandaag niet alleen mist over zijn standpunt, hij zorgt bovendien voor enorme vertraging bij het <em>aanpakken</em> van de meest urgente knelpunten."
"nl.proc.ob.d.h-tk-20072008-1976-2017.1.12.5","nl.proc","speech",0.77249753,"2007-11-21","Tang","PvdA","De heer","mp",2,"commons","Voor alle duidelijkheid: het voorstel inzake de eigen woning blijft in de kern overeind. Daarover zijn wij het eens. Vervolgens vragen wij het kabinet om te komen met alternatieven voor het voorstel voor het aftoppen van pensioensparen. Wij willen dat die alternatieven gelijkwaardig zijn. Dat betekent een hogere bijdrage van de hogere inkomens en het <em>aanpakken</em> van excessen bij topinkomens."
"nl.proc.ob.d.h-tk-20122013-107-9.1.12.50","nl.proc","speech",0.77249753,"2013-09-05","Bergkamp","D66","Mevrouw","mp",2,"commons","Oké. Kan de staatssecretaris zeggen wat de reden is van het oneigenlijk gebruik door, in dit geval, de instelling en de bestuurders? Heeft dat te maken met onduidelijke regelgeving? Heeft het echt te maken met boevengedrag? Is er een analyse? Ik heb altijd geleerd dat, als je iets wilt kunnen <em>aanpakken</em>, je eerst moet weten wat de oorzaak is."
"nl.proc.ob.d.h-tk-20072008-2430-2451.1.11.8","nl.proc","speech",0.6827978,"2007-12-04","Madlener","PVV","De heer","mp",2,"commons","Er zijn miljarden gereserveerd voor investeringen, en dat weet u ook. Op dit moment is geld dan ook niet het probleem. Het probleem is: de procedures. Die wilt u <em>aanpakken</em> en die willen wij <em>aanpakken</em>. Ik snap niet waarom u mij deze vraag stelt. Probeert u ze eens aan uw eigen achterban te stellen. Voorzitter. Ik zei dus dat de fopspeen het symbool"
"nl.proc.ob.d.h-tk-20112012-13-2.1.14.32","nl.proc","speech",0.6827978,"2011-10-22","Tony van Dijck","PVV","De heer","mp",2,"commons"," een dertiende maand, een veertiende maand en vakantiecheques als men in Griekenland op vakantie ging. Die verhalen kennen we allemaal. Dat daar paal en perk aan wordt gesteld, is niet zielig, maar meer dan normaal. Griekenland moet eens een keer de corruptie en de belastingfraude <em>aanpakken</em>. Bovendien moeten ze die 200 mld. <em>aanpakken</em> die op"
