"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-59-4.1.4.6","nl.proc","speech",2.2855663,"2012-03-06","Çörüz","CDA","De heer","mp",2,"commons","Voorzitter. Omdat je niet zomaar jeugdcrimineel wordt, is het heel goed om daar vroeg bij te zijn. Het is ontzettend stil over de opvoedingskampen. Ik wil daarop een reactie van de minister. Wat denkt de minister over de stelselmatige aanpak van daders, zoals we die met drugsverslaafden hanteerden, waarbij iemand te horen kreeg dat hij bij het eerstvolgende delict voor langere tijd <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em> zou gaan?"
"nl.proc.ob.d.h-tk-20072008-4304-4308.1.5.2","nl.proc","speech",1.8470165,"2008-03-11","Kamp","VVD","De heer","mp",3,"commons"," noodkreet echter niet kunnen voorkomen. De vraag is waarom wij deze illegalen niet harder aanpakken. Ik heb gehoord dat er eentje net is uitgezet die al 17 jaar in Nederland verbleef. In een ander geval zou het om 30 jaar gaan. Waarom zetten wij deze mensen niet <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em>? Dat is iets anders dan levenslang. Hun straf hoeft maar één dag"
"nl.proc.ob.d.h-tk-20122013-92-5.1.6.8","nl.proc","speech",1.6325474,"2013-06-06","Van Tongeren","GroenLinks","Mevrouw","mp",2,"commons"," ambtenaren een hele set maatregelen opgesomd die geld besparen. Als de heer Van der Steur goed gekeken heeft, ziet hij daarin een post decriminaliseren softdrugs. Dat levert jaar in, jaar uit structureel 160 miljoen op, maakt Nederland veiliger en zorgt ervoor dat echt zware criminelen gewoon goed <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em> kunnen, dat er een"
"nl.proc.ob.d.h-tk-20142015-101-14.1.4.23","nl.proc","speech",1.6325474,"2015-06-25","Bontes","Groep Bontes/Van Klaveren","De heer","mp",2,"commons","Alles moet worden gedaan om de daders van de moord op bijna 200 landgenoten <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em> te krijgen. De betrokkenheid van Rusland bij de aanslag op de MH17 lijkt met de dag waarschijnlijker. Volgens de Russische oppositieleider Jasjin is het Westen te soft en zal Poetin de mogelijke daders nooit uitleveren. Gelooft de minister wel dat"
"nl.proc.ob.d.h-tk-20092010-72-6122.1.7.22","nl.proc","speech",1.3060379,"2010-04-06","Verdonk","Verdonk","Mevrouw","mp",2,"commons"," teleurgesteld in de antwoorden van de minister. Filmapparatuur in de cel is ongewenst. Het bekijken van porno is ongewenst. De heer Hirsch Ballin is nu al jaren minister van Justitie. Wat heeft hij er in die tijd aan gedaan om ervoor te zorgen dat mensen, dat beesten die niet met hun handen van kleine kinderen af kunnen blijven, gewoon voor altijd <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em> blijven?"
"nl.proc.ob.d.h-tk-20102011-91-8.1.8.1","nl.proc","speech",1.3060379,"2011-06-09","Van Toorenburg","CDA","Mevrouw","mp",3,"commons"," zich daardoor geïntimideerd of misschien zelfs bedreigd voelen. Er is hier een grote Surinaamse gemeenschap. Hoe beschermen we ook Nederlandse slachtoffers tegen mogelijk veertien mensen die op dit moment in Suriname <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em> horen te zitten? Wil de staatssecretaris deze punten meenemen in zijn beantwoording?"
"nl.proc.ob.d.h-tk-20072008-4304-4308.1.4.1","nl.proc","speech",1.1427832,"2008-03-11","Kamp","VVD","De heer","mp",4,"commons"," het OM? Wat de veiligheid betreft, mag er toch geen licht zitten tussen die twee belangrijke overheidsdiensten? Waarom laat de minister al die criminele illegalen niet oppakken en <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em> zetten? Waarom houdt hij die personen niet vast tot op het moment dat zij kunnen worden uitgezet? Dat betekent dat zij moeten worden vastgehouden totdat zij zeggen wie zij zijn en waar zij vandaan komen."
"nl.proc.ob.d.h-tk-20082009-3141-3169.1.9.9","nl.proc","speech",0.9795284,"2008-12-11","Graus","PVV","De heer","mp",6,"commons"," schuldig maken aan zware mishandeling en zelfs verminking, minimaal een jaar <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em> moeten. Bovendien zijn wij voor een levenslange gevangenisstraf, want wij vinden een straf van tien jaar veel te soft. Mensen die dit soort zieke acties hebben ondernomen, verbeteren echt niet in tien jaar. Het is een ziekte die volgens mij nooit meer"
"nl.proc.ob.d.h-tk-20142015-20-6.1.9.15","nl.proc","speech",0.9795284,"2014-11-05","Bisschop","SGP","De heer","mp",3,"commons"," verdacht veel op dat dit tekentafelproject toch nog niet goed is weggeborgen, definitief <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em>, in kluizen of in de versnipperaar. Minister, begin hier niet aan; ga hier niet mee door. Het is prima om naar taken te kijken, maar een opschaling omdat we die zo graag zouden willen zien, zou de SGP niet bepaald positief waarderen. Vanuit"
"nl.proc.ob.d.h-tk-20122013-91-3.1.7.1","nl.proc","speech",0.9235082,"2013-06-05","Dikkers","PvdA","Mevrouw","mp",6,"commons"," vetbolletjes die ik in de schuur had, hadden we ook muizen in de schuur. Ik heb de vetbolletjes <em>achter</em> <em>slot</em> <em>en</em> <em>grendel</em> gedaan en brillosponsjes in de regenpijp gedouwd. Voorkomen is beter dan genezen. Wil de staatssecretaris ons toezeggen dat zij in overleg met de staatssecretaris van Economische Zaken kijkt hoe ze tot maatregelen kan komen om het"
