"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20122013-79-11.1.11.9","nl.proc","speech",1.1497838,"2013-04-24","Leijten","SP","Mevrouw","mp",2,"commons","Je kunt <em>afbraak</em> anders noemen, maar het blijft <em>afbraak</em>. De bezuinigingen zijn niet van tafel; de rekening is alleen verschoven. Ik heb een heel andere vraag aan de heer Van 't Wout, want hij zit met een probleem op dit zorgdossier. Er is geen steun in de Eerste Kamer. Er is net op RTL Nieuws gezegd dat de VVD geen deelakkoorden meer wil sluiten. Welke garantie heeft hij dat dit zorgakkoord überhaupt de eindstreep haalt?"
"nl.proc.ob.d.h-tk-20122013-79-11.1.4.1","nl.proc","speech",0.71124434,"2013-04-24","Leijten","SP","Mevrouw","mp",5,"commons"," geveegd. Nee, dan het zorgakkoord, de weerloze patiënt en het zorgpersoneel! Wij slopen de huishoudelijke verzorging voor de helft, maar de dure medicijnprijzen laten wij bestaan. De helft bezuinigen, hoe ziet de staatssecretaris dat? De helft minder uren, de helft minder toegang, de helft minder salaris? Je kunt <em>afbraak</em> anders noemen, maar <em>afbraak</em>"
"nl.proc.ob.d.h-tk-20132014-32-11.1.15.1","nl.proc","speech",0.69687426,"2013-12-04","Madlener","PVV","De heer","mp",9,"commons","Voorzitter. De <em>afbraak</em> van ons pensioenstelsel gaat maar door. De PVV zegt: handen af van ons pensioenstelsel. We hadden het beste pensioenstelsel in de wereld, maar dat wordt nu afgebroken. Er wordt uiteindelijk maar liefst 3 miljard op bezuinigd. Ik heb daarover twee moties. De eerste luidt als volgt. Motie De Kamer, gehoord de beraadslaging"
"nl.proc.ob.d.h-tk-20132014-26-6.1.6.66","nl.proc","speech",0.69687426,"2013-11-20","Kooiman","SP","Mevrouw","mp",2,"commons","Jammer dat de Partij van de Arbeid, die voorheen voor resocialisatie was, de <em>afbraak</em> in het afbraakplan niet ziet. Als je mensen die tikkende tijdbommen zijn niet opsluit, niet meer behandelt, niet meer begeleidt naar resocialisate en de halfopen en open inrichtingen sluit, dan vind je de SP inderdaad niet aan je zijde. Maar ik ben blij dat de"
"nl.proc.ob.d.h-tk-20112012-72-6.1.11.25","nl.proc","speech",0.6570193,"2012-04-04","Leijten","SP","Mevrouw","mp",2,"commons","Dat er een draai is gemaakt door de PVV, die eerst in haar verkiezingsprogramma had staan \"geen <em>afbraak</em> van de AWBZ\", maar die wel hiermee heeft ingestemd, was ons natuurlijk al opgevallen. De heel simpele vraag is: wist mevrouw Dille dat 35% een psychiatrische aandoening heeft? Ik weet een hoop van de AWBZ, maar ik schrok daarvan. Wist ik dat het"
"nl.proc.ob.d.h-tk-20132014-39-8.1.18.1","nl.proc","speech",0.58072853,"2013-12-19","Madlener","PVV","De heer","mp",9,"commons"," pensioenstelsel — Nederland had het beste pensioenstelsel ter wereld — wordt hier afgebroken. Daar kunnen wij natuurlijk als PVV nooit mee akkoord gaan. Daarom dien ik de volgende motie in. Motie De Kamer, gehoord de beraadslaging, van mening dat het pensioenakkoord een onacceptabele <em>afbraak</em> van het Nederlandse pensioenstelsel betekent; verzoekt de regering"
"nl.proc.ob.d.h-tk-20122013-79-11.1.16.1","nl.proc","speech",0.49276447,"2013-04-24","Leijten","SP","Mevrouw","mp",11,"commons","Voorzitter. <em>Afbraak</em> anders noemen, maakt de <em>afbraak</em> niet minder. Bezuinigingen verschuiven, de rekening op nul laten uitkomen, is geen geven en nemen van het kabinet, maar verdelen en heersen. De mensen met een persoonsgebonden budget zijn boos. Terecht, want zij worden weer gekort. De mensen die werken in de verpleeghuizen zullen we ook nog wel"
"nl.proc.ob.d.h-tk-20142015-105-5.1.24.1","nl.proc","speech",0.49276447,"2015-08-19","Roemer","SP","De heer","mp",15,"commons"," verliezers. De Grieken kunnen nog meer <em>afbraak</em> tegemoetzien. Nederlanders draaien weer op voor de kosten. De democratie in Europa is ook een verliezer, omdat wij opnieuw zien dat de gewone mensen steeds minder te zeggen hebben over hun toekomst, hun land en de samenwerking met andere landen. Het lijkt de premier echter allemaal weinig uit te maken"
"nl.proc.ob.d.h-tk-20082009-6677-6690.1.10.1","nl.proc","speech",0.46458283,"2009-05-20","Jasper van Dijk","SP","De heer","mp",3,"commons"," succes was? Bij het vmbo zie je dat het opnemen van zorgleerlingen deels wordt teruggedraaid. Deze leerlingen hebben meer steun en structuur nodig dan het vmbo kan bieden. Feitelijk wordt de <em>afbraak</em> van het speciaal onderwijs deels teruggedraaid. De SP houdt daarvoor al langer een pleidooi. Erkent de staatssecretaris dat ook op dit punt in feite een fout wordt hersteld?"
"nl.proc.ob.d.h-tk-20132014-49-25.1.7.5","nl.proc","speech",0.46458283,"2014-02-04","Voordewind","ChristenUnie","De heer","mp",3,"commons"," onderwijs en nog een keer 20 miljoen via het Gemeentefonds. Dat heeft de complete <em>afbraak</em> van de opgebouwde infrastructuur tot gevolg. Daarin hebben de scholen zo geïnvesteerd. De staatssecretaris zegt dat de Wmo een alternatieve manier zou zijn om vrijwilligerswerk te stimuleren. Ik vraag hem of de Wmo dan de huidige infrastructuur vervangt van scholen"
"nl.proc.ob.d.h-tk-20062007-5100-5101.1.4.1","nl.proc","speech",0.46458283,"2007-07-05","Vendrik","GroenLinks","De heer","mp",9,"commons"," steunpunten te versterken; overwegende dat een herverdeling van de huidige middelen leidt tot <em>afbraak</em> van bestaand aanbod en verlies van opgebouwde deskundigheid en ervaring; verzoekt de regering: - de huidige overgangsregeling, die de overheveling van de oude CVTM-subsidieregeling naar de Wmo regelt, met één jaar te verlengen; - in haar voortgangsbrief in"
"nl.proc.ob.d.h-tk-20052006-6046-6070.1.6.4","nl.proc","speech",0.46458283,"2006-07-07","Marijnissen","SP","De heer","mp",3,"commons","Ik geloof dat mevrouw Van der Laan het toch zelf ook niet meer snapt. Voorzitter. De meerderheid van de mensen is het negativisme van Balkenende en de zijnen beu. En wat krijgen ze? Weer een nieuwe editie. Tegen de mensen die de <em>afbraak</em> zat zijn en willen werken aan opbouw, hoop en nieuw vertrouwen in de toekomst wordt al jaren gezegd dat na het"
"nl.proc.ob.d.h-tk-20112012-58-3.1.3.7","nl.proc","speech",0.46458283,"2012-03-01","Karabulut","SP","Mevrouw","mp",2,"commons"," werkloosheid. Het aantal uitkeringsgerechtigden groeit. Mensen die geen beperking hebben en snel kunnen meekomen, komen al niet eens aan de bak. Als gevolg van de kabinetsplannen zullen nog eens duizenden mensen hun baan kwijt raken. Is de staatssecretaris bereid om zijn plannen voor de wet <em>afbraak</em> van sociale werkplaatsen en armoede te herzien in het"
"nl.proc.ob.d.h-tk-20112012-36-12.1.48.1","nl.proc","speech",0.46458283,"2011-12-14","De Jong","PVV","De heer","mp",11,"commons",", te bewerkstelligen dat het UWV bij toepassing van de verschillende startersregelingen vraag en aanbod op de sectorale arbeidsmarkt maatgevend laat zijn bij de afweging ter voorkoming van <em>afbraak</em> van bestaande werkgelegenheid, en gaat over tot de orde van de dag. Deze motie is voorgesteld door het lid De Jong. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 52 (33000-XV) ."
"nl.proc.ob.d.h-tk-20082009-5622-5662.1.7.9","nl.proc","speech",0.46458283,"2009-04-01","Leijten","SP","Mevrouw","mp",2,"commons"," dat wordt gewaardeerd. De <em>afbraak</em> daarvan, die nu al jarenlang plaatsvindt, wordt echter niet gewaardeerd. Toen het Nederlandse publiek een keuze kreeg tussen allerlei flitsende reclames, koos het voor de thuiszorgspot van de SP. Dat is een groot compliment aan de thuiszorg, maar ook een groot signaal aan deze staatssecretaris."
"nl.proc.ob.d.h-tk-20072008-7987-8001.1.15.1","nl.proc","speech",0.46458283,"2008-09-10","Roemer","SP","De heer","mp",9,"commons","Voorzitter. Ik voeg aan de woorden van de heer Madlener toe dat een prijsverhoging van 3,6% eigenlijk veel te veel is. Dit is geen beleid dat het openbaar vervoer aantrekkelijk maakt. Met dit beleid worden mensen niet verleid om met het openbaar vervoer te reizen. De regering verschuilt zich achter een model dat al jaren leidt tot <em>afbraak</em> van het"
"nl.proc.ob.d.h-tk-20122013-50-5.1.5.1","nl.proc","speech",0.46458283,"2013-02-07","Paulus Jansen","SP","De heer","mp",2,"commons"," doorstroming, maar drijft vooral de huur op voor alle huurders, van de minima tot anderhalf keer modaal. Dit wetsvoorstel leidt tot ongelijke behandeling van gelijke gevallen en staat in veel meer opzichten haaks op de beginselen van behoorlijk bestuur. Dit wetsvoorstel leidt in combinatie met de verhuurderheffing tot een <em>afbraak</em> van de sociale huursector"
"nl.proc.ob.d.h-tk-20142015-100-5.1.6.1","nl.proc","speech",0.41063708,"2015-06-24","Wilders","PVV","De heer","mp",6,"commons","Mevrouw de voorzitter. Het kabinet-Rutte II praat na jaren van <em>afbraak</em>, jaren van belastingverhoging nu eindelijk over belastingverlaging. Maar wie gelooft die mensen in vak K nog? €1.000 gingen we krijgen, zei premier Rutte jaren geleden. Daar hebben we nooit wat van gezien. Integendeel, Nederland ging alleen maar meer betalen. De btw werd"
