"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20072008-2476-2491.1.9.16","nl.proc","speech",1.014377,"2007-12-05","Van Raak","SP","De heer","mp",2,"commons"," gevestigd, die geen of nauwelijks <em>belasting</em> betalen. Hier kun je ook het eindpunt zien van de concurrentie op de <em>belastingen</em>. Grote multinationals gaan onderhandelen en steeds minder <em>belasting</em> betalen en het eindpunt is nul. Ik wacht nog steeds op informatie van de minister, maar is de heer Leerdam het met mij eens dat inzichtelijk moet worden"
"nl.proc.ob.d.h-tk-20112012-105-57.1.4.1","nl.proc","speech",0.8414967,"2012-07-05","De Mos","PVV","De heer","mp",9,"commons","Voorzitter. Om het kabinet te houden aan een eerdere toezegging om een <em>belasting</em> af te schaffen, dien ik één motie in. Motie De Kamer, gehoord de beraadslaging, van mening dat er zo veel mogelijk \"kleine\" <em>belastingen</em> moeten worden afgeschaft; verzoekt de regering, de eerder voorgenomen afschaffing van de <em>Belasting</em> op leidingwater (Bol) per 1"
"nl.proc.ob.d.h-tk-20132014-22-29.1.19.1","nl.proc","speech",0.8323611,"2013-11-12","Omtzigt","CDA","De heer","mp",2,"commons","Voorzitter. Vandaag spreken wij over het belastingverhogingsplan 2014. Wat staat er dit jaar in? De <em>belasting</em> op arbeid, de <em>belasting</em> op ontslagvergoedingen, de <em>belasting</em> op drinkwater, de <em>belasting</em> op bier, de <em>belasting</em> op wijn, de <em>belasting</em> op diesel, de <em>belasting</em> op lpg, de <em>belasting</em> op sterke drank, de <em>belasting</em> op afval, de <em>belasting</em> op"
"nl.proc.ob.d.h-tk-20142015-23-7.1.7.3","nl.proc","speech",0.81991124,"2014-11-12","Bashir","SP","De heer","mp",9,"commons","Ik heb zo min mogelijk overwegingen om tijd te besparen en om iedereen dat zelf te laten invullen.  Motie De Kamer,  gehoord de beraadslaging,  overwegende dat diverse <em>belastingen</em> al progressief zijn;  spreekt uit dat de toekomstige <em>belasting</em> op vermogen en/of vermogenswinsten ook progressief moet zijn,  en gaat over tot de orde van de dag.  Deze motie is voorgesteld door het lid Bashir. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund.  Zij krijgt nr. 57 ( 34002 )."
"nl.proc.ob.d.h-tk-20082009-7115-7121.1.6.1","nl.proc","speech",0.8019387,"2009-06-03","Leerdam","PvdA","De heer","mp",12,"commons","Voorzitter. Ik heb twee moties. Een paar jaar terug is er een rapport verschenen waarin heel duidelijk werd gesteld dat de inning van <em>belastingen</em> op de Nederlandse Antillen achterbleef, omdat er niet genoeg mensen waren die de <em>belasting</em> zouden kunnen innen. In 2004 heb ik toen een motie ingediend. Nu blijkt dat men nog steeds achterloopt. De"
"nl.proc.ob.d.h-tk-20092010-31-2905.1.24.16","nl.proc","speech",0.7675668,"2009-12-01","Van Bommel","SP","De heer","mp",12,"commons"," gedaan. De nieuwe Europese president denkt daar echter anders over en ook de Europese Commissie ziet die <em>belastingen</em> wel degelijk als een mogelijkheid. Dat is in een mededeling aan het Europees Parlement bekendgemaakt. De SP-fractie is zeer tegen een <em>belasting</em> op sms-berichten, een sms-taks. Daarom dien ik de volgende motie in. De Kamer, gehoord de"
"nl.proc.ob.d.h-tk-20102011-28-57.1.7.16","nl.proc","speech",0.712639,"2010-11-30","Samsom","PvdA","De heer","mp",2,"commons","Nee, want dit is de Wet <em>belastingen</em> op milieugrondslag; die kun je op elke gewenste dag van het jaar wijzigen. De staatssecretaris – een andere staatssecretaris – heeft tijdens de behandeling van het Belastingplan een enorme kerstboom opgezet over de groene <em>belasting</em>. Over drie maanden stuurt hij ons het plan. Wij hebben alvast één kerstbal"
"nl.proc.ob.d.h-tk-20102011-28-57.1.8.6","nl.proc","speech",0.712639,"2010-11-30","Slob","ChristenUnie","De heer","mp",2,"commons"," lastig om langs de tolpoortjes gaan. Maar is het geen ordinaire belastingverhoging voor de automobilist? Bij rekeningrijden gingen substantieel de <em>belastingen</em> omlaag. Een aantal <em>belastingen</em> kon daardoor langzaam maar zeker worden afgebouwd. De tolpoortjes en de <em>belasting</em> daarvoor komt er extra bij. Daarvoor moet extra betaald worden. Dat zal vele malen het kwartje van Kok, dat zo verfoeid is, gaan overstijgen. Wordt het dan de euro van Aptroot? Hoe gaan wij dat doen? Voor de automobilist is het toch een lastenverzwaring?"
"nl.proc.ob.d.h-tk-20112012-10-17.1.6.22","nl.proc","speech",0.702781,"2011-10-11","Van Raak","SP","De heer","mp",2,"commons","Ik vind het heel goed dat de VVD en de PvdA elkaar vragen om keuzen te maken, want dan komen ze er misschien nog wel een keer uit. Wat betreft de <em>belastingen</em> zijn er speciale regelingen voor lonen, inkomsten, vermogen, schenkingen, successie, auto's en invoer. Er zijn dus allerlei uitzonderingen. Daar is terecht veel boosheid over en kritiek. Die"
"nl.proc.ob.d.h-tk-20142015-72-3.1.3.1","nl.proc","speech",0.6930212,"2015-04-07","Klein","Klein","De heer","mp",3,"commons","Voorzitter. Afgelopen vrijdag heeft in De Gelderlander een artikel gestaan over de toegenomen gemeentelijke <em>belastingen</em> op de elektriciteits- en gasinfrastructuur. Iedere gebruiker betaalt zo'n €20 verborgen <em>belasting</em>. Deze verborgen <em>belasting</em>, de precariobelasting, is de Kamer al lange tijd een doorn in het oog. Moties zijn hierover aangenomen"
