"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20072008-997-1018.1.13.2","nl.proc","speech",1.0379214,"2007-10-18","Brinkman","PVV","De heer","mp",9,"commons","Voorzitter. Ik heb ook niet voldoende antwoord gekregen op de vraag over gemeentelijke overheden die na de maximering van de ozb andere gemeentelijke <em>belastingen</em> hebben ingevoerd. Ik wil gewoon hebben dat de gemeenten dergelijke gemeentelijke <em>belastingen</em> opheffen. Daarvoor dien ik de volgende motie in. De Kamer, gehoord de beraadslaging"
"nl.proc.ob.d.h-tk-20132014-22-29.1.19.46","nl.proc","speech",0.73392123,"2013-11-12","Bashir","SP","De heer","mp",2,"commons","Het valt mij op dat de coalitie- en gedoogpartijen hier een beetje mist creëren, want in feite worden de <em>belastingen</em> verhoogd, maar zij doen net alsof de <em>belastingen</em> verlaagd worden. Als de <em>belastingen</em> verlaagd worden, gaat het om inkomens boven de €145.000. Dat sluit aan bij het amendement dat vandaag in stemming is gebracht. Ik wil graag terug"
"nl.proc.ob.d.h-tk-20072008-2476-2491.1.9.16","nl.proc","speech",0.73392123,"2007-12-05","Van Raak","SP","De heer","mp",2,"commons","Hartverwarmend, een VVD'er die voor fatsoenlijke <em>belastingen</em> pleit en dan ook nog pleit voor hogere <em>belastingen</em>. De rest van de partij zou daar een voorbeeld aan kunnen nemen! De heer Leerdam sprak over het kleine geld, mijn vraag ging over het grote geld. Er zijn speciale economische zones op de Nederlandse Antillen waar grote multinationals zijn"
"nl.proc.ob.d.h-tk-20082009-7115-7121.1.6.1","nl.proc","speech",0.726545,"2009-06-03","Leerdam","PvdA","De heer","mp",12,"commons","Voorzitter. Ik heb twee moties. Een paar jaar terug is er een rapport verschenen waarin heel duidelijk werd gesteld dat de inning van <em>belastingen</em> op de Nederlandse Antillen achterbleef, omdat er niet genoeg mensen waren die de belasting zouden kunnen innen. In 2004 heb ik toen een motie ingediend. Nu blijkt dat men nog steeds achterloopt. De"
"nl.proc.ob.d.h-tk-20082009-7115-7121.1.7.27","nl.proc","speech",0.71909297,"2009-06-03","Van Raak","SP","De heer","mp",2,"commons"," gaat niet alleen om het bekijken of de begroting klopt, want die klopt als alles op nul staat. Het gaat ook om de vraag of de eilanden bestuurlijk en financieel een toekomst hebben. Daar hoort bij dat <em>belastingen</em> geïnd worden en dat multimiljonairs en multinationale ondernemingen <em>belastingen</em> krijgen opgelegd."
"nl.proc.ob.d.h-tk-20092010-1245-1271.1.12.7","nl.proc","speech",0.71909297,"2009-10-28","Tang","PvdA","De heer","mp",2,"commons","Het is een feit van het leven dat mensen aan <em>belastingen</em> kunnen ontkomen. Dat doe je in de regel door een boot te kopen, is mij opgevallen. Boten zitten niet in box 3. Wij proberen met dit amendement zo veel mogelijk aan te sluiten bij het gangbare begrip in de <em>belastingen</em>. Er moet geen extra, onnodige informatie worden opgevraagd. Dit is de"
"nl.proc.ob.d.h-tk-20092010-38-3712.1.5.96","nl.proc","speech",0.67796737,"2009-12-16","Tang","PvdA","De heer","mp",2,"commons","Dat vind ik een uitstekend voorstel. Bedrijven met volatiele winsten zien hun <em>belastingen</em> omlaag gaan, maar burgers met nog volatielere rendementen niet. Ik krijg echter mailtjes van mensen die mij schrijven dat ze echt de 4% van de vermogensrendementsheffing niet hebben gehaald. Het is met andere woorden niet alleen niet effectief omdat de belastingopbrengsten niet meebewegen met de economie, maar ook niet eerlijk."
"nl.proc.ob.d.h-tk-20102011-8-2.1.7.1","nl.proc","speech",0.67796737,"2010-10-06","Neppérus","VVD","Mevrouw","mp",3,"commons","Voorzitter. Ik meen dat het een belangrijk moment is dat de Tweede Kamer erover praat hoe het verder zal gaan met de <em>belastingen</em> op Bonaire, Sint-Eustatius en Saba. Per 10 oktober zal er al wat in hun positie veranderen. Wij gaan het er nu over hebben hoe de <em>belastingen</em> er vorm zullen worden gegeven. De VVD heeft altijd gezegd dat de eilanden"
"nl.proc.ob.d.h-tk-20102011-8-2.1.7.19","nl.proc","speech",0.67796737,"2010-10-06","Neppérus","VVD","Mevrouw","mp",2,"commons","Dan wacht ik daar rustig op. Tot slot denk ik dat de Kamer de komende weken belangrijke besluiten gaat nemen. Wij vinden het goed dat er toch <em>belastingen</em> komen. Los van de discussie over amendementen, die wij al dan niet steunen, zijn wij verder gewoon akkoord met de voorstellen."
"nl.proc.ob.d.h-tk-20142015-3-6.1.17.1","nl.proc","speech",0.67796737,"2014-09-18","Bontes","Groep Bontes/Van Klaveren","De heer","mp",12,"commons","Voorzitter. Ik dank de minister-president voor het beantwoorden van de vragen.  Dit kabinet is compleet de weg kwijt. Dit kabinet is visieloos. Nederland snakt naar lage <em>belastingen</em>, meer veiligheid en een streng immigratiebeleid. Nederland verkeert nog steeds in een economische crisis. De werkloosheid is torenhoog en er is nauwelijks sprake van"
