"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20052006-6307-6341.1.7.40","nl.proc","speech",0.7694054,"2006-09-06","Rambocus","CDA","Mevrouw","mp",3,"commons","Ik zal nog eens kijken naar het woord <em>collectief</em>, maar herhaal wat ik heb gezegd. De minister heeft aangegeven dat <em>collectief</em> kan worden afgeweken van de regeling. Wij gaan ervan uit dat de zondag in beginsel een vrije rustdag moet blijven, maar ik wil er wel met de heer Van der Sande naar kijken. Ik heb het al gehad over de aard van de arbeid, de"
"nl.proc.ob.d.h-tk-20062007-1912-1930.1.9.8","nl.proc","speech",0.7694054,"2006-12-20","Depla","PvdA","De heer","mp",10,"commons","Dan het punt van het particulier opdrachtgeverschap. De minister is van mening dat het niet nodig is om de stimuleringsregeling die er nu is voor het stedelijk gebied open te stellen voor het landelijk gebied. Wij zijn dat wel van mening en daarom deze motie. De Kamer, gehoord de beraadslaging, overwegende dat (<em>collectief</em>) particulier"
"nl.proc.ob.d.h-tk-20122013-13-16.1.11.18","nl.proc","speech",0.7694054,"2012-10-23","Heerma","CDA","De heer","mp",2,"commons"," aangeven of die wel of niet klopt. Mijn volgende vraag is of het voor kleinere bedrijven, waar dus ook specifiek het signaal vandaan komt, niet veel moeilijker is om dat ondernemersrisico op te vangen dan voor grotere bedrijven. Als binnen wat de staatssecretaris het <em>collectief</em> noemt en wat ik de sector noem – het is namelijk niet het gehele"
"nl.proc.ob.d.h-tk-20102011-34-2.1.6.2","nl.proc","speech",0.76167256,"2010-12-14","Ulenbelt","SP","De heer","mp",2,"commons","Ik vroeg niet of de minister met de werknemers wil overleggen, maar of hij de directie van Midreth wil aanspreken dat de handelswijze nu niet in de geest is van de Wet melding <em>collectief</em> ontslag. Dat is namelijk ook de reden dat de minister met een wetswijziging komt. Mijn tweede vraag is of het niet een beetje laat is om pas in het voorjaar met die wet te komen. Wil de minister mij toezeggen dat hij dit allemaal wat sneller doet?"
"nl.proc.ob.d.h-tk-20062007-4345-4355.1.7.3","nl.proc","speech",0.76167256,"2007-06-14","Van der Vlies","SGP","De heer","mp",2,"commons","Ik ben voor zes dagen in de week beschikbaar. Ik vind het zelfs onbegrijpelijk dat de VVD de zondag als een normale dag of, zoals nu maar weer blijkt, als een werkdag wil beschouwen. Denkt de VVD werkelijk dat de samenleving er beter van wordt als er geen enkel <em>collectief</em> rustmoment is in deze samenleving? Mevrouw de Voorzitter. Ik sluit mij graag aan bij de vraagstelling van mijn collega Van Dijk over de vergunning inzake de beveiliging."
"nl.proc.ob.d.h-tk-20102011-32-30.1.12.13","nl.proc","speech",0.76167256,"2010-12-08","Azmani","VVD","De heer","mp",2,"commons","Dat is zeker wat anders. Gelukkig is de WAO verleden tijd en hebben we nu de WIA, die veel beter werkt. Kort gezegd: in cao's staat al veel over arbeidstijden en arbeidsvermeerdering. Je kunt het <em>collectief</em> opleggen, maar dat werkt nooit want het draagvlak moet van onderaf komen. Bovendien is het maatwerk. Volgens mij gebeurt het al en maakt de heer Klaver het hiermee monddood."
"nl.proc.ob.d.h-tk-20092010-99-8020.1.5.9","nl.proc","speech",0.7538603,"2010-09-14","Van Bommel","SP","De heer","mp",2,"commons","Terwijl er in Frankrijk <em>collectief</em> Roma op grond van hun gemeenschappelijke etniciteit worden uitgezet, dreigt er in Nederland een regering gevormd te worden met de PVV, die tientallen miljoenen moslims op grond van hun collectieve identiteit wil uitzetten uit Europa. Dit betoogde haar leider Wilders vorig jaar nog in Denemarken. Dat toont nog"
"nl.proc.ob.d.h-tk-20102011-34-2.1.5.1","nl.proc","speech",0.7538603,"2010-12-14","Ulenbelt","SP","De heer","mp",2,"commons"," ontslagbescherming. Een van de onderdelen van de ontslagbescherming is dat ontslagen van meer dan 20 mensen aangekondigd moeten worden bij het UWV. De Wet melding <em>collectief</em> ontslag schrijft dat voor. Deze werkgever houdt zich niet aan die wet. Hij wil met 50 mensen, die hij willekeurig kiest, een individuele afspraak over hun ontslag maken. Dat is"
"nl.proc.ob.d.h-tk-20112012-36-12.1.12.1","nl.proc","speech",0.7538603,"2011-12-14","Hamer","PvdA","Mevrouw","mp",12,"commons"," werkzaamheden naar het buitenland worden verplaatst, terwijl er voor uitvoering van deze taken over het algemeen voldoende Nederlandse werknemer beschikbaar zijn; constaterende dat bedrijven momenteel simpel <em>collectief</em> ontslag kunnen aanvragen voor deze overtollige werknemers in Nederland, omdat offshoring een erkende grond voor ontslag is; van mening dat"
"nl.proc.ob.d.h-tk-20092010-52-4812.1.11.15","nl.proc","speech",0.7538603,"2010-02-09","Aasted Madsen-van Stiphout","CDA","Mevrouw","mp",3,"commons"," <em>collectief</em> verhaal. Dat <em>collectief</em> verhaal is immers belangrijk. Ik ben ervan overtuigd dat, als mensen massaal worden gedupeerd doordat tussenhandelaren woekerwinsten willen maken, belangenorganisaties zoals een Consumentenbond die mensen <em>collectief</em> zullen bijstaan bij het verhalen van het te veel betaalde."
"nl.proc.ob.d.h-tk-20132014-71-9.1.7.9","nl.proc","speech",0.6528622,"2014-04-03","Rutte","VVD","De heer","mp",2,"commons"," dat ook doen. Tot slot concludeer ik dat als middelen €3 per maand kosten, mensen voor hun eigen gezondheid dat bedrag zelf zouden kunnen en moeten dragen, juist om dure middelen in dit land betaalbaar en <em>collectief</em> gefinancierd te houden."
"nl.proc.ob.d.h-tk-20122013-29-5.1.11.3","nl.proc","speech",0.6528622,"2012-11-29","Schut-Welkzijn","VVD","Mevrouw","mp",2,"commons"," zij eerder in loondienst zijn geweest. Daarnaast heeft collega Lodders deze zomer het initiatief genomen zzp'ers de mogelijkheid te geven <em>collectief</em> pensioen op te bouwen. De VVD-fractie wacht dit initiatief af."
