"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-96-10.1.12.1","nl.proc","speech",1.5189071,"2012-06-14","Gerbrands","PVV","Mevrouw","mp",9,"commons","Voorzitter. Wij hadden gevraagd naar de gratis hotels en opvangplaatsen voor <em>daders</em> die zich schuldig hebben gemaakt aan ouderenmishandeling. De staatssecretaris heeft geantwoord dat zij dit zelf moeten betalen. Zolang er nog gemeenten zijn die appartementen voor dit soort <em>daders</em> reserveren en speciale potjes op de begroting hebben staan om <em>daders</em>"
"nl.proc.ob.d.h-tk-20092010-1150-1153.1.5.8","nl.proc","speech",1.2888353,"2009-10-27","Fritsma","PVV","De heer","mp",2,"commons"," geholpen met een keiharde aanpak van de <em>daders</em>. Veel <em>daders</em> hebben een dubbele nationaliteit. Waarom zet het kabinet die mensen niet gewoon het land uit? Als deze staatssecretaris zich daar hard voor maakt, heeft deze staatssecretaris geen opvanghuizen meer nodig omdat de mensen dan niet meer hoeven vluchten voor de <em>daders</em>. Die moeten immers uit Nederland weg!"
"nl.proc.ob.d.h-tk-20102011-18-24.1.16.2","nl.proc","speech",1.0740294,"2010-11-04","Schouw","D66","De heer","mp",10,"commons","Voorzitter. Ik dien nog een motie in, aangespoord door de minister, die zegt dat hij onvoldoende capaciteit heeft om ook de <em>daders</em> te pakken. Ik heb voor hem een steuntje in de rug. De Kamer, gehoord de beraadslaging, constaterende dat het aantal geweldsincidenten bij moskeeën toeneemt; overwegende dat deze incidenten niet op zichzelf staan, noch"
"nl.proc.ob.d.h-tk-20072008-4408-4413.1.7.8","nl.proc","speech",1.0740294,"2008-03-12","Bosma","PVV","De heer","mp",10,"commons","Ik antwoord met het voorlezen van mijn tweede motie. De Kamer, gehoord de beraadslaging, constaterende dat het overgrote gedeelte van de geweldsdelicten in 2007 tegen homo's in de grote steden gepleegd werd door Marokkaanse <em>daders</em>; constaterende dat de mogelijkheid, de strafmaat voor anti-homogeweld te verhogen met 25% reeds door de minister van"
"nl.proc.ob.d.h-tk-20102011-18-24.1.13.45","nl.proc","speech",0.9921459,"2010-11-04","Çörüz","CDA","De heer","mp",2,"commons","Voorzitter, als ik een vraag mag stellen, zie ik af van mijn tweede termijn. Ik dank de minister voor zijn heldere stellingname en voor zijn duidelijke antwoorden. Zijn er echter nog <em>daders</em> gepakt? Wij zijn nu weer een aantal weken verder."
"nl.proc.ob.d.h-tk-20062007-2766-2770.1.5.1","nl.proc","speech",0.98436415,"2007-03-08","Fritsma","PVV","De heer","mp",13,"commons","Voorzitter. Tijdens het algemeen overleg over eergerelateerd geweld is veel gesproken over zaken als preventie en slachtofferhulp, maar door veel partijen is met geen woord gerept over de noodzaak om <em>daders</em> van eergerelateerd geweld hard aan te pakken. Het is ook belangrijk om deze door immigranten uit landen als Turkije, Afghanistan en Irak naar"
"nl.proc.ob.d.h-tk-20072008-5554-5557.1.4.1","nl.proc","speech",0.9113443,"2008-04-22","De Roon","PVV","De heer","mp",4,"commons"," kleine criminaliteit hebben begaan, maar over <em>daders</em> van moord, doodslag, verkrachting, brandstichting enzovoorts. De PVV-fractie vindt dat dit niet deugt. <em>Daders</em> van ernstige, zware misdrijven behoren alleen op vrije voeten te kunnen komen als wij zeker weten dat zij niet meer gevaarlijk zullen zijn. Hier geldt: bij twijfel niet oversteken. Neem"
"nl.proc.ob.d.h-tk-20112012-105-47.1.3.1","nl.proc","speech",0.8769414,"2012-07-05","Helder","PVV","Mevrouw","mp",10,"commons","Voorzitter. Ik dien de volgende motie in. Motie De Kamer, gehoord de beraadslaging, overwegende dat reclasseringsbegeleiding niet alleen in het belang is van de samenleving in het kader van recidivevermindering, maar dat die tevens in het belang is van de dader; overwegende dat niet valt in te zien waarom <em>daders</em> geen eigen bijdrage hoeven te"
"nl.proc.ob.d.h-tk-20072008-110-172.1.10.3","nl.proc","speech",0.8769414,"2007-09-20","Wilders","PVV","De heer","mp",10,"commons"," <em>daders</em> verantwoordelijk is voor 30% van de gepleegde misdrijven; overwegende dat burgers recht hebben op bescherming door de overheid tegen misdadigers door langdurige verwijdering van die misdadigers uit de samenleving; verzoekt de regering, zware minimumstraffen in te voeren voor alle recidiverende misdadigers en voorts ook voor de <em>daders</em> die een"
"nl.proc.ob.d.h-tk-20132014-26-7.1.11.1","nl.proc","speech",0.8769414,"2013-11-20","Van Klaveren","PVV","De heer","mp",12,"commons"," niet de slachtoffers, maar de <em>daders</em> hun huis uit zouden moeten; overwegende dat gemeenten de mogelijkheid hebben, overlastplegers uit huis te zetten en overige sancties toe te passen; voorts overwegende dat dit volgens de rapporten \"Overlast en verloedering; evaluatie wetten Victoria en Victor\" en \"Woonoverlast\" zelden gebeurt; verzoekt de regering"
