"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20122013-83-4.1.9.16","nl.proc","speech",1.577232,"2013-05-16","Klaver","GroenLinks","De heer","mp",2,"commons","De zorg die u hebt voor ons als Kamerleden is groot, voorzitter. Het heeft een minuut of tien geduurd maar toen kwam toch het verhaal van de PvdA over <em>eerlijk</em> <em>delen</em>, als een belangrijke pijler onder het kabinetsbeleid. De heer Nijboer zei zo-even echter iets wat ik niet helemaal begreep. Hij zei: in tijden van crisis loopt de werkloosheid op en dat moeten we <em>eerlijk</em> <em>delen</em>. Hoe wil hij dat dan doen?"
"nl.proc.ob.d.h-tk-20122013-100-6.1.6.4","nl.proc","speech",1.1265943,"2013-06-26","Pechtold","D66","De heer","mp",11,"commons","Ja, poëtisch bijna. Voorzitter. Een van de pijlers van het kabinet, die wij vandaag ook weer hebben gehoord, is het <em>eerlijk</em> <em>delen</em>. Wij zijn een beetje bezorgd dat dit uiteindelijk leidt tot verder nivelleren. Bij de VVD hebben ze inmiddels geleerd hoe je dat moet doen. Wij willen daar toch een rem op zetten. Daarom dienen wij de volgende motie in"
"nl.proc.ob.d.h-tk-20132014-72-20.1.12.13","nl.proc","speech",1.1265943,"2014-04-08","Nijboer","PvdA","De heer","mp",2,"commons","Het is kortom een afspraak die de PvdA-fractie met instemming heeft omarmd. Eerdere sprekers in het debat dreigden de suggestie te wekken dat <em>eerlijk</em> <em>delen</em> geen pijler meer zou zijn van het kabinetsbeleid, maar niets is minder waar. Ik wijs ter illustratie op de inkomensverdeling voor dit jaar. Laten wij bijvoorbeeld eens kijken naar de gegevens"
"nl.proc.ob.d.h-tk-20122013-83-7.1.24.1","nl.proc","speech",1.1038325,"2013-05-16","Klaver","GroenLinks","De heer","mp",11,"commons"," goed moeten kunnen meten en dat dit begint bij het stellen van concrete, heldere doelen. Men noemt dat \"SMART-doelen\" en geen \"smarties\". Bij de pijler <em>eerlijk</em> <em>delen</em> mis ik deze doelen, de indicatoren. Ik kan niet goed bepalen op welke wijze we straks kunnen zeggen dat dit kabinet eerlijk heeft gedeeld. Daarom dien ik de volgende motie in. Motie De"
"nl.proc.ob.d.h-tk-20122013-7-16.1.14.3","nl.proc","speech",0.96585345,"2012-10-02","Samsom","PvdA","De heer","mp",2,"commons"," willen een aantal forse stappen zetten in het kader van het elkaar iets gunnen. De heer Roemer had het over fundamentele dingen. Voor sociaaldemocraten gaat het dan over <em>eerlijk</em> <em>delen</em> en niet zozeer over de overheidsfinanciën en de omvang daarvan. Die punten zijn ook belangrijk, maar de heer Roemer vroeg naar het fundamentele punt. Wat stroomt er"
"nl.proc.ob.d.h-tk-20122013-103-14.1.7.17","nl.proc","speech",0.955947,"2013-07-03","Nijboer","PvdA","De heer","mp",2,"commons"," pijlers onder het regeerakkoord — gezonde overheidsfinanciën, vooruitgang mogelijk maken en <em>eerlijk</em> <em>delen</em> — waar te maken. In deze tijden is dat een hele klus. Daarmee wenst de PvdA-fractie de minister bij het maken van de komende begroting veel succes."
"nl.proc.ob.d.h-tk-20132014-32-11.1.7.5","nl.proc","speech",0.7966225,"2013-12-04","Karabulut","SP","Mevrouw","mp",2,"commons"," al niet rond kan komen, dus ik ga daar wat voor regelen. Tot mijn grote spijt moet ik constateren dat de minister daar niet in is geslaagd. Is de minister alsnog bereid om voor al die groepen — ik bedoel niet alleen deze groep, maar ook de huurders met lage inkomens en de chronisch zieken en gehandicapten — toch iets van dat verhaal over <em>eerlijk</em> <em>delen</em> waar te maken?"
"nl.proc.ob.d.h-tk-20132014-55-25.1.24.92","nl.proc","speech",0.7966225,"2014-02-18","Voortman","GroenLinks","Mevrouw","mp",2,"commons"," inkomens juist groter zijn geworden. Mijn vraag aan de heer Kerstens is: als u kunt kiezen, waarom hebt u er dan niet voor gekozen om die verlaging van het hoogste tarief niet door te laten gaan? Dat is 800 miljoen voor de hoogste inkomens. Als de PvdA daarin een andere keuze had gemaakt, dan had dat geld gegeven kunnen worden aan mensen met een arbeidsbeperking. Dat zou pas echt <em>eerlijk</em> <em>delen</em> zijn geweest."
"nl.proc.ob.d.h-tk-20132014-79-5.1.16.4","nl.proc","speech",0.7966225,"2014-04-23","Merkies","SP","De heer","mp",10,"commons","-landen; overwegende dat <em>eerlijk</em> <em>delen</em> ook inhoudt dat vermogenden een grotere bijdrage leveren aan de financiële situatie van het land; verzoekt de regering, een verschuiving van belasting op arbeid naar belasting op vermogen te realiseren, en gaat over tot de orde van de dag. Deze motie is voorgesteld door de leden Merkies en Klaver. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 1144 ( 21501-07 )."
"nl.proc.ob.d.h-tk-20082009-115-177.1.6.395","nl.proc","speech",0.7966225,"2008-09-18","Kant","SP","Mevrouw","mp",2,"commons"," inkomens er zelfs op vooruitgaan. Dan moet je wel willen kiezen voor <em>eerlijk</em> <em>delen</em>. Dan uw opmerking over de participatie. Ik weet niet waar u het vandaan haalt, maar wij zorgen voor een veel grotere en bredere inkomensafhankelijke arbeidskorting. Daardoor verandert de overgang, het gat tussen uitkering en loon uit werk, waardoor onze voorstellen veel beter zijn voor de participatie dan die van het kabinet. Wij doen daar dus meer aan. Waar haalt u het dan vandaan dat onze voorstellen niet goed zijn voor de participatie?"
"nl.proc.ob.d.h-tk-20152016-37-34.1.17.1","nl.proc","speech",0.788616,"2015-12-15","Krol","50PLUS","De heer","mp",9,"commons"," dit kabinet zegt te staan, namelijk <em>eerlijk</em> <em>delen</em>. Daarom dien ik ter aanmoediging een motie in.  Motie De Kamer,  gehoord de beraadslaging,  overwegende dat het streven naar een evenwichtige inkomensverhouding (\"<em>eerlijk</em> <em>delen</em>\") een van de drie pijlers onder het regeerakkoord van dit kabinet is, en dat het kabinet zegt daarvoor te staan;  roept de"
"nl.proc.ob.d.h-tk-20132014-14-6.1.5.11","nl.proc","speech",0.6759566,"2013-10-16","Van Ojik","GroenLinks","De heer","mp",3,"commons"," huishoudens die het geld echt niet nodig hebben. Dat brengt mij bij de effecten van het akkoord en het <em>eerlijk</em> <em>delen</em> van de lasten. In 2014 gaat iedereen er een beetje op vooruit. We hebben er vanochtend al over gesproken. Als we echter wat verder vooruitkijken, dan zien we dat 2017 een weinig fraai beeld laat zien. Ik heb vanochtend in het debat met"
"nl.proc.ob.d.h-tk-20132014-14-6.1.5.17","nl.proc","speech",0.6759566,"2013-10-16","Van Ojik","GroenLinks","De heer","mp",3,"commons"," zo. Ja, wel als je alleen naar de bovenste regel van de motie kijkt en de rest vergeet. Dus het spijt me, ik kan het niet mooier maken dan het is: die motie was niet denivellerend en dat zouden wij allebei fijn moeten vinden. Het lijkt alsof de heer Samsom zich daar wat minder gemakkelijk bij voelt dan ik. Over het <em>eerlijk</em> <em>delen</em> heb ik volgens mij"
