"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20062007-4117-4147.1.6.11","nl.proc","speech",0.99832505,"2007-06-07","Azough","GroenLinks","Mevrouw","mp",2,"commons","Ik pleit voor een sluitende aanpak en voor een terugkeerbeleid dat echte terugkeer betekent. Als mensen hier blijven, moeten ze worden opgevangen. Het is van wezenlijk belang dat het asielbeleid een grondige herijking krijgt, waardoor procedures sneller en zorgvuldiger verlopen. De rechterlijke toetsing mag niet langer marginaal zijn. Het begrip \"<em>eigen</em> <em>verantwoordelijkheid</em>\" mag voor mensen niet leiden tot kafkaëske toestanden."
"nl.proc.ob.d.h-tk-20102011-48-2.1.11.11","nl.proc","speech",0.99832505,"2011-02-03","Ouwehand","PvdD","Mevrouw","mp",2,"commons","Die principes zijn mooi en ik ben ook helemaal niet bang voor <em>eigen</em> <em>verantwoordelijkheid</em>. Ik voel mij dan ook helemaal niet aangesproken. Er ligt een plan om de Europese portemonnee te trekken voor een opslagregeling voor varkensvlees. Moet ik uit uw antwoord opmaken dat de VVD de partij is van de varkens- en kippenboeren, maar niet van de agrariërs rondom Moerdijk?"
"nl.proc.ob.d.h-tk-20062007-294-351.1.5.16","nl.proc","speech",0.99832505,"2006-09-28","Bos","PvdA","De heer","mp",2,"commons","Ik begrijp de minister-president heel goed, als hij zegt dat het belangrijk is om mensen ertoe aan te sporen om hun <em>eigen</em> <em>verantwoordelijkheid</em> te nemen. Zeker waar mensen de keuze hebben tussen verantwoord gedrag en onverantwoord gedrag, moeten wij stimuleren dat zij kiezen voor het verantwoorde gedrag. Mijn concrete vraag is: welke verantwoordelijkheid wilt u dat een chronisch zieke gaat nemen?"
"nl.proc.ob.d.h-tk-20052006-5562-5586.1.6.17","nl.proc","speech",0.882403,"2006-06-15","Ten Hoopen","CDA","De heer","mp",2,"commons","Ik ga uit van de <em>eigen</em> <em>verantwoordelijkheid</em> van mensen. Dus een raad van bestuur, een raad van commissarissen, maar ook een bestuurder van een onderneming heeft een <em>eigen</em> <em>verantwoordelijkheid</em>. Op basis daarvan operationaliseert hij dat bedrijf en daarop wordt hij aangesproken. Ik kom op mijn tweede punt. De afschrikkende werking van"
"nl.proc.ob.d.h-tk-20062007-3368-3394.1.14.83","nl.proc","speech",0.882403,"2007-04-11","Vendrik","GroenLinks","De heer","mp",2,"commons","Tien jaar geleden was de voorganger van de minister van Financiën als partijleider van de PvdA, toen minister-president, heel helder. Exhibitionistische zelfverrijking is voorwaar een scherpe kwalificatie. Hij deed een beroep op de <em>eigen</em> <em>verantwoordelijkheid</em>. Wij zijn nu bijna tien jaar later. Het heeft niet echt gewerkt, hè? Een herhaalde oproep"
"nl.proc.ob.d.h-tk-20082009-1567-1593.1.14.1","nl.proc","speech",0.882403,"2008-11-05","Wiegman-van Meppelen Scheppink","ChristenUnie","Mevrouw","mp",2,"commons"," benzo's zo lezen dat afbouw de volle aandacht heeft en wordt meegenomen in de plannen rondom de versterking van de eerste lijn? Bij roken in de auto benadrukt de minister heel sterk de <em>eigen</em> <em>verantwoordelijkheid</em>, en die is inderdaad groot. Maar die <em>eigen</em> <em>verantwoordelijkheid</em> gaat nu net niet op voor de kinderen. Het zijn de ouders die zorg dragen"
"nl.proc.ob.d.h-tk-20052006-6307-6341.1.7.1","nl.proc","speech",0.87353444,"2006-09-06","Rambocus","CDA","Mevrouw","mp",2,"commons"," wetsvoorstel leidt immers tot deregulering en lastenvermindering en het vergroot daarnaast de <em>eigen</em> <em>verantwoordelijkheid</em> van werkgevers en werknemers op het terrein van de arbeids- en rusttijden."
"nl.proc.ob.d.h-tk-20102011-21-50.1.9.182","nl.proc","speech",0.87353444,"2010-11-11","Beertema","PVV","De heer","mp",2,"commons","Het beroep op de <em>eigen</em> <em>verantwoordelijkheid</em> van de burger spreekt ons erg aan. Verder wil ik de minister bedanken voor het gepassioneerde verhaal dat zij bij de beantwoording van onze vragen heeft gehouden. Gisteren ben ik mijn bijdrage begonnen met ons verhaal van de agenda van hoop en optimisme. Het plan dat er nu is, past daar erg goed bij. Ik verheug mij op samenwerking."
"nl.proc.ob.d.h-tk-20132014-38-8.1.5.1","nl.proc","speech",0.86457485,"2013-12-18","Visser","VVD","Mevrouw","mp",3,"commons","Voorzitter. Ik hoop dat ik in deze plenaire zaal voor de laatste keer de volgende woorden hoef uit te spreken. Dit is namelijk de derde keer dat wij over de huisvesting van EU-arbeidsmigranten spreken. De eerste keer sprak ik hierover tijdens mijn maidenspeech. Toen heb ik gezegd dat het de <em>eigen</em> <em>verantwoordelijkheid</em> van mensen zelf is om, als zij"
"nl.proc.ob.d.h-tk-20092010-33-3125.1.6.15","nl.proc","speech",0.86457485,"2009-12-03","Van der Ham","D66","De heer","mp",2,"commons"," is dat namelijk heel handig. Hij kan dan misschien ook aangepast worden. Dit vraag ik echt van de minister, anders blijft het een beetje hangen. Dan de Groene Sint van Oxfam Novib. De minister heeft het steeds over de <em>eigen</em> <em>verantwoordelijkheid</em> van ondernemingen, de <em>eigen</em> <em>verantwoordelijkheid</em> van supermarkten en de <em>eigen</em> <em>verantwoordelijkheid</em> van"
