"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20122013-15-11.1.18.10","nl.proc","speech",0.9118899,"2012-10-25","Fritsma","PVV","De heer","mp",2,"commons"," voordeel van Curaçao zijn, maar dat hoeven we niet te pikken. Sancties zijn dus op hun plaats, want anders komt het nooit van de grond dat wij ook eisen kunnen stellen aan de instroom van mensen uit bijvoorbeeld Curaçao. In het Statuut wordt het woord \"<em>gelijkheid</em>\" vaak genoemd. Dat is ook een oplossing. Als we <em>gelijkheid</em> willen, kunnen we precies"
"nl.proc.ob.d.h-tk-20122013-27-7.1.71.1","nl.proc","speech",0.7370719,"2012-11-27","Van Klaveren","PVV","De heer","mp",2,"commons","Ik kom er bijna. … per ongeluk een man zou passeren. Middeleeuwse achterlijkheid en ook nog eens gesubsidieerd. Vervolgens horen wij de minister van Binnenlandse Zaken zeggen dat wij niet van alles een principekwestie moeten maken. Hij gooit zo het fundamentele idee van de <em>gelijkheid</em> van man en vrouw te grabbel. Graag wil ik een dertigledendebat aanvragen over de halalwoningen en de uitlatingen van de minister."
"nl.proc.ob.d.h-tk-20132014-73-3.1.10.1","nl.proc","speech",0.7295119,"2014-04-09","Bisschop","SGP","De heer","mp",2,"commons"," en <em>gelijkheid</em>, die twee begrippen staan hier vandaag centraal. In hoeverre is het wenselijk om onder druk van de <em>gelijkheid</em> de vrijheid in te perken? De hele teneur van dit wetsvoorstel en de toelichting die we hier vandaag bespreken, laat zien dat de indieners meer met <em>gelijkheid</em> dan met vrijheid hebben, als ik het een beetje plagerig mag zeggen"
"nl.proc.ob.d.h-tk-20082009-662-678.1.19.1","nl.proc","speech",0.63177586,"2008-10-07","Wiegman-van Meppelen Scheppink","ChristenUnie","Mevrouw","mp",2,"commons","Voorzitter. De fractie van de ChristenUnie is blij dat de minister in zijn beantwoording heeft aangetoond geen last van slappe knieën te hebben, met zijn pleidooi voor rechtsgelijkheid en economische <em>gelijkheid</em> en met zijn opkomen voor de bescherming van mensen tegen de schadelijke gevolgen van tabaksrook. In december informeert de minister de"
"nl.proc.ob.d.h-tk-20082009-5667-5675.1.8.1","nl.proc","speech",0.595644,"2009-04-02","Fritsma","PVV","De heer","mp",10,"commons",". De <em>gelijkheid</em> van man en vrouw wordt daarmee al in de inburgeringsfase van nieuwkomers overboord gegooid. Een fouter signaal kun je natuurlijk niet geven. Ik heb hierover al eerder een motie ingediend en voel mij geroepen dat nogmaals te doen. De Kamer, gehoord de beraadslaging, constaterende dat aparte inburgeringscursussen voor mannen en vrouwen"
"nl.proc.ob.d.h-tk-20132014-75-2.1.4.2","nl.proc","speech",0.595644,"2014-04-15","Yücel","PvdA","Mevrouw","mp",2,"commons"," bijvoorbeeld meldingen en tips van deze vormen van geweld heel serieus op te pakken. Kan de minister dit toezeggen? Deze minister gaat in het bijzonder over onze rechtsstaat, en meer specifiek over onze vrijheid en <em>gelijkheid</em>, het mooiste wat een samenleving kan hebben. Dat kan niet zonder het waarborgen van onze veiligheid. Ik wil hier nog een punt aan"
"nl.proc.ob.d.h-tk-20092010-93-7686.1.15.1","nl.proc","speech",0.5264799,"2010-06-30","Vermeij","PvdA","Mevrouw","mp",4,"commons","Voorzitter. Net als de fracties van het CDA en de VVD vindt de minister dat sprake is van <em>gelijkheid</em>. De minister heeft twee vragen niet beantwoord. Overigens gaat het om dezelfde vragen die mevrouw Blanksma heeft gesteld. De ene vraag betreft de wens om tot een evaluatie te komen, zeker omdat wij te maken krijgen met een nieuwe instelling en wij"
"nl.proc.ob.d.h-tk-20132014-42-14.1.18.1","nl.proc","speech",0.5264799,"2014-01-16","Yücel","PvdA","Mevrouw","mp",2,"commons"," van antisemitisme en andere vormen van discriminatie hebben wij allemaal een taak: ouders, leraren, burgers onder elkaar, politici, politie, justitie en onderwijs. Elkaar durven aanspreken en corrigeren bij antisemitische uitingen is daarbij belangrijk, maar ook stevig handhaven waar nodig. De vrijheid en <em>gelijkheid</em> van eenieder in onze samenleving"
"nl.proc.ob.d.h-tk-20072008-260-303.1.8.37","nl.proc","speech",0.5264799,"2007-09-26","Omtzigt","CDA","De heer","mp",2,"commons"," mevrouw Kant gaf, namelijk dat er straks een <em>gelijkheid</em> bestaat in de gemiddelde betalingen tussen mensen die chronisch ziek en gehandicapt zijn en mensen die niet als zodanig worden aangemerkt. Ik kom straks in mijn betoog terug op het feit dat beide regelingen inderdaad vragen om een definitie van chronisch zieken en gehandicapten. Ik vind dat er enige vorm van zwaluwstaarten kan worden toegepast tussen wat bij de ene definitiebepaling gebeurt en wat bij de andere."
"nl.proc.ob.d.h-tk-20152016-23-3.1.11.5","nl.proc","speech",0.5264799,"2015-11-11","Segers","ChristenUnie","De heer","mp",2,"commons"," de Nederlandse rechtsstaat, fundamentele vrijheden en ieders <em>gelijkheid</em> voor de wet. Wij mogen nooit water bij de wijn doen als die waarden in het geding zijn.  Daarnaast hebben wij altijd de vrijheid gehad om op basis van persoonlijke overtuiging te kiezen voor de eed of de belofte. Die variatie geldt ook voor Kamerleden. Die ruimte voor verschil"
