"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20082009-1183-1215.1.13.13","nl.proc","speech",0.9107413,"2008-10-29","Brinkman","PVV","De heer","mp",2,"commons","Ik ben het absoluut niet eens met wat mevrouw Ortega-Martijn zegt. Ik probeer juist verder te kijken na het moment dat een kind naar school gaat. Ik kijk naar de arbeidsparticipatie van dat <em>individu</em>. Ik probeer juist een gulden middenweg te vinden in de zorgtaken voor dat kind. Die 20 uur lijken mij buitengewoon reëel en buitengewoon terecht. Alle"
"nl.proc.ob.d.h-tk-20062007-2826-2873.1.24.12","nl.proc","speech",0.7436172,"2007-03-13","Brinkman","PVV","De heer","mp",2,"commons","Ik kan mij allerlei scenario's bedenken waarbij je bijna kunt stellen dat de minister helderziende is. Dat kan zij namelijk niet zo stellen. De minister kan niet zeggen dat het gedrag geen maatregel meer vergt, ook niet na twee jaar. Ik vind het heel gevaarlijk om dat te stellen. De minister wijst hier op de proportionaliteit, maar dat <em>individu</em>"
"nl.proc.ob.d.h-tk-20072008-542-560.1.8.1","nl.proc","speech",0.63751894,"2007-10-04","Brinkman","PVV","De heer","mp",3,"commons"," rechtsbescherming van het <em>individu</em>. Dit raakt met name soms het recht op privacy van de burger. Het is echter van belang te bedenken dat ook deze burger als <em>individu</em> deel uitmaakt van de maatschappij. Deze individuele burger heeft derhalve zelf ook buitengewoon veel belang bij effectieve, slagvaardige en professionele inlichtingen- en veiligheidsdiensten, een"
"nl.proc.ob.d.h-tk-20082009-5178-5207.1.7.15","nl.proc","speech",0.63098013,"2009-03-18","Çörüz","CDA","De heer","mp",2,"commons"," die voorbeelden anders tegen die zaken aan en zegt u bij die thuisblijfplicht dat dat vrijheidsbeneming is? Al die bevoegdheden zullen, vermoed ik, middels een beschikking worden uitgereikt aan een <em>individu</em>. Is het individuele gemeenteraadslid daarvan op de hoogte en, zo ja, heeft hij of zij dan weet van het aantal beschikkingen dat er is?"
"nl.proc.ob.d.h-tk-20112012-105-37.1.7.1","nl.proc","speech",0.59489375,"2012-07-05","Schouw","D66","De heer","mp",12,"commons"," mensenrechtenschendingen en hun schuld dan wel onschuld niet per <em>individu</em> is vastgesteld; van mening dat een collectieve 1F-tegenwerping en omgekeerde bewijslast zonder rechterlijke toetsing, geen recht doet aan het individuele relaas van deze groep Afghaanse vluchtelingen; van mening dat ten aanzien van Afghaanse Khad/Wad (onder)officieren die langdurig in Nederland"
"nl.proc.ob.d.h-tk-20142015-31-10.1.5.1","nl.proc","speech",0.59489375,"2014-12-02","Öztürk","Groep Kuzu/Öztürk","De heer","mp",21,"commons","Voorzitter. Ik dien twee moties in.  Motie De Kamer,  gehoord de beraadslaging,  constaterende dat steeds meer geluiden opgaan dat het integratiebeleid is mislukt en \"integratie\" een vaag begrip blijft;  overwegende dat steeds meer mensen zich afvragen wanneer een <em>individu</em> volgens de maatstaven van de regering is geïntegreerd;  van mening dat de"
"nl.proc.ob.d.h-tk-20112012-46-7.1.10.38","nl.proc","speech",0.52581674,"2012-01-26","Brinkman","PVV","De heer","mp",2,"commons","Nee, dat vind ik geen goede suggestie. Als er een bepaald bedrag staat van een <em>individu</em> dat net die grote prijs heeft gewonnen en als dat een nummer wordt, komen er allerlei suggesties dat het nummer uit Amerika komt of van een bedrijf is, bijvoorbeeld van de Shell. Dat werpt allemaal extra vragen op. Wij wensen geen invloed van de overheid op"
"nl.proc.ob.d.h-tk-20062007-2997-3020.1.9.18","nl.proc","speech",0.52581674,"2007-03-21","Pechtold","D66","De heer","mp",2,"commons"," houden, kennelijk in het belang van het kind. In antwoord op zijn vraag het volgende. Ik vind het prima om mediation ter beschikking te stellen, maar niet verplicht en ook niet met een bedenktermijn, zoals hij net suggereerde; net zoals bij abortus gaat die bedenktermijn namelijk in tegen de zelfstandigheid die D66 het <em>individu</em> wil toekennen. Waar de SGP dus geen helderheid verschaft, doet D66 dat vandaag in dit debat wel."
"nl.proc.ob.d.h-tk-20102011-77-7.1.6.15","nl.proc","speech",0.52581674,"2011-04-21","Lucas","VVD","Mevrouw","mp",2,"commons","De ambitie van die mensen spreekt mij zeer zeker aan. Ik vind dat ook fantastisch. Dat geldt ook voor de studerende moeders. Ook hun ambitie is zeer groot, voor henzelf en voor hun kind. Ik ben wel van de school dat het allemaal keuzes zijn die het <em>individu</em> maakt. Ik zit daar wat anders in dan de heer Van Dijk. De verantwoordelijkheid van de"
"nl.proc.ob.d.h-tk-20112012-33-7.1.24.1","nl.proc","speech",0.52581674,"2011-12-07","Van Hijum","CDA","De heer","mp",2,"commons","Voorzitter. Ik zal het kort houden. Uiteraard bedank ik de premier voor zijn antwoorden op mijn vragen en voor de toezegging om in de notitie over burgerschap nadrukkelijk in te gaan op het thema <em>individu</em> en samenleving. Wij keken al uit naar die notitie, maar nu nog meer. Wij delen de visie van de premier dat wij in dit land te maken hebben met"
"nl.proc.ob.d.h-tk-20082009-2645-2693.1.11.11","nl.proc","speech",0.52581674,"2008-12-02","Dijsselbloem","PvdA","De heer","mp",2,"commons"," dan slechts de wettelijke geboden en verboden. Een mooi voorbeeld hiervan is de Leerplichtwet. Daarin staat wat ons betreft slechts een minimumbepaling. Onze ambities in het onderwijs liggen ver daarboven. Migratie en integratie dwingen ons om onze instituties opnieuw te overdenken, niet alleen gericht op sociaaleconomische verbetering, maar ook op culturele verheffing. Elk <em>individu</em> dat wil emanciperen, kan rekenen op onze steun, ook als het emanciperen ingaat tegen de groepsdruk, de cultuur of de religie."
