"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20102011-59-8.1.5.21","nl.proc","speech",1.0224674,"2011-03-10","Jasper van Dijk","SP","De heer","mp",2,"commons","Voorzitter. Als het om kapsels gaat, hebt u met mij toch geen last? Dat is hartstikke helder. Tijdens het debat over de regeringsverklaring was er een discussie tussen de heer Wilders en de heer Cohen. De heer Wilders werd toen heel erg boos op de heer Cohen, omdat hij gezegd zou hebben dat de PVV <em>integratie</em> niet belangrijk vond. Ik heb even opgezocht wat de heer Wilders toen zei: wij willen dat mensen <em>integreren</em>. Hoe geeft de PVV dat voor zwarte scholen vorm?"
"nl.proc.ob.d.h-tk-20062007-471-494.1.6.5","nl.proc","speech",0.87640065,"2006-10-04","Huizinga-Heringa","ChristenUnie","Mevrouw","mp",2,"commons"," loyaliteitsconflicten slecht <em>integreren</em>. Deze groep blijft grotendeels buiten schot. De wet pakt wel de mensen aan voor wie de dubbele nationaliteit geen loyaliteitsconflict oplevert en geen probleem met de <em>integratie</em>. Ik ben daarom bang dat de minister met deze wet haar doel voorbij schiet."
"nl.proc.ob.d.h-tk-20142015-111-7.1.6.3","nl.proc","speech",0.82627845,"2015-09-10","Klaver","GroenLinks","De heer","mp",11,"commons","Tot slot de <em>integratie</em>. Wij moeten als politici heel erg oppassen met uitspraken dat de mensen die met de huidige instroom komen, tijdelijk zullen blijven en uiteindelijk weer weg zullen gaan. Ik denk dat de realiteit is dat wel drie kwart van die mensen hier zal blijven. En dat zijn onze nieuwe landgenoten. Die mensen moeten wij niet een aantal"
"nl.proc.ob.d.h-tk-20122013-57-20.1.12.1","nl.proc","speech",0.74120665,"2013-03-05","Azmani","VVD","De heer","mp",3,"commons","Voorzitter. Jarenlang is volgehouden dat <em>integreren</em> met behoud van eigen cultuur de sleutel was tot succesvolle <em>integratie</em>. Juist die eigen cultuur belemmert echter de <em>integratie</em> in de samenleving, of je dat nu wilt of niet. Het is nu eenmaal een menselijk automatisme om mensen in- dan wel uit te sluiten. Dat gebeurt meestal op basis van gelijke"
"nl.proc.ob.d.h-tk-20142015-104-12.1.5.1","nl.proc","speech",0.7303339,"2015-07-02","Kuzu","Groep Kuzu/Öztürk","De heer","mp",11,"commons"," moeten accepteren dan er mensen zijn die nog zouden moeten <em>integreren</em>;  overwegende dat participatie en <em>integratie</em> onmogelijk zijn zonder acceptatie;  verzoekt de regering, terugkerend onderzoek te doen naar het acceptatiegehalte van de Nederlandse bevolking jegens Nederlanders met een migrantenachtergrond om zodoende het acceptatiegehalte in"
"nl.proc.ob.d.h-tk-20082009-2844-2889.1.25.2","nl.proc","speech",0.67306757,"2008-12-04","Verdonk","Verdonk","Mevrouw","mp",11,"commons","Voorzitter. Inburgering is een eerste stap in de <em>integratie</em>. Belangrijk daarbij zijn <em>integratie</em>-indicatoren. Ik ben blij dat de heer Dijsselbloem wakker is geworden en in een motie om concretisering vraagt. Ik heb daarbij twee constateringen. Ten eerste dat de PvdA-fractie in de Tweede Kamer daarin geen enkele ambitie heeft en dat het dualisme"
"nl.proc.ob.d.h-tk-20082009-5006-5018.1.12.1","nl.proc","speech",0.67126024,"2009-03-11","Koşer Kaya","D66","Mevrouw","mp",5,"commons","Voorzitter. \"De patiënt centraal\" was de doelstelling van ons nieuwe zorgstelsel. Het centraal gestuurde zorgaanbod ging op de schop. Voortaan moesten de zorgverzekeraars de rol van kritische klant bij zorgaanbieder spelen en moesten patiënten kritisch kijken naar hun verzekeraar. Het <em>integreren</em> van zorgverzekeraar en zorgaanbieder kan een stap"
"nl.proc.ob.d.h-tk-20082009-2827-2842.1.15.1","nl.proc","speech",0.6708131,"2008-12-04","Ortega-Martijn","ChristenUnie","Mevrouw","mp",13,"commons"," over uit dat nabestaanden naast stopzetting van de Anw onder de Wwb vallen en dat het voor hen moeilijk wordt om te re-<em>integreren</em> doordat zij jarenlang uit het arbeidsproces zijn geweest. Wij delen deze zorgen. Echter, wat wij niet delen is het feit dat hieraan een verplichting verbonden wordt. Weduwen en weduwnaars zijn wat de ChristenUnie betreft"
"nl.proc.ob.d.h-tk-20142015-100-4.1.7.1","nl.proc","speech",0.6708131,"2015-06-24","Schut-Welkzijn","VVD","Mevrouw","mp",14,"commons"," sneller en effectiever re-<em>integreren</em> ziekteverzuim in het tweede ziektejaar verlaagt en loondoorbetaling in het tweede jaar verkort;  constaterende dat bij een succesvolle re-<em>integratie</em> via het tweede spoor de werknemer weer kan meedoen op de arbeidsmarkt;  verzoekt de regering, een onderzoek te doen naar de werking van het tweedespoorbeleid en de"
"nl.proc.ob.d.h-tk-20092010-39-3783.1.4.1","nl.proc","speech",0.64855576,"2009-12-17","Van Miltenburg","VVD","Mevrouw","mp",16,"commons","; constaterende dat de <em>integratie</em> van het pgb en het semimurale tarief voor kleinschalige woonvormen in volle gang is en met veel problemen gepaard gaat, waar er zelfs nog geen zicht is op <em>integratie</em> van de tarieven tussen de verschillende AWBZ-sectoren; constaterende dat het ministerie hiermee de noodzakelijke volgorde van de stappen voor invoering"
"nl.proc.ob.d.h-tk-20092010-38-3712.1.10.2","nl.proc","speech",0.5889342,"2009-12-16","Tony van Dijck","PVV","De heer","mp",11,"commons","Dan kom ik op die vreselijke HBU-deal. <em>Integratie</em> lijkt wel een wet van Meden en Perzen bij deze minister. Het lijkt een prestigeproject van deze minister samen met de ex-minister van Financiën. De Kamer heeft geen inzage in een stand alone-alternatief gekregen. De Partij voor de Vrijheid ziet van deze fusie alleen maar nadelen. Wederom een"
"nl.proc.ob.d.h-tk-20072008-7955-7957.1.6.1","nl.proc","speech",0.5889342,"2008-09-09","Kamp","VVD","De heer","mp",2,"commons"," gemeenteambtenaar weigerde om vrouwen de hand te schudden. Hij en de andere aanvoerders van de moslimradicalen veroorzaken voortdurend incidenten met als uiteindelijk doel, te voorkomen dat de moslims in Nederland <em>integreren</em>. Enait weet als geen ander hoe dat werkt. Je creëert een incident, je trekt de aandacht van de media, je krijgt een halfzachte"
"nl.proc.ob.d.h-tk-20072008-5-41.1.6.140","nl.proc","speech",0.58426714,"2007-09-19","Van Geel","CDA","De heer","mp",5,"commons"," ingezet en is ook de immigratie behoorlijk teruggedrongen. Vervolgens vindt het CDA dat wij tegen radicalisering hard moeten optreden. Laat daarover geen enkel misverstand bestaan. Daar staan wij voor. Wij zijn verder voor een stevige, verplichtende <em>integratie</em>. Die twee stevige punten maken wij. Het maakt niet uit wie het zijn. Het gaat erom dat"
"nl.proc.ob.d.h-tk-20092010-28-2553.1.11.10","nl.proc","speech",0.58426714,"2009-11-24","Ortega-Martijn","ChristenUnie","Mevrouw","mp",3,"commons","Voorzitter. Het is belangrijk dat er een stevig fundament is van gedeelde waarden en normen, van respect en fatsoen. Het gaat zowel om de <em>integratie</em> van burgers als om de vormgeving van de Nederlandse cultuur. Het bewust doorgeven van onze cultuurelementen via inburgeringstrajecten en het leren van de taal zijn voorwaarden voor een succesvol"
"nl.proc.ob.d.h-tk-20112012-25-14.1.40.1","nl.proc","speech",0.58426714,"2011-11-17","Karabulut","SP","Mevrouw","mp",19,"commons","Voorzitter. Ik ben blij dat de minister mijn amendement omarmt om in ieder geval nog wat oude initiatieven voor burgerschap – oude betrokkenheid – <em>integratie</em> en sociale veiligheid te blijven ondersteunen en de opgebouwde kennis te borgen. Gehoord de uitleg van de minister, ga ik ervan uit dat er brede steun vanuit de Kamer komt. Ik dien twee"
