"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20102011-30-19.1.25.16","nl.proc","speech",1.2393624,"2010-12-02","Karabulut","SP","Mevrouw","mp",2,"commons","Geweldig hoor. De huurders Van Klaverenin al die buurten en wijken hebben echt wat aan uw betoog gehad! Fantastisch dat u om een definitie vraagt van wat u de <em>islamisering</em> noemt. Heeft de CDA-fractie ook behoefte zo'n definitie? Steunt zij dit verzoek? En als zij dat steunt, wat is dan haar definitie?"
"nl.proc.ob.d.h-tk-20072008-4880-4921.1.12.223","nl.proc","speech",1.0954518,"2008-04-01","Wilders","PVV","De heer","mp",2,"commons","Voorzitter. Ik vecht voor de vrijheid van Nederland. Daar past de islamitische ideologie niet in. Voorzitter. Mijn laatste alinea. De Partij voor de Vrijheid komt op voor al die vrede- en vrijheidslievende mensen die tegenstander zijn van de <em>islamisering</em> van Nederland en van het westen. Mensen die democratie verkiezen boven de sharia. Mensen die"
"nl.proc.ob.d.h-tk-20152016-39-19.1.5.1","nl.proc","speech",1.0954518,"2015-12-17","De Graaf","PVV","De heer","mp",17,"commons"," moskee te sluiten en stichting Al-Waqf te verbieden,  en gaat over tot de orde van de dag.  Deze motie is voorgesteld door de leden De Graaf en Wilders. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund.  Zij krijgt nr. 346 ( 29754 ).  Motie De Kamer,  gehoord de beraadslaging,  overwegende dat <em>islamisering</em> een bedreiging vormt voor"
"nl.proc.ob.d.h-tk-20102011-36-99.1.6.1","nl.proc","speech",1.084442,"2010-12-16","Van Klaveren","PVV","De heer","mp",9,"commons","Voorzitter. Ik dien de volgende motie in. De Kamer, gehoord de beraadslaging, constaterende dat de Gülenbeweging <em>islamisering</em> als doelstelling heeft; overwegende dat dit de integratie tegenwerkt; verzoekt de regering, daar waar de Gülenbeweging en daaraan gerelateerde organisaties subsidie ontvangen deze stop te zetten, en gaat over tot de orde van de dag. Deze motie is voorgesteld door het lid Van Klaveren. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 74 ( 32500 VII )."
"nl.proc.ob.d.h-tk-20062007-5260-5319.1.4.94","nl.proc","speech",1.0733193,"2007-09-06","Wilders","PVV","De heer","mp",3,"commons"," kabinetsreactie op het WRR-rapport dat de islam niet strijdig is met democratie en mensenrechten. Het is vijf minuten voor twaalf. Als wij zo doorgaan, zal die verdergaande <em>islamisering</em> vroeg of laat het einde betekenen van de Westerse beschaving en de Nederlandse cultuur, zoals wij die nu kennen. Ik zal mijn bijdrage in eerste termijn dan ook willen eindigen"
"nl.proc.ob.d.h-tk-20062007-5260-5319.1.16.1","nl.proc","speech",1.0733193,"2007-09-06","Wilders","PVV","De heer","mp",9,"commons"," ook in Nederland, ziet de werkelijkheid er echter vaak anders uit. Het is teleurstellend dat vooral de minister-president mijn oproep om te komen tot wat heel veel mensen in Nederland willen, het tegengaan van de <em>islamisering</em> van het land, niet overnam. Hij heeft dat onder het tapijt geveegd. Hij heeft een totaal gebrek aan gevoel voor urgentie en"
"nl.proc.ob.d.h-tk-20092010-29-2636.1.15.1","nl.proc","speech",1.0733193,"2009-11-25","Fritsma","PVV","De heer","mp",11,"commons"," deze minister zijn werk bijzonder slecht doet. Ik heb daarom inmiddels het aangekondigde amendement ingediend dat ertoe strekt de bezoldiging van de minister symbolisch met € 1 te korten. De minister gaat, ook in zijn integratienota, volledig voorbij aan de voortgaande massa-immigratie en de daaraan verbonden <em>islamisering</em> van onze samenleving die al"
"nl.proc.ob.d.h-tk-20142015-104-12.1.4.3","nl.proc","speech",1.0733193,"2015-07-02","De Graaf","PVV","De heer","mp",12,"commons","Mocht de overweging partijen beletten om voor te stemmen, dan ben ik bereid om de overweging eruit te halen en de motie te wijzigen.  Voor de tweede motie roep ik september 2010 in herinnering. Toen dienden de heer Cohen, de heer Pechtold, mevrouw Sap en de heer Roemer een motie in om het tegengaan van <em>islamisering</em> geen doelstelling van beleid te"
"nl.proc.ob.d.h-tk-20072008-110-172.1.10.5","nl.proc","speech",1.0392369,"2007-09-20","Wilders","PVV","De heer","mp",10,"commons","Alleen al voor de dekking is het de moeite waard om steun aan die motie te geven. Tot slot kom ik op het grootste probleem van Nederland, namelijk de islam. Dit kabinet met deze premier weigert om de <em>islamisering</em> van Nederland een halt toe te roepen. Uit peilingen blijkt dat het merendeel van de Nederlandse bevolking de islam als een bedreiging"
"nl.proc.ob.d.h-tk-20072008-1773-1802.1.14.4","nl.proc","speech",0.9391544,"2007-11-15","Agema","PVV","Mevrouw","mp",15,"commons","Tot slot, waar het gevoel van urgentie ook totaal en volstrekt ontbreekt, is bij de <em>islamisering</em> van de zorg. Dat er ruim een miljoen moslims in ons land wonen en dus gebruikmaken van zorg of werkzaam zijn in de zorg, heb ik niet ter discussie gesteld. Ik heb de <em>islamisering</em> van de zorg ter discussie gesteld. Bijvoorbeeld als moslims in de zorg"
"nl.proc.ob.d.h-tk-20072008-1773-1802.1.14.7","nl.proc","speech",0.9295218,"2007-11-15","Vendrik","GroenLinks","De heer","mp",2,"commons",", maar het kan gebeuren – zou zij dan door moslims geholpen willen worden of zou zij dat weigeren? Zij is voor de-<em>islamisering</em> en dat stopt toch niet bij de ziekenhuispoort, stel ik mij zo voor. Of maakt zij dan geen bezwaar?"
"nl.proc.ob.d.h-tk-20102011-30-19.1.9.372","nl.proc","speech",0.9295218,"2010-12-02","Van Klaveren","PVV","De heer","mp",2,"commons","Dat is ook niet helemaal waar. Het woord algebra is inderdaad afkomstig uit het Arabisch, Al-Djabr, maar de soort wiskunde vindt zijn oorsprong in wat we nu India noemen. Ook dat heeft niet zo heel veel te maken met de islam. Ik heb twee concrete vragen gesteld. Ten eerste of de minister de definitie van <em>islamisering</em> van het vorige kabinet onderschrijft en of hij dezelfde definitie hanteert. Daarop heb ik geen antwoord gekregen. Ten tweede of de minister de toegenomen invloed van de islam op de collectieve sector ziet."
"nl.proc.ob.d.h-tk-20102011-30-19.1.25.1","nl.proc","speech",0.9295218,"2010-12-02","Van Klaveren","PVV","De heer","mp",10,"commons"," de vorm van de Hofstadgroep en een gruwelijke moord op een kritische columnist, zijn enkele redenen voor de PVV om de islam negatief te duiden. Omdat de <em>islamisering</em> van Nederland zich onmiskenbaar manifesteert en de discussie over de wenselijkheid van deze ontwikkeling naar onze mening voorafgegaan dient te worden door een heldere definiëring van"
