"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20122013-97-6.1.10.7","nl.proc","speech",1.021062,"2013-06-19","Hoogland","PvdA","De heer","mp",2,"commons","Het leuke vond ik – daar was ik zeer blij verrast mee – dat u begon over gelijke <em>kansen</em>. Als er één partij is die staat voor gelijke <em>kansen</em>, dan is het de Partij van de Arbeid. Ik kan niet anders dan het met u eens zijn. Voorzitter. Ik vervolg."
"nl.proc.ob.d.h-tk-20102011-89-24.1.8.3","nl.proc","speech",0.78158784,"2011-06-07","Dijkgraaf","SGP","De heer","mp",10,"commons","De tweede motie haakt aan bij mijn tweede belangrijke punt. Dit betreft de reële <em>kansen</em> van mensen op werk. Motie De Kamer, gehoord de beraadslaging, constaterende dat voor het slagen van de regeling Werken naar vermogen van wezenlijk belang is dat voldoende <em>kansen</em> op werk worden gecreëerd; overwegende dat ruime beleidsvrijheid en flexibele"
"nl.proc.ob.d.h-tk-20122013-95-3.1.16.1","nl.proc","speech",0.78158784,"2013-06-13","Van Ojik","GroenLinks","De heer","mp",2,"commons","Voorzitter. Ik dank de minister voor de beantwoording van alle vragen. Ik wil hem in tweede termijn twee kwesties opnieuw voorleggen. De eerste kwestie betreft de eventuele <em>kansen</em> op een alomvattend wapenembargo. Het is voorstelbaar dat de besluitvorming in de Europese Raad van mei, hoe onfortuinlijk we die besluitvorming allemaal ook vinden, kan"
"nl.proc.ob.d.h-tk-20102011-86-3.1.14.18","nl.proc","speech",0.76579654,"2011-05-26","In 't Veld","EP/D66","Mevrouw","mp",2,"commons","Misschien mag ik nog een laatste zin uitspreken, voorzitter? De uitdagingen van vandaag zijn groot en complex, maar er zijn ook fantastische <em>kansen</em> en die liggen voor het grijpen. Misschien dat wij het eens wat vaker over de <em>kansen</em> zouden moeten hebben in de context van Europa dan alleen maar over onze angst voor de bedreigingen. In het huidige"
"nl.proc.ob.d.h-tk-20142015-19-21.1.8.73","nl.proc","speech",0.76579654,"2014-11-04","Duisenberg","VVD","De heer","mp",2,"commons","Wij maken deze beweging juist om te kunnen investeren in onderwijs en in dit soort <em>kansen</em>, <em>kansen</em> zoals solar challenges. Ik heb gesproken over excellentieprogramma's en dat soort zaken. Dat zijn bij uitstek de solar challenges of waterstofchallenges van de toekomst.  Ik ga nog in op de afweging van de studenten. Eén jaar basisbeurs is voor een"
"nl.proc.ob.d.h-tk-20082009-2421-2446.1.11.1","nl.proc","speech",0.74422044,"2008-11-25","Tichelaar","PvdA","De heer","mp",7,"commons"," inkomensbescherming via de WW. Daarom pleiten wij voor mobiliteitscentra om mensen van werk naar werk te helpen, als daar behoefte aan is. Daarom willen wij efficiënte ondersteuning van werkzoekenden. Ik kom daar nog op terug. Solidariteit kan echter niet alleen bestaan uit inkomenssolidariteit. Echte solidariteit gaat verder. Solidariteit is ook <em>kansen</em>"
"nl.proc.ob.d.h-tk-20092010-24-2056.1.7.22","nl.proc","speech",0.7219999,"2009-11-12","Halsema","GroenLinks","Mevrouw","mp",2,"commons","Oké. Het is fijn dat ik nu weet wat voor manchetknopen u aan hebt. Dat zit diep in mijn beweging. Maar uw hardvochtigheid; ken uw feiten. Het sociale perspectief en de <em>kansen</em> op sociale stijging voor mensen met lage opleidingen zijn slechter. U straft ze onevenredig. Dat is niet progressief, dat is ook niet links-liberaal. Dat is rechts-liberaal."
"nl.proc.ob.d.h-tk-20072008-4543-4558.1.17.1","nl.proc","speech",0.63816375,"2008-03-13","Van Vroonhoven-Kok","CDA","Mevrouw","mp",3,"commons","Voorzitter. Al met al vond ik het ook voor de Kamer een heel constructief overleg. Het was een vrij positief ingestoken debat. Dan het aantal postvestigingen. Er komen alleen maar servicepunten bij. Wij hebben geconcludeerd dat dit ook <em>kansen</em> biedt voor de winkeliers. Aanvankelijk maakte ik mij nog even zorgen over het feit dat al die"
"nl.proc.ob.d.h-tk-20082009-1787-1830.1.16.16","nl.proc","speech",0.63816375,"2008-11-12","Vendrik","GroenLinks","De heer","mp",2,"commons"," industriële en economische belangen belangrijker vinden. Wij maken niet fundamenteel de keuze om de armste ontwikkelingslanden <em>kansen</em> te geven. Als het aan de WTO-tafel zelfs een beetje dreigt mis te gaan, gaat Europa dat via de economic partnership agreements nog even repareren. Dan gaan wij meer concessies binnenlaten van landen dan dat wij hen <em>kansen</em> bieden. Op dat punt heeft minister Koenders overigens sinds zijn aantreden een aantal goede interventies gepleegd. Het is een begin, maar er valt nog een wereld te winnen."
"nl.proc.ob.d.h-tk-20082009-2541-2560.1.12.1","nl.proc","speech",0.63816375,"2008-11-27","Tichelaar","PvdA","De heer","mp",3,"commons",", werknemers en de overheid samen. Zij moeten <em>kansen</em> durven geven, <em>kansen</em> willen grijpen en ondersteuning geven waar dat nodig is. Op die wijze blijft geen talent onbenut. Ik bedank de minister daar nogmaals voor. Werktijdverkorting heeft onze steun. Ik zou wel willen vragen of de minister in tweede termijn toe kan zeggen dat de Kamer op de hoogte wordt gehouden van de aantallen, inhoud, duur en urgentie van de aanvragen, mede gelet op het aflopen van de regeling op 1 januari 2009. Dan wil ik wat opmerkingen maken over de Flexwet."
"nl.proc.ob.d.h-tk-20102011-23-31.1.5.196","nl.proc","speech",0.63816375,"2010-11-17","Smilde","CDA","Mevrouw","mp",2,"commons"," pacificatie van de verschillende mensen. U gaat alles enthousiast oppakken. Mensen die dat willen, krijgen alle <em>kansen</em>, maar er zijn ook mensen die een handje geholpen moeten worden bij die <em>kansen</em>. Er zijn groepen die tegenover elkaar staan. Ook zou ik op dezelfde manier graag een doorkijkje van u krijgen: wat wilt u in 2015 hebben bereikt voor de immateriële kant van de Nederlandse bevolking?"
"nl.proc.ob.d.h-tk-20072008-7543-7562.1.15.1","nl.proc","speech",0.63816375,"2008-07-03","Koşer Kaya","D66","Mevrouw","mp",2,"commons","Voorzitter. Wij praten vandaag over de zorg voor kwetsbare mensen. Daarbij heb ik twee uitgangspunten die ik met elkaar in evenwicht probeer te brengen. In een open en vrije samenleving moet iedereen, ook chronisch zieken, optimale ontplooiingskansen hebben. Sommigen hebben zorg nodig om hun <em>kansen</em> op ontwikkeling te vergroten. Die waarde probeer"
"nl.proc.ob.d.h-tk-20082009-1183-1215.1.7.14","nl.proc","speech",0.63816375,"2008-10-29","Spekman","PvdA","De heer","mp",2,"commons"," <em>kansen</em> op een goede baan. Dan heb je ook meer <em>kansen</em> om de lening, de studieschuld, terug te betalen. Dus niemand aan de wasknijpers! Ik zie echter wel dat de grootste groep in de bijstand niet eens een startkwalificatie heeft. Met een beetje geluk halen die mensen inderdaad mbo 3- of mbo 4-niveau. Dat wil ik zeker stellen voor die groep. Daarom heb ik dat amendement ingediend."
"nl.proc.ob.d.h-tk-20142015-39-71.1.6.1","nl.proc","speech",0.63816375,"2014-12-18","Samsom","PvdA","De heer","mp",2,"commons"," partij is daaraan medeschuldig.  Het stap voor stap werken heeft echter ook tot een oplossing geleid. We hebben zojuist een brief ontvangen van het kabinet, waarin het het voorstel doet om een aangepast wetsvoorstel naar de Kamer te sturen. Dat lijkt ons een verstandige optie, omdat het ook <em>kansen</em> biedt. Het biedt <em>kansen</em> om de positie van de patiënt te verstevigen, de vrije artsenkeuze te borgen, de positie van verzekerden tegenover verzekeraars te versterken en zo een beter evenwicht te creëren."
"nl.proc.ob.d.h-tk-20152016-18-12.1.16.7","nl.proc","speech",0.63816375,"2015-10-29","Van Veldhoven","D66","Mevrouw","mp",10,"commons","Vervolgens dien ik een motie in over duurzaam inkopen.  Motie De Kamer,  gehoord de beraadslaging,  overwegende dat de Nederlandse overheid tezamen ongeveer 60 miljard aan inkoopvolume vertegenwoordigt;  overwegende dat het bij regionale en lokale overheden nog te vaak ontbreekt aan ervaring en de nieuwste kennis, waardoor zij de <em>kansen</em> mislopen"
"nl.proc.ob.d.h-tk-20132014-53-4.1.9.11","nl.proc","speech",0.63174987,"2014-02-12","Van Weyenberg","D66","De heer","mp",2,"commons","Op de eerste vraag van de heer Heerma kom ik zo meteen in mijn betoog terug, dus wat dat betreft vraag ik hem om enig geduld. Wat de tweede vraag betreft: wat ik hier in dit debat doe — en dat geldt volgens mij ook voor mevrouw Van Nieuwenhuizen — is invulling geven aan zorgen die bij het congres van onder andere mijn partij bestonden. Ik heb het dan over het minimaliseren van risico's en het maximaliseren van <em>kansen</em>."
"nl.proc.ob.d.h-tk-20112012-97-25.1.8.1","nl.proc","speech",0.63174987,"2012-06-19","Koolmees","D66","De heer","mp",3,"commons"," <em>kansen</em> scheppen voor mensen met weinig perspectief. Het wetsvoorstel dat wij vandaag bespreken is een balans tussen deze twee doelen: bezuinigingen maar ook <em>kansen</em> scheppen. Het wordt met deze wet immers aantrekkelijker om werkloze ouderen en arbeidsgehandicapten in dienst te nemen, terwijl ineffectieve en dure regelingen worden geschrapt. Ik zal"
"nl.proc.ob.d.h-tk-20062007-4699-4709.1.6.1","nl.proc","speech",0.63174987,"2007-06-27","Kant","SP","Mevrouw","mp",2,"commons","Voorzitter. Vorige week is in deze Kamer gedebatteerd over de Embryowet. Daarbij speelde voor alle fracties de afweging tussen de beschermwaardigheid van het embryo en de bescherming van belangen van mensen met ernstige aandoeningen, mede in het licht van de <em>kansen</em> die wetenschappelijk onderzoek voor hen biedt, een rol. Toch is er iets blijven"
"nl.proc.ob.d.h-tk-20132014-55-25.1.18.30","nl.proc","speech",0.63174987,"2014-02-18","Karabulut","SP","Mevrouw","mp",2,"commons","Ik zet nog steeds mijn kaarten op de val van het kabinet voordat wij over deze wet hebben gestemd. Maar goed, ik begrijp dat de heer Potters dat niet zo fijn zou vinden. Wie weet. Ik ga even in op de banen en de <em>kansen</em>. Kan de heer Potters mij vertellen hoeveel zogenoemde banen er moeten zijn in 2017? Ik heb het over de banen die zijn overeengekomen met de werkgevers. En hoeveel werkzoekenden zijn er in 2017?"
"nl.proc.ob.d.h-tk-20112012-32-27.1.9.3","nl.proc","speech",0.63174987,"2011-12-06","Lodders","VVD","Mevrouw","mp",2,"commons","Dank u wel. Ik ga dat wel redden. Wanneer is die informatie beschikbaar? Voorzitter. Ik ga afronden. In de afgelopen jaren is onder dit kabinet een nieuwe koers ingezet, met daarnaast ook bezuinigingen op natuur. Daar loopt de VVD niet voor weg. Deze koers biedt namelijk ook <em>kansen</em> voor particulier initiatief en voor nieuwe vormen van beheer, maar het uitgangspunt blijft een realistisch natuurbeleid, waarin economie en ecologie kunnen samengaan, en met ruimte voor ondernemerschap, want zonder economie geen ecologie."
"nl.proc.ob.d.h-tk-20112012-95-5.1.6.11","nl.proc","speech",0.63174987,"2012-06-13","Van Veldhoven","D66","Mevrouw","mp",2,"commons","De Engelsen denken heel anders over de winstgevendheid van windmolenparken, maar los daarvan denk ik dat een groot gedeelte van het bedrijfsleven juist wil dat wij gaan investeren in de offshore, omdat daar <em>kansen</em> voor Nederland liggen. Stel dat het gaat tussen olie en gas aan de ene en de visserij aan de andere kant. Moet dan de visserij voorgaan of de olie- en gasindustrie? Kiest de PVV met haar opstelling met andere woorden niet gewoon voor Europa in plaats van voor Nederland?"
"nl.proc.ob.d.h-tk-20072008-4543-4558.1.19.1","nl.proc","speech",0.62527025,"2008-03-13","Aptroot","VVD","De heer","mp",13,"commons","Voorzitter. Ik kan mij aansluiten bij de heer Van der Vlies, die zegt dat het ook <em>kansen</em> biedt. Dat heb ik in eerste termijn ook gezegd. Per saldo 500 extra verkooppunten biedt <em>kansen</em>. Ik wil een motie indienen om de staatssecretaris aan te moedigen die <em>kansen</em> te grijpen. Volgens mij wil hij dat ook. Ik vond het een prettig debat en ik vond de"
"nl.proc.ob.d.h-tk-20112012-24-7.1.9.1","nl.proc","speech",0.6054153,"2011-11-16","Schouw","D66","De heer","mp",6,"commons"," de hele Kamer aan heeft mogen meegeven. Dat geeft namelijk heel duidelijk en precies aan wat wij in dit land willen met migratie. De vraag die wij ons moeten stellen is: hoe benutten wij het migratiepotentieel optimaal? Dat kan volgens D66 alleen door <em>kansen</em> te benutten. <em>Kansen</em> op goed onderwijs, <em>kansen</em> op de arbeids- en woningmarkt en <em>kansen</em> op"
"nl.proc.ob.d.h-tk-20052006-5405-5409.1.6.1","nl.proc","speech",0.55266607,"2006-06-08","Snijder-Hazelhoff","VVD","Mevrouw","mp",17,"commons"," over heel Nederland. De VVD-fractie heeft de lijn van het kabinet volmondig gesteund: kiezen voor wat sterk is, maar daarnaast duidelijk <em>kansen</em> willen grijpen. We gaan van achterstandenbeleid naar kansenbeleid. De staatssecretaris zei vorige week in de discussie over de Zuiderzeelijn dat er <em>kansen</em> liggen in Noord-Nederland en dat we die moeten"
"nl.proc.ob.d.h-tk-20112012-54-8.1.10.5","nl.proc","speech",0.55266607,"2012-02-15","Klaver","GroenLinks","De heer","mp",4,"commons","… met goede <em>kansen</em>. Zij ligt ingeklemd tussen België en Duitsland en zij is het meest Europese stukje Nederland dat we kennen, en daar ligt toch onze toekomst. In zijn reactie op de gebeurtenissen bij NedCar spreekt de minister van EL&I wijze woorden: geen staatssteun, maar innovatie. Maar ook niet alles zonder meer aan de markt overlaten. Er"
