"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20122013-86-8.1.4.2","nl.proc","speech",1.0527195,"2013-05-23","Leijten","SP","Mevrouw","mp",2,"commons","Voorzitter. Fraude moeten we <em>keihard</em> <em>aanpakken</em>; dat horen we nu zo'n beetje. Het stelsel is van 2005. Wat is er in de tussentijd gebeurd? Dat is een belangrijke vraag, die analyse moet worden gemaakt. Is de minister tevreden over wat er in de tussentijd is gebeurd? De NZa zegt dat zijzelf niet zo veel toezicht hield, want de prioriteiten lagen"
"nl.proc.ob.d.h-tk-20142015-79-7.1.27.1","nl.proc","speech",1.0527195,"2015-04-22","Bontes","Groep Bontes/Van Klaveren","De heer","mp",9,"commons","Voorzitter. De oplossing is een drietrapsraket. Ten eerste: vluchtelingen in bootjes vroegtijdig opvangen en terugsturen. Ten tweede: het creëren van safe havens. Ten derde: de infrastructuur van mensensmokkelaars <em>keihard</em> <em>aanpakken</em> en vernietigen. Daarom dien ik de volgende drie moties in.  Motie De Kamer,  gehoord de beraadslaging,  overwegende"
"nl.proc.ob.d.h-tk-20122013-35-9.1.19.9","nl.proc","speech",0.84217554,"2012-12-13","Azmani","VVD","De heer","mp",2,"commons","<em>Keihard</em> <em>aanpakken</em>. Dat zei ik al. Zerotolerancebeleid en minimumstraffen worden ingevoerd. Dit betekent aanpakken. Er wordt in ieder geval harder beleid gevoerd door de staatssecretaris Teeven en minister Opstelten op Veiligheid en Justitie. Ik heb al aangegeven dat wij niet voor een specifiek doelgroepenbeleid zijn. Dat betekent niet dat we de"
"nl.proc.ob.d.h-tk-20102011-28-28.1.6.17","nl.proc","speech",0.84217554,"2010-11-30","Van Nieuwenhuizen","VVD","Mevrouw","mp",2,"commons","Ik kan de combinatie met de tekst die ik tot nu toe heb uitgesproken niet helemaal vinden, maar ik ben uiteraard bereid om uw vragen te beantwoorden. Waar het gaat om de strafbaarstelling van illegaliteit is ons belangrijkste doel het <em>keihard</em> <em>aanpakken</em> van de criminaliteit die met die illegaliteit samenhangt. In het regeerakkoord vindt u ook terug"
"nl.proc.ob.d.h-tk-20072008-6839-6886.1.12.3","nl.proc","speech",0.84217554,"2008-06-17","Fritsma","PVV","De heer","mp",2,"commons"," met het aanpakken van die misstanden, het <em>keihard</em> <em>aanpakken</em> als het aan de PVV ligt, maak je daarmee een begin. In het verlengde van wat ik zonet heb aangevoerd, heeft de commissie-Dijsselbloem zich terecht afgezet tegen ideologie in het onderwijs. De middenschool was indertijd een voorstel van de socialistische ideologie, die onze scholen binnenkwam"
"nl.proc.ob.d.h-tk-20142015-51-4.1.9.17","nl.proc","speech",0.84217554,"2015-02-05","Van 't Wout","VVD","De heer","mp",4,"commons"," georganiseerde criminaliteit. Er worden bijvoorbeeld ook artsen omgekocht om valse indicaties af te geven. Is het mogelijk om gewoon het tuchtrecht van toepassing te laten zijn op zo'n arts?  De hoofdlijn is dus: fraude <em>keihard</em> <em>aanpakken</em> en er vooral voor zorgen dat de echte boeven het in hun portemonnee gaan voelen."
"nl.proc.ob.d.h-tk-20072008-5144-5153.1.6.17","nl.proc","speech",0.7369036,"2008-04-08","Graus","PVV","De heer","mp",2,"commons"," een softie zitten wachten, samen met de regering, tot de Japanners een stap terugzetten. Als die niet op de vingers worden getikt, als die niet een keer worden aangepakt, dan zullen ze nooit een stap terugzetten. Wat die hebben met de walvisjacht is een zieke, idiote cultuur en dat moeten wij gewoon <em>keihard</em> <em>aanpakken</em>. Dan moet u niet hier soft, politiek correct staan te neuzelen, want daar zijn die walvissen niet mee geholpen."
"nl.proc.ob.d.h-tk-20102011-80-8.1.6.1","nl.proc","speech",0.7369036,"2011-04-28","Graus","PVV","De heer","mp",2,"commons"," <em>keihard</em> <em>aanpakken</em>. Daarom verzoek ik de staatssecretaris om, totdat de dierenpolitie er is, de motie-Thieme met spoed uit te voeren en om, met de middelen die hij al heeft, samen met zijn collega van Justitie deze mensen aan te pakken."
"nl.proc.ob.d.h-tk-20052006-3332-3362.1.15.1","nl.proc","speech",0.7293454,"2006-02-15","Kalsbeek","PvdA","Mevrouw","mp",7,"commons"," nog geen toestanden als in de Parijse voorsteden; wij hebben nog steeds de kans om die situatie te voorkomen. Er moet dan nu wel keihard worden aangepakt. Wat de PvdA-fractie betreft, wordt de kreet \"<em>keihard</em> <em>aanpakken</em>\" breder ingezet en van toepassing verklaard op het voortraject, voordat de kinderen compleet ontspoord zijn. Ik doe twaalf"
"nl.proc.ob.d.h-tk-20062007-3581-3589.1.4.1","nl.proc","speech",0.6316317,"2007-04-25","Van Hijum","CDA","De heer","mp",10,"commons",". Naar het oordeel van onze fractie is het dus ook in het belang van onze economie en het behoud van de werkgelegenheid in ons land dat wij deze stap nu zetten. Een belangrijke voorwaarde is, zoals ik in het algemeen overleg ook heb gesteld, dat wij uitbuiting en oneerlijke concurrentie <em>keihard</em> <em>aanpakken</em>. Het is niet uit te leggen aan werknemers"
