"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-52-9.1.25.11","nl.proc","speech",0.8908032,"2012-02-09","Berman","EP/PvdA","De heer","mp",2,"commons"," tekort in de Europese Unie. Zou het nou werkelijk helpen als wij de voorzitter van de Europese Commissie zouden kiezen? Zou het een barst uitmaken in de democratische <em>kloof</em> die burgers voelen met het Europees Parlement of met Brussel? Ik vrees van niet. Misschien zou je er \"primaries\" op kunnen loslaten, zoals die in de Verenigde Staten worden"
"nl.proc.ob.d.h-tk-20072008-4140-4169.1.6.24","nl.proc","speech",0.8048478,"2008-03-05","Slob","ChristenUnie","De heer","mp",2,"commons","Ik ben onder de indruk van de consistentie van mevrouw Dezentjé. Zij weet echter ook dat de boekenprijs in de periode 2000-2005 met 35% is gestegen, terwijl het besteedbaar inkomen van tweeoudergezinnen in die periode met ongeveer 18% is gestegen. Daar zit een enorme <em>kloof</em> tussen. Zij weet verder ook heel goed dat de boekenprijs in de cursusjaren"
"nl.proc.ob.d.h-tk-20152016-18-4.1.7.35","nl.proc","speech",0.8048478,"2015-10-29","Jasper van Dijk","SP","De heer","mp",2,"commons","Grapje!  De minister signaleert een <em>kloof</em> tussen arm en rijk en zij constateert segregatie. Ze maakt zich daar zorgen over. Ze wil verheffing tot haar thema maken. Fantastisch! Ik vind dat echt heel goed, want het zijn punten die het hart van mijn partij raken. Ik heb gisteren alleen ook een vraag gesteld over haar timing. Is het niet een beetje"
"nl.proc.ob.d.h-tk-20152016-3-6.1.14.3","nl.proc","speech",0.8048478,"2015-09-17","Van der Staaij","SGP","De heer","mp",10,"commons","Dan heb ik nog een motie die betrekking heeft op het punt van de <em>kloof</em> tussen eenverdieners en tweeverdieners. Deze motie is medeondertekend door collega Slob van de ChristenUnie en door collega Van Haersma Buma van het CDA.  Motie De Kamer,  gehoord de beraadslaging,  overwegende dat bij een gelijk huishoudinkomen, eenverdieners tot wel vijf keer"
"nl.proc.ob.d.h-tk-20152016-17-3.1.6.19","nl.proc","speech",0.7885865,"2015-10-28","Jasper van Dijk","SP","De heer","mp",2,"commons",". Tot slot, voorzitter, ik kan het niet laten, verwijs ik naar een artikel in Trouw deze ochtend onder de titel \"Bussemaker vreest grotere <em>kloof</em> rijk en arm\". U moet dit echt lezen. De minister wil een onderzoek naar de tweedeling in het onderwijs, want er komen te veel privéscholen en te veel huiswerkbegeleiding. Er is een <em>kloof</em> tussen vmbo en havo"
"nl.proc.ob.d.h-tk-20152016-18-11.1.6.1","nl.proc","speech",0.7885865,"2015-10-29","Jasper van Dijk","SP","De heer","mp",13,"commons"," de minister gaat doen naar de <em>kloof</em> tussen hoog en laag opgeleiden. Heel goed dat zij dat onderzoek gaat doen, maar ik heb nog wel een suggestie om daarbij iets mee te nemen. Vandaar dat ik een motie indien.  Motie De Kamer,  gehoord de beraadslaging,  constaterende dat de minister van onderwijs zich zorgen maakt over een groeiende <em>kloof</em> tussen"
"nl.proc.ob.d.h-tk-20072008-6160-6225.1.10.14","nl.proc","speech",0.68293595,"2008-05-22","Verdonk","Verdonk","Mevrouw","mp",2,"commons","Ik zat er al op te wachten, mijnheer Pechtold. Ik ben blij dat u de kans gegrepen hebt om dit onderwerp aan de orde te stellen. Trots op Nederland heeft gekozen voor een heel andere manier van politiek maken. Wij proberen de <em>kloof</em> tussen de burgers in het land en Den Haag te overbruggen. Hoe doen wij dat? Door over allerlei onderwerpen van burgers"
"nl.proc.ob.d.h-tk-20102011-9-57.1.18.1","nl.proc","speech",0.68293595,"2010-10-07","Van Vliet","PVV","De heer","mp",2,"commons","Voorzitter, Ik houd het kort. Ik dank de ministers voor de beantwoording van de vragen. Ik zou mevrouw Hamer willen meegeven dat ik mij graag aansluit bij haar woorden dat wij het debat met het nieuwe kabinet graag aangaan. Het dualisme zal dus hoogtij vieren in deze Kamer. Ik kom tot mijn laatste opmerking. Er wordt vaak gesproken over de <em>kloof</em>"
"nl.proc.ob.d.h-tk-20092010-30-2746.1.7.23","nl.proc","speech",0.6438782,"2009-11-26","Van Raak","SP","De heer","mp",2,"commons"," financiële problemen en er is niet voldoende geld om nieuwe middelen aan te schaffen en daar voldoende mee te oefenen. De cijfers over de politie zijn aangekleed, maar de politie in Nederland is uitgekleed. De minister ziet die <em>kloof</em> niet, ondanks dat ik haar gisteren een blauw brilletje heb gegeven. Zolang zij die <em>kloof</em> niet ziet, hebben wij een"
"nl.proc.ob.d.h-tk-20082009-4134-4186.1.22.2","nl.proc","speech",0.6438782,"2009-02-03","Vendrik","GroenLinks","De heer","mp",2,"commons"," eigen onderzoek. Echter, zoals ook blijkt uit de beantwoording door de minister, is diezelfde marktwaarde toch uiterst relevant voor een transparante verslaglegging door, in dit geval, financiële instellingen. Deze <em>kloof</em> moet gedicht worden. De minister moet dan ook met grote urgentie deze <em>kloof</em> op de internationale onderhandelingstafels neerleggen"
