"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20082009-7310-7377.1.4.30","nl.proc","speech",0.9568294,"2009-06-10","Kant","SP","Mevrouw","mp",2,"commons"," echt vanaf begin 1994, toen Jan Marijnissen en Remi Poppe hier in de Kamer kwamen, dat wij de analyse hebben gemaakt van wat de risico's waren van het <em>neoliberalisme</em>; het <em>neoliberalisme</em>, dat zou leiden tot vergroting van inkomensverschillen, verwaarlozing van de publieke sector en sloop van de sociale zekerheid en dat gebaseerd was op de idee dat de"
"nl.proc.ob.d.h-tk-20082009-7310-7377.1.4.9","nl.proc","speech",0.8457258,"2009-06-10","Kant","SP","Mevrouw","mp",2,"commons"," dan toe dat het <em>neoliberalisme</em> net zo hard heeft gefaald. Dat systeem heeft ons namelijk deze crisis gebracht. U kunt wel een mooi verhaal houden over keuzevrijheid, maar arme mensen in Afrika hebben daar helemaal niets aan! Nederlanders die zorg nodig hebben, willen helemaal niet kiezen. Die mensen willen fatsoenlijke zorg op het moment dat ze zorg nodig hebben. Armoedebestrijding, milieu, goede zorg en goed onderwijs kun je niet overlaten aan het spel van de vrije markt."
"nl.proc.ob.d.h-tk-20082009-7310-7377.1.13.1","nl.proc","speech",0.7564401,"2009-06-10","Halsema","GroenLinks","Mevrouw","mp",8,"commons","Voorzitter. Het is zo ongelooflijk dankbaar om de laatste te zijn in een debat dat toch al niet aan bondigheid ten onder gaat. Ik kan mij niet aan de indruk onttrekken dat dit debat tot op heden tot ook enigszins het winnen van de vorige oorlog is. Zelfs als ik de VVD en D66 als een flauwe echo daarvan hoor, geloof ik dat het <em>neoliberalisme</em> als"
"nl.proc.ob.d.h-tk-20082009-7310-7377.1.4.5","nl.proc","speech",0.6765806,"2009-06-10","Kant","SP","Mevrouw","mp",3,"commons"," staat voor het <em>neoliberalisme</em>, het systeem dat ons deze crisis heeft gebracht. U staat voor het Angelsaksische model, waarin vrijheid voorgaat en waarin concurrentie over de ruggen van werknemers is toegestaan. U staat voor een model dat ten koste gaat van het milieu. Mijn partij staat voor een gereguleerde markt, een markt die ten dienste staat van de welvaart van alle mensen op de wereld en het milieu."
"nl.proc.ob.d.h-tk-20092010-44-4218.1.6.31","nl.proc","speech",0.6765806,"2010-01-20","Jasper van Dijk","SP","De heer","mp",2,"commons","Dat klinkt inderdaad wel goed. Ik zal het even uitleggen. Het gaat er natuurlijk om dat de politiek, en dan met name afgelopen kabinetten, de afgelopen twintig jaar allerlei taken heeft afgestoten in het kader van het <em>neoliberalisme</em>. Scholen moesten zaken maar zelf regelen. Dat betekent dat een school nu zelf verantwoordelijk is geworden voor het"
"nl.proc.ob.d.h-tk-20082009-2421-2446.1.6.5","nl.proc","speech",0.6765806,"2008-11-25","Ulenbelt","SP","De heer","mp",4,"commons","Het betreft lasten voor winstgevende bedrijven. Als de winst er niet meer zou zijn, zullen wij ook onze tegenbegroting moeten bijstellen, net zo goed als het kabinet dat nu moet gaan doen. Het <em>neoliberalisme</em> heeft niet alleen een verwoestende werking in de financiële markten maar in de hele samenleving. Liberalisering, vermarkten, privatiseren"
"nl.proc.ob.d.h-tk-20082009-583-614.1.7.1","nl.proc","speech",0.59200805,"2008-10-02","Irrgang","SP","De heer","mp",11,"commons"," nog afwachten, maar het zijn maatregelen die mijn fractie in ieder geval steunt. Wat uitblijft van deze minister van Financiën is een beperking van de bonussen buiten de financiële sector en een fundamentele beperking van de macht van de aandeelhouder. Dat is ook een kernelement van het <em>neoliberalisme</em> in Nederland, de uitbreiding van de macht van"
"nl.proc.ob.d.h-tk-20072008-6115-6150.1.7.98","nl.proc","speech",0.5412645,"2008-05-22","Marijnissen","SP","De heer","mp",1,"commons","Het kabinet. Wanneer heeft het kabinet afscheid genomen van het <em>neoliberalisme</em>?"
"nl.proc.ob.d.h-tk-20062007-201-232.1.5.93","nl.proc","speech",0.50743544,"2006-09-27","Bos","PvdA","De heer","mp",4,"commons"," dat. Wij zien hier dat drie kabinetten met CDA en VVD kabinetten zijn geweest waarin de christendemocratie zich heeft uitgeleverd aan het <em>neoliberalisme</em>. Dat blijkt vooral uit de manier waarop het CDA in deze kabinetten is omgegaan met de solidariteit. Het mensbeeld van het CDA verschilt inmiddels niet veel meer van dat van de liberalen. Ik kijk"
"nl.proc.ob.d.h-tk-20082009-4535-4584.1.4.1","nl.proc","speech",0.50743544,"2009-02-18","Kant","SP","Mevrouw","mp",4,"commons"," ook voor bezuinigingen op de zorg en voor verhoging van de AOW-leeftijd. Nog meer <em>neoliberalisme</em> is niet het antwoord. De oude politiek, geboren in de jaren tachtig, heeft ons hier gebracht. Deze oude politiek is de kern van het probleem en niet de oplossing. Het is tijd voor een nieuwe koers. Voor de SP-fractie staat daarbij solidariteit voorop"
