"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20132014-32-11.1.15.1","nl.proc","speech",0.3975501,"2013-12-04","Madlener","PVV","De heer","mp",9,"commons","Voorzitter. De <em>afbraak</em> van ons pensioenstelsel gaat maar door. De PVV zegt: handen af van ons pensioenstelsel. We hadden het beste pensioenstelsel in de wereld, maar dat wordt nu <em>afgebroken</em>. Er wordt uiteindelijk maar liefst 3 miljard op bezuinigd. Ik heb daarover twee moties. De eerste luidt als volgt. Motie De Kamer, gehoord de beraadslaging"
"nl.proc.ob.d.h-tk-20132014-39-8.1.18.1","nl.proc","speech",0.33129176,"2013-12-19","Madlener","PVV","De heer","mp",9,"commons"," pensioenstelsel — Nederland had het beste pensioenstelsel ter wereld — wordt hier <em>afgebroken</em>. Daar kunnen wij natuurlijk als PVV nooit mee akkoord gaan. Daarom dien ik de volgende motie in. Motie De Kamer, gehoord de beraadslaging, van mening dat het pensioenakkoord een onacceptabele <em>afbraak</em> van het Nederlandse pensioenstelsel betekent; verzoekt de regering"
"nl.proc.ob.d.h-tk-20132014-14-10.1.6.1","nl.proc","speech",0.23607568,"2013-10-16","Tony van Dijck","PVV","De heer","mp",5,"commons","Voorzitter, daar gaan we niet op wachten. Voorzitter. Er is een akkoord, een historisch blunderakkoord. Het maakt namelijk de weg vrij voor het kabinet-Rutte II om door te gaan met het <em>afbreken</em> van Nederland. De oppositiepartijen hebben voor een paar kruimels hun ziel verkocht aan dit kabinet en zijn vanaf nu medeverantwoordelijk voor de <em>afbraak</em>"
"nl.proc.ob.d.h-tk-20122013-79-11.1.11.9","nl.proc","speech",0.22230592,"2013-04-24","Leijten","SP","Mevrouw","mp",2,"commons","Je kunt <em>afbraak</em> anders noemen, maar het blijft <em>afbraak</em>. De bezuinigingen zijn niet van tafel; de rekening is alleen verschoven. Ik heb een heel andere vraag aan de heer Van 't Wout, want hij zit met een probleem op dit zorgdossier. Er is geen steun in de Eerste Kamer. Er is net op RTL Nieuws gezegd dat de VVD geen deelakkoorden meer wil sluiten. Welke garantie heeft hij dat dit zorgakkoord überhaupt de eindstreep haalt?"
"nl.proc.ob.d.h-tk-20142015-100-5.1.6.1","nl.proc","speech",0.21215439,"2015-06-24","Wilders","PVV","De heer","mp",6,"commons","Mevrouw de voorzitter. Het kabinet-Rutte II praat na jaren van <em>afbraak</em>, jaren van belastingverhoging nu eindelijk over belastingverlaging. Maar wie gelooft die mensen in vak K nog? €1.000 gingen we krijgen, zei premier Rutte jaren geleden. Daar hebben we nooit wat van gezien. Integendeel, Nederland ging alleen maar meer betalen. De btw werd"
"nl.proc.ob.d.h-tk-20142015-108-4.1.4.1","nl.proc","speech",0.18775015,"2015-09-03","Leijten","SP","Mevrouw","mp",5,"commons"," verzorgingshuizen worden gesloten en de thuiszorg wordt <em>afgebroken</em>. Ze schamen zich ook voor de zorgsprookjes die verteld worden, dat het allemaal beter zou worden, terwijl iedereen ziet dat een grote <em>afbraak</em> volgde.  Vorige week ontvingen we het nieuws dat in het Noorden van het land weer honderden mensen hun baan verliezen bij een"
"nl.proc.ob.d.h-tk-20102011-13-7.1.6.1","nl.proc","speech",0.15128277,"2010-10-26","Roemer","SP","De heer","mp",37,"commons"," politici, van links tot rechts, alles in de uitverkoop doen, terwijl zo veel Nederlanders daar trots op zijn: onze goede voorzieningen, onze sociale zekerheid, onze rechtsstaat en de typisch Nederlandse mentaliteit van zorgen voor elkaar en samen de schouders eronder zetten. Ik begrijp werkelijk niet waarom we dat allemaal moeten <em>afbreken</em>. De"
"nl.proc.ob.d.h-tk-20122013-17-6.1.9.1","nl.proc","speech",0.14850807,"2012-10-31","Roemer","SP","De heer","mp",11,"commons"," verantwoordelijkheid. De publieke sector ging in de uitverkoop, sociale voorzieningen werden <em>afgebroken</em> en de afstand tussen bestuur en bevolking werd groter. Toen ik dit akkoord zag, heb ik het bekeken op dit soort grote ideologische thema’s. Hoe bestrijdt het toekomstige kabinet de economische crisis? Wat gebeurt er met de publieke sector en de"
"nl.proc.ob.d.h-tk-20122013-79-11.1.4.1","nl.proc","speech",0.13751613,"2013-04-24","Leijten","SP","Mevrouw","mp",5,"commons"," geveegd. Nee, dan het zorgakkoord, de weerloze patiënt en het zorgpersoneel! Wij slopen de huishoudelijke verzorging voor de helft, maar de dure medicijnprijzen laten wij bestaan. De helft bezuinigen, hoe ziet de staatssecretaris dat? De helft minder uren, de helft minder toegang, de helft minder salaris? Je kunt <em>afbraak</em> anders noemen, maar <em>afbraak</em>"
"nl.proc.ob.d.h-tk-20132014-26-6.1.6.66","nl.proc","speech",0.13473773,"2013-11-20","Kooiman","SP","Mevrouw","mp",2,"commons","Jammer dat de Partij van de Arbeid, die voorheen voor resocialisatie was, de <em>afbraak</em> in het afbraakplan niet ziet. Als je mensen die tikkende tijdbommen zijn niet opsluit, niet meer behandelt, niet meer begeleidt naar resocialisate en de halfopen en open inrichtingen sluit, dan vind je de SP inderdaad niet aan je zijde. Maar ik ben blij dat de"
