"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20072008-2826-2885.1.8.10","nl.proc","speech",0.9567538,"2007-12-13","Pechtold","D66","De heer","mp",2,"commons","De minister heeft gezegd dat er geen <em>Amerikaanse</em> <em>toestanden</em> zullen ontstaan, inhoudende dat de universiteiten zichzelf moeten financieren en dat dat de lijn in Nederland wordt. Ik verzoek hem dat te bevestigen. Ik verbaas mij over de uitspraken van de minister over de commissie-Dijsselbloem. Laatstgenoemde blikt inderdaad terug en gaat na hoe een"
"nl.proc.ob.d.h-tk-20112012-67-6.1.4.1","nl.proc","speech",0.76540303,"2012-03-22","Van der Steur","VVD","De heer","mp",2,"commons"," dat hij een brief zal schrijven over de claimcultuur in Nederland, mede naar aanleiding van een aantal losstaande wetsvoorstellen die wij hier behandelen. Als je die bij elkaar schuift, heeft de VVD-fractie de overtuiging dat er enige angst kan zijn dat we langzamerhand richting – wat je populair zou kunnen noemen – \"<em>Amerikaanse</em> <em>toestanden</em>\" schuiven"
"nl.proc.ob.d.h-tk-20122013-55-6.1.11.11","nl.proc","speech",0.76540303,"2013-02-27","Anne Mulder","VVD","De heer","mp",2,"commons"," krijg je <em>Amerikaanse</em> <em>toestanden</em>. Het effect daarvan is wel dat iemand die verzekerd is voor zorg, alleen nog maar naar de kwaliteit en niet meer naar de prijs kijkt. De zorg wordt immers toch wel vergoed. Iemand die niet verzekerd is, zou wel op zoek gaan naar het beste ziekenhuis voor de scherpste prijs. Als je de kosten van de zorg wilt beheersen"
"nl.proc.ob.d.h-tk-20052006-4995-4996.1.5.1","nl.proc","speech",0.6697277,"2006-05-23","Kant","SP","Mevrouw","mp",2,"commons"," illegalen en daklozen in dit land. <em>Amerikaanse</em> <em>toestanden</em>, waarbij onverzekerden verstoken zijn van zorg, willen wij niet. Toch komen zij voor. Ziekenhuizen zetten steeds vaker onverzekerden op straat, zo stellen twee Rotterdamse artsen. Volgens de dokters worden patiënten zonder identiteits- of verzekeringsbewijs bij de balie van het ziekenhuis al"
"nl.proc.ob.d.h-tk-20052006-5702-5719.1.13.3","nl.proc","speech",0.6697277,"2006-06-21","De Haan","CDA","De heer","mp",2,"commons"," is \"principle based\". Als wij veel richtlijnen vaststellen, krijgen wij <em>Amerikaanse</em> <em>toestanden</em> in de trant van: wat niet verboden is, mag. Wij willen wetgeving die de sector ertoe aanzet om gewoon het gezonde boerenverstand te gebruiken en zaken nu eens niet aan te bieden, of zelfs te ontraden bepaalde producten aan bepaalde mensen te verkopen. In"
"nl.proc.ob.d.h-tk-20142015-69-3.1.4.1","nl.proc","speech",0.5740523,"2015-03-31","Mei Li Vos","PvdA","Mevrouw","mp",4,"commons","Voorzitter. Gisteren reed een colonne van pakketbezorgers in witte busjes naar Den Haag. De bezorgers boden de minister van Sociale Zaken en Werkgelegenheid een petitie aan. De pakketbezorgers vragen de minister om nu eens een einde te maken aan de welhaast <em>Amerikaanse</em> <em>toestanden</em> in de pakkettensector.  Jaren geleden was pakketbezorger een"
"nl.proc.ob.d.h-tk-20072008-260-303.1.11.1","nl.proc","speech",0.4783769,"2007-09-26","Schippers","VVD","Mevrouw","mp",3,"commons"," zullen gebruiken. De zieke Nederlander betaalt een net zo hoge premie als zijn gezonde buurman. Hij kan zich dankzij de acceptatieplicht ook bij iedere verzekeraar verzekeren. Deze zieke Nederlander heeft toch maar maximaal € 150 of een ander bedrag wat je ervoor inboekt, méér kosten per jaar. Daarvoor staat de gehele gezondheidszorg tot zijn beschikking, ongeacht de kosten die hij maakt. Ik hoor vaak spreken over <em>Amerikaanse</em> <em>toestanden</em>, maar dit is eerder Moskou aan Zee."
"nl.proc.ob.d.h-tk-20112012-35-32.1.12.1","nl.proc","speech",0.38270152,"2011-12-13","Klaver","GroenLinks","De heer","mp",6,"commons"," Nederlanders die werken, leeft onder de armoedegrens. Te veel mensen zijn werkend arm doordat ze op basis van stukloon werken en verschillende kleine baantjes moeten combineren. Hoe voorkom je <em>Amerikaanse</em> <em>toestanden</em> waarin iemand drie baantjes moet combineren, daardoor zestien uur op een dag werkt en van huis is, niet meer voor zijn of haar kinderen"
"nl.proc.ob.d.h-tk-20142015-62-6.1.10.1","nl.proc","speech",0.38270152,"2015-03-11","De Roon","PVV","De heer","mp",6,"commons"," een rechter geldt immers voor een periode van negen jaar. Het doel ervan is dat wordt voorkomen dat ervaren rechters tussentijds moeten opstappen. Dat doel kan ik zeker onderschrijven en ik denk ook dat we niet bang behoeven te zijn voor <em>Amerikaanse</em> <em>toestanden</em>, waar sommige rechters in het supreme court wel 40 jaar op die stoel zitten, tot ver"
"nl.proc.ob.d.h-tk-20142015-71-13.1.9.1","nl.proc","speech",0.38270152,"2015-04-02","De Jong","EP/SP","De heer","mp",9,"commons"," markt, zoals die in Europa sinds de jaren negentig is ontwikkeld  Dat leidt tot vier hoofdproblemen. Ten eerste is er sprake van sociale dumping. De kans is groot dat we <em>Amerikaanse</em> <em>toestanden</em> krijgen op de arbeidsmarkt, omdat door gelijktrekking van voorschriften steeds meer andere kostenverschillen wegvallen en er dus concurrentie komt op lonen"
