"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20072008-3146-3159.1.11.1","nl.proc","speech",0.7953243,"2008-01-15","Madlener","PVV","De heer","mp",4,"commons"," voordat je als overlast ervarende huurder zo'n <em>asociale</em> huurder zijn huis uit kunt krijgen. De woningcorporaties laten op dat gebied heel veel werk liggen. Zij zijn vaak lui en wijzen een woning toe aan een of andere <em>asociaal</em>, die vervolgens allerlei ellende gaat veroorzaken. De andere huurders zitten dan met de gebakken peren. Wij zouden de verhuurder"
"nl.proc.ob.d.h-tk-20082009-7421-7434.1.5.1","nl.proc","speech",0.7597874,"2009-06-11","Van Gerven","SP","De heer","mp",6,"commons"," sommige specialisten graaiden driemaal zoveel bijeen als het jaar daarvoor. Als gevolg zijn er extra uitgaven van 0,5 mld. die niet aan zorg kunnen worden besteed. Geen nieuws is het ook waar deze minister zijn besparingen zoekt, namelijk in de <em>asociale</em> hoek. De bezuinigingen op de geestelijke gezondheidszorg, waar de wachtlijsten oplopen, het"
"nl.proc.ob.d.h-tk-20102011-41-2.1.11.43","nl.proc","speech",0.3417412,"2011-01-19","Rouvoet","ChristenUnie","De heer","mp",2,"commons"," verzetten tegen deze bezuinigingen, afdoet als <em>asociaal</em>, dan gaat hij voorbij aan het gegeven dat hij zijn doelstellingen kan realiseren zonder deze maatregelen te nemen. Dan gaat het niet aan – dat bedoelde ik met mijn openingszin \"hij heeft wel lef\" – om de partijen die zich nu verzetten tegen onderwijsbezuinigingen, <em>asociaal</em> te noemen. Het kan dus ook anders. Dat heb ik willen bewijzen."
"nl.proc.ob.d.h-tk-20132014-58-25.1.6.3","nl.proc","speech",0.3417412,"2014-03-04","Klever","PVV","Mevrouw","mp",2,"commons","Allereerst wil ik zeggen dat wij helemaal niemand uitsluiten van zorg. Acute en strikt noodzakelijke zorg blijft voor iedereen beschikbaar. Het is <em>asociaal</em> om je premie niet te betalen en andere mensen, die het ook moeilijk hebben, ervoor op te laten draaien. Dat is pas <em>asociaal</em>. Dan het voorstel van de heer Van Gerven. We hebben al vaker debatten"
"nl.proc.ob.d.h-tk-20092010-24-2056.1.10.10","nl.proc","speech",0.33830658,"2009-11-12","Kant","SP","Mevrouw","mp",2,"commons","Jawel. Omdat zij eerder stoppen, moeten ze maar een beetje inleveren omdat ze langer van hun AOW genieten. Dat is wat u zegt. Het moet om hetzelfde bedrag gaan. Dus met 65 in de bijstand, is bij de Partij van de Arbeid tot 67 in de bijstand. Stop je met 65, dan moet je € 100 per maand inleveren tot helaas de dood erop volgt. Ik heb nog een derde voorbeeld van wat <em>asociaal</em> is."
"nl.proc.ob.d.h-tk-20102011-54-22.1.30.1","nl.proc","speech",0.2959566,"2011-02-17","Elias","VVD","De heer","mp",8,"commons","Mevrouw de voorzitter. Een land waar vanaf 2015 nog altijd hetzelfde bedrag als in 2005, namelijk 1200 mln., beschikbaar blijft voor speciale begeleiding van kinderen die dat echt nodig hebben, is niet een <em>asociaal</em> land. Een land waarin we het raar vinden dat een op de vijf kinderen in het voortgezet onderwijs iets heeft, en waarin we die hoge"
"nl.proc.ob.d.h-tk-20122013-46-3.1.8.9","nl.proc","speech",0.28997707,"2013-01-30","Karabulut","SP","Mevrouw","mp",2,"commons"," degelijk zijn voor ouderen compenseren? Gaat mevrouw Hamer ons steunen in het voorstel om dat allemaal netjes in kaart te brengen, opdat zij en ik en vooral de minister het eerlijke verhaal kunnen vertellen en opdat we het vervolgens kunnen compenseren? Of vindt mevrouw Hamer het best dat onze ouderen zo onevenredig hard en <em>asociaal</em> worden gepakt?"
"nl.proc.ob.d.h-tk-20102011-66-28.1.9.25","nl.proc","speech",0.28997707,"2011-03-29","De Jong","PVV","De heer","mp",2,"commons"," fractie van GroenLinks. Wij breken helemaal niets af. Wij corrigeren wat er in de afgelopen jaren compleet is misgegaan. Als wij niets zouden hebben gedaan, zou de sociale zekerheid op den duur niet meer houdbaar zijn geweest. Dat zou echt <em>asociaal</em> zijn."
"nl.proc.ob.d.h-tk-20072008-7961-7964.1.4.1","nl.proc","speech",0.27405602,"2008-09-09","Agema","PVV","Mevrouw","mp",2,"commons"," partij eerder dit jaar een werkstage, waaraan ook de ministers Klink en Vogelaar meededen. Die uitkomst is dus teleurstellend. De allochtonen worden niet aangesproken op hun <em>asociale</em> en agressieve gedrag, maar in plaats daarvan voorgetrokken. Zoals altijd. Zie hier wederom het failliet van de multiculturele samenleving. Dit is hetzelfde als niets doen"
"nl.proc.ob.d.h-tk-20102011-41-2.1.11.30","nl.proc","speech",0.27339298,"2011-01-19","Rouvoet","ChristenUnie","De heer","mp",2,"commons"," fracties in de oppositie dat zich verzette tegen de bezuiniging op het hoger onderwijs, de term \"<em>asociaal</em>\" in de mond te nemen. Mijnheer De Rouwe, bent u bereid en in staat om de plannen van uw partij, maar ook van het kabinet rondom het hoger onderwijs te verdedigen tegenover universiteiten en studenten als sociaal ten opzichte van de partijen die"
"nl.proc.ob.d.h-tk-20072008-2229-2239.1.8.1","nl.proc","speech",0.27339298,"2007-11-27","Madlener","PVV","De heer","mp",3,"commons","Voorzitter. De leden van de PVV-fractie kunnen altijd uit hun bed worden gehaald voor een debat over rekeningrijden. Het rekeningrijden is voor ons simpelweg onacceptabel. Het is <em>asociaal</em> beleid. Of het nu rekeningrijden, anders betalen, tolpoortjes of automobilistenboetes wordt genoemd, het beleid zal alleen verliezers kennen. Wat ons betreft"
