"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-33-7.1.13.5","nl.proc","speech",0.6761631,"2011-12-07","De Jong","PVV","De heer","mp",5,"commons","Ik zal het maar herhalen. Het is wederom – en dat ben ik wel gewend van mevrouw Karabulut – klinkklare onzin. Wij kiezen voor de mensen in het land. Door mee te doen met deze gedoogconstructie heeft de PVV-fractie ervoor gezorgd dat wij nu kunnen spreken over een WSW die <em>beschermt</em>. Wij kunnen zeggen dat de Wajong mensen <em>beschermt</em> die dat echt"
"nl.proc.ob.d.h-tk-20082009-3645-3651.1.11.1","nl.proc","speech",0.66435957,"2009-01-14","Van Haersma Buma","CDA","De heer","mp",3,"commons"," waardevolle grens. Veel gelovigen weten zich er uiteindelijk door <em>beschermd</em>. Zoals ik al zei is echter geen meerderheid gebleken om artikel 147 te behouden. De minister van Justitie stelt een alternatief voor om de diepste gevoelens van mensen beter te <em>beschermen</em> via een verduidelijking van artikel 137c. Wat mijn fractie betreft, zou het een verbreding"
"nl.proc.ob.d.h-tk-20122013-64-9.1.10.1","nl.proc","speech",0.6211909,"2013-03-20","Van Dam","PvdA","De heer","mp",6,"commons"," en de vrijheid van vereniging het belangrijkste fundament onder onze democratie. Een uitvoerig en onbeperkt publiek debat is de kurk waarop elke volwassen democratie drijft. Het grondrecht van de vrije meningsuiting dient dan ook niet om de grote meerderheid te <em>beschermen</em>, maar geeft juist het recht om tegen de communis opinio in te gaan en datgene"
"nl.proc.ob.d.h-tk-20102011-67-2.1.8.1","nl.proc","speech",0.41956493,"2011-03-30","Van der Staaij","SGP","De heer","mp",6,"commons",". Mensenrechten zijn er om <em>beschermd</em> te worden en een goede waakhond is daarbij onmisbaar. Wij zijn blij dat dit college ook de volle breedte van de mensenrechten kan bestrijken. Wel vraag ik mij af waarom het recht van gelijke behandeling in de aanhef van het wetsvoorstel en in de doelomschrijving afzonderlijk benoemd wordt. Is daar dan onduidelijkheid"
"nl.proc.ob.d.h-tk-20072008-7218-7239.1.7.1","nl.proc","speech",0.40752453,"2008-06-25","Waalkens","PvdA","De heer","mp",9,"commons"," wetsvoorstel eigenlijk <em>beschermt</em>, de moraal of de dieren. Ook mevrouw Van Gent vroeg zich dit af. Wordt de waardigheid van het dier of het dier <em>beschermd</em>? De heer Van der Ham had hierover ook vragen. Mijn antwoord daarop is kort. Ik beoog zowel het dier te <em>beschermen</em> als de zedelijkheid van de mens. Door deze dubbele doelstelling ligt opnemen van de"
"nl.proc.ob.d.h-tk-20062007-3529-3550.1.12.2","nl.proc","speech",0.3776432,"2007-04-19","Van der Ham","D66","De heer","mp",2,"commons","Ik vraag hiermee dus om een inspanningsverplichting en niet om een resultaatsverplichting. De overheid <em>beschermt</em> nu in wezen een monopolist waarvan ze de eigenares is. Ik wil dat ze verantwoordelijkheid voelt voor het welslagen van de overleggen die nu gaande zijn. Vooral door de SP wordt veel lawaai gemaakt over deze Postwet; de heer Aptroot"
"nl.proc.ob.d.h-tk-20142015-9-4.1.8.6","nl.proc","speech",0.35753602,"2014-10-02","Klever","PVV","Mevrouw","mp",3,"commons"," wordt. Alles wat ze kijken, wanneer ze kijken en hoe ze kijken, wordt bijgehouden. Kan de minister aangeven in hoeverre deze wet de privacy van gebruikers van een smart-tv <em>beschermt</em>?  Bedrijven zullen steeds weer nieuwe ingangen en technieken vinden om persoonlijke gegevens te verzamelen. Het <em>beschermen</em> van de privacy op een gebruiksvriendelijke manier zal in ieder geval een blijvende uitdaging zijn."
"nl.proc.ob.d.h-tk-20142015-77-7.1.9.1","nl.proc","speech",0.33217978,"2015-04-16","Ouwehand","PvdD","Mevrouw","mp",8,"commons"," Dieren heeft dus zojuist een amendement ingediend om met elkaar af te spreken en in deze wet te regelen dat beschermde natuurgebieden ook echt beschermde natuurgebieden zijn. Dat is geen nieuw pleidooi van de Partij voor de Dieren. Wij vinden dat je in een <em>beschermd</em> natuurgebied bijvoorbeeld geen bodem beroerende visserij zou moeten hebben. Want wat"
"nl.proc.ob.d.h-tk-20062007-879-884.1.5.1","nl.proc","speech",0.312844,"2006-10-18","Van Velzen","SP","Mevrouw","mp",11,"commons","Wat gaat de minister doen tegen de regering van IJsland, die de commerciële jacht op walvissen heeft geopend? Ik zou hierop graag een schriftelijke reactie willen hebben. De Flora- en faunawet is in het leven geroepen om de flora en fauna in Nederland te <em>beschermen</em>. In het algemeen overleg heb ik al gezegd dat Nederland één grote schiettent is"
"nl.proc.ob.d.h-tk-20142015-90-21.1.10.55","nl.proc","speech",0.312844,"2015-06-02","Van Veen","VVD","De heer","mp",2,"commons"," Pechtold aanspreken — graag de status van \"rijks\" eraan zou willen toevoegen. Vaak gaat dat proces prima en heb je eigenlijk alleen wederzijdse voorwaarden nodig in plaats van een wet. In uitzonderlijke gevallen heb je eigenlijk een wet nodig die het private eigendom <em>beschermt</em> tegen regeldrift en kift van anderen. Vandaar dat ik van mening ben dat de door de VVD ingebrachte amendementen juist dat bezit <em>beschermen</em>. Zo willen mensen met trots hun goed, hun bezit, toevoegen aan het rijkserfgoed van ons allemaal."
