"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-19-7.1.11.1","nl.proc","speech",0.9375743,"2011-11-03","Dijksma","PvdA","Mevrouw","mp",12,"commons"," belangenorganisaties een mogelijkheid om schade <em>collectief</em> te verhalen ontbreekt als gevolg van de expliciete uitsluiting in het BW 3:305a, lid 3, als de schadeveroorzakende partij niet bereid is tot een schikking te komen; overwegende dat een instrument voor <em>collectieve</em> schadevergoeding efficiëntievoordelen biedt voor alle betrokken partijen en dat dit de"
"nl.proc.ob.d.h-tk-20092010-21-1755.1.17.3","nl.proc","speech",0.92104423,"2009-11-05","Azough","GroenLinks","Mevrouw","mp",9,"commons","Voorzitter. De volgende motie die ik wil indienen kan actueel genoemd worden. De Kamer, gehoord de beraadslaging, overwegende dat het ondanks het bestaan van de Wet <em>collectieve</em> afhandeling massaschade thans ontbreekt aan <em>collectieve</em> schadevergoedingsmogelijkheden voor grote groepen consumenten die slachtoffer zijn geworden van dezelfde"
"nl.proc.ob.d.h-tk-20092010-99-8020.1.5.9","nl.proc","speech",0.8114057,"2010-09-14","Van Bommel","SP","De heer","mp",2,"commons","Terwijl er in Frankrijk <em>collectief</em> Roma op grond van hun gemeenschappelijke etniciteit worden uitgezet, dreigt er in Nederland een regering gevormd te worden met de PVV, die tientallen miljoenen moslims op grond van hun <em>collectieve</em> identiteit wil uitzetten uit Europa. Dit betoogde haar leider Wilders vorig jaar nog in Denemarken. Dat toont nog"
"nl.proc.ob.d.h-tk-20112012-32-25.1.4.1","nl.proc","speech",0.7083695,"2011-12-06","Jacobi","PvdA","Mevrouw","mp",12,"commons"," natuur- en landschapsbeheer; overwegende dat samenwerking de kwaliteit bevordert, zoals aangetoond in de Noardlike Fryske Wâlden; overwegende dat het mogelijk moet worden <em>collectieve</em> aanvragen te doen; verzoekt de regering, tot een regeling te komen waarbij meerdere kleinere aanvragen worden gebundeld en <em>collectief</em> worden behandeld, en gaat over tot de orde van de dag. Deze motie is voorgesteld door het lid Jacobi. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 25 (29246) ."
"nl.proc.ob.d.h-tk-20132014-9-15.1.12.2","nl.proc","speech",0.7083695,"2013-10-03","Van Gerven","SP","De heer","mp",2,"commons"," stilstaan bij het feit dat de minister zegt dat we ten opzichte van het buitenland relatief weinig eigen betalingen hebben. We hebben echter wel hoge premies. Gelet op het beleid dat er nu ligt, moeten we toch constateren dat er een verschuiving heeft plaatsgevonden van <em>collectieve</em> financiering naar private financiering? Het gaat hierbij om een"
"nl.proc.ob.d.h-tk-20142015-6-9.1.14.1","nl.proc","speech",0.6629652,"2014-09-25","Van Klaveren","Groep Bontes/Van Klaveren","De heer","mp",21,"commons"," beraadslaging,  constaterende dat het draagvlak voor het verplichte en <em>collectieve</em> aanvullende pensioen afneemt;  overwegende dat individuen niet gedwongen dienen te worden om een deel van hun salaris in een <em>collectief</em> fonds te storten voor aanvullend pensioen;  verzoekt de regering, in te zetten op beëindiging van het verplichte, <em>collectieve</em> aanvullende"
"nl.proc.ob.d.h-tk-20152016-9-11.1.16.1","nl.proc","speech",0.6629652,"2015-10-01","Van Klaveren","Groep Bontes/Van Klaveren","De heer","mp",10,"commons",",  constaterende dat het draagvlak voor het verplichte en <em>collectieve</em> aanvullende pensioen afneemt;  overwegende dat individuen niet gedwongen dienen te worden om een deel van hun salaris in een <em>collectief</em> fonds te storten voor een aanvullend pensioen;  verzoekt de regering, in te zetten op beëindiging van het verplichte, <em>collectieve</em> aanvullende pensioen"
"nl.proc.ob.d.h-tk-20052006-6307-6341.1.11.5","nl.proc","speech",0.644731,"2006-09-06","Huizinga-Heringa","ChristenUnie","Mevrouw","mp",2,"commons","De crux zit in het woord <em>collectief</em>. U bent wel voor een rustdag, maar dan mag iedereen zelf uitmaken wanneer hij die rustdag neemt. U vraagt waarom de wetgever of de overheid een bepaalde dag zou moeten aanwijzen als rustdag. Ik ben een groot voorstander van een <em>collectieve</em> rustdag, omdat die de hele samenleving ten goede komt. Neem het voorbeeld"
"nl.proc.ob.d.h-tk-20052006-5874-5876.1.4.1","nl.proc","speech",0.644731,"2006-06-27","Dittrich","D66","De heer","mp",12,"commons"," culturele diversiteit. Ik heb in dat overleg aangekondigd dat ik dat graag wil vastleggen in een motie, mede namens een aantal collega's. De DittrichKamer, gehoord de beraadslaging, overwegende dat het <em>collectieve</em> beheer van muziekauteursrechten belangrijk is voor de inkomensvorming van componisten, tekstschrijvers en muziekuitgevers; overwegende dat in"
"nl.proc.ob.d.h-tk-20102011-14-2.1.7.58","nl.proc","speech",0.644731,"2010-10-27","Roemer","SP","De heer","mp",2,"commons"," de <em>collectieve</em> zekerheid, waarin wij een heleboel dingen als beschaving <em>collectief</em> regelen. Het feit dat wij een sociaal vangnet hebben en dat wij staan voor mensen die uit de boot dreigen te vallen. Wij moeten ook garant staan voor de leefbaarheid van wijken en voor allerlei voorzieningen waarvan wij vinden dat ze van ons allemaal zijn. De heer"
"nl.proc.ob.d.h-tk-20122013-61-9.1.7.1","nl.proc","speech",0.60615206,"2013-03-13","Mei Li Vos","PvdA","Mevrouw","mp",7,"commons",". Dit heeft te maken met die andere manier om <em>collectief</em> je schade te verhalen, het <em>collectief</em> actierecht zoals dat staat in het Burgerlijk Wetboek 3:305a, waar ook de motie-Dijksma c.s. over gaat. Daar staat een bepaling dat het verhalen in geld niet mogelijk is. Daar gaat de motie over, met de vraag of dat niet toch kan, omdat dat inderdaad – mijn"
"nl.proc.ob.d.h-tk-20112012-105-37.1.7.1","nl.proc","speech",0.5666956,"2012-07-05","Schouw","D66","De heer","mp",12,"commons","Voorzitter. Ook ik heb een motie over 1F. Motie De Kamer, gehoord de beraadslaging, overwegende dat het Nederlandse 1F-beleid tekortschiet ten aanzien van Afghaanse vluchtelingen die als onderofficier of officier bij de Khad/Wad hebben gediend doordat zij op grond van een ambtsbericht uit 2000 <em>collectief</em> worden beschuldigd van"
"nl.proc.ob.d.h-tk-20132014-35-8.1.10.35","nl.proc","speech",0.5666956,"2013-12-11","Klaver","GroenLinks","De heer","mp",2,"commons"," overheid daar niet aan zou moeten bijdragen. In onze voorstellen en zelfs in die van het kabinet wordt nog meer dan 80% van de kosten voor het hoger onderwijs uit <em>collectieve</em> middelen betaald. Dat is ook terecht. Wat mij betreft zou dat nog meer kunnen zijn, want onderwijs is niet alleen van belang voor individuen maar ook voor de samenleving als"
"nl.proc.ob.d.h-tk-20142015-29-3.1.9.19","nl.proc","speech",0.5288693,"2014-11-26","Vermeij","PvdA","Mevrouw","mp",2,"commons"," <em>collectief</em>, verplicht en solidair pensioen. Dat er nog vraagstukken moeten worden opgelost, weten wij ook, want de vele baanwisselingen en de oneerlijke doorsneepremie zijn absoluut een feit. Maar risico's met elkaar delen, van jongs af aan en waar je ook werkt, en met een goede werkgeversbijdrage pensioen opzij zetten voor later, is gewoon een goed"
"nl.proc.ob.d.h-tk-20142015-52-24.1.7.1","nl.proc","speech",0.5055481,"2015-02-10","Verhoeven","D66","De heer","mp",16,"commons"," krijg hierop graag een reactie. Is de staatssecretaris bereid om hier in de toekomst over na te denken?  Ik wil nog even ingaan op de praktijk van de <em>collectieve</em> beheersorganisaties. Het is helder dat D66 een voorstander is van het idee van <em>collectief</em> beheer — los van de online beperkingen — omdat de transactiekosten daarmee worden verlaagd en er"
"nl.proc.ob.d.h-tk-20052006-5179-5197.1.7.7","nl.proc","speech",0.4994443,"2006-06-01","Örgü","VVD","Mevrouw","mp",4,"commons"," definitie van \"<em>collectieve</em> consumentenbelangen\". Het is de VVD-fractie onhelder wat zij daar precies onder moet verstaan. Het mag niet zo zijn dat een belang <em>collectief</em> is als slechts twee mensen dezelfde klacht hebben. De invulling van het begrip \"<em>collectieve</em> consumentenbelangen\" is voor de reikwijdte van deze wet van groot belang en dient"
"nl.proc.ob.d.h-tk-20062007-407-418.1.11.3","nl.proc","speech",0.49862272,"2006-10-03","Vendrik","GroenLinks","De heer","mp",5,"commons"," melden. Of de postbussen van de heer Omtzigt moeten dichtgeplakt zijn om de jeugd een niet al te frivool oudjaar te bezorgen. Een ander punt betreft de <em>collectieve</em> contracten. Ik heb meldingen van mensen die via een <em>collectief</em> contract aangesloten zijn bij een verzekeraar, soms via de werkgever en soms anderszins. Op een site van volgens mij KPMG wordt"
"nl.proc.ob.d.h-tk-20102011-17-2.1.10.19","nl.proc","speech",0.49585867,"2010-11-03","Samsom","PvdA","De heer","mp",2,"commons","De eerste vraag heb ik feitelijk al een beetje beantwoord. Ik ga overigens niet schoorvoetend akkoord, ik ga mopperend akkoord. Laat we het zo maar ongeveer stellen. Hoe dan ook, ik ga wel akkoord en dat is uiteindelijk belangrijk in dit huis. Ik ben zo voor die collectiviteit in dezen, omdat er ook een <em>collectief</em> belang achter zit. Ja, u hebt"
"nl.proc.ob.d.h-tk-20142015-73-7.1.5.3","nl.proc","speech",0.49585867,"2015-04-08","Schouw","D66","De heer","mp",13,"commons"," gediend, doordat zij op grond van een ambtsbericht uit 2000 <em>collectief</em> worden beschuldigd van mensenrechtenschendingen en hun schuld dan wel onschuld niet per individu is vastgesteld;  van mening dat een <em>collectieve</em> 1F-tegenwerping en omgekeerde bewijslast zonder rechterlijke toetsing geen recht doet aan het individuele relaas van deze groep"
"nl.proc.ob.d.h-tk-20142015-27-9.1.20.1","nl.proc","speech",0.49585867,"2014-11-20","Van Klaveren","Groep Bontes/Van Klaveren","De heer","mp",12,"commons","Voorzitter. Ik dank de bewindspersonen voor de beantwoording. Het trieste resultaat van 40 jaar sociaaldemocratische indoctrinatie: zelfs de VVD-woordvoerder stelt pal te staan voor meer solidariteit in het <em>collectieve</em> zorgsysteem. Het was alsof ik mevrouw Leijten van de SP hoorde spreken. We hebben al eens gewezen op de uitspraak van Milton"
"nl.proc.ob.d.h-tk-20122013-61-9.1.5.1","nl.proc","speech",0.49442464,"2013-03-13","De Wit","SP","De heer","mp",7,"commons"," oprichten. Maar is dat niet omslachtig? Schade bij een pensioenfonds komt toch per definitie voor rekening van het <em>collectief</em> van gepensioneerden en pensioendeelnemers? Waarom blijft die toegang beperkt? Wat is er op tegen om dit mogelijk te maken? Ten slotte kom ik bij de rechtsbijstand. Gedupeerden die een <em>collectieve</em> actie tegen schadeveroorzakers"
"nl.proc.ob.d.h-tk-20112012-53-29.1.6.1","nl.proc","speech",0.4566717,"2012-02-14","Smeets","PvdA","Mevrouw","mp",12,"commons"," aantreden van het nieuwe kabinet. Maar goed, eindelijk is het dan zover. De PvdA-fractie vindt het van groot belang dat het goed functioneren van het <em>collectief</em> beheren van auteursrechten en naburige rechten wordt bevorderd. Het wetsvoorstel dat we vandaag behandelen, is daarom ook zo belangrijk. Het wettelijke toezicht op de <em>collectieve</em>"
"nl.proc.ob.d.h-tk-20102011-19-29.1.9.52","nl.proc","speech",0.44072437,"2010-11-09","Venrooy-van Ark","VVD","Mevrouw","mp",5,"commons",". Waarom doen wij dit, waarom willen wij dit bespreekbaar maken? De VVD wil op deze manier het persoonsgebonden budget voor levensbrede en levenslange zorg borgen en verankeren. Tevens willen wij bewerkstelligen dat de <em>collectief</em> aangeboden zorg in natura altijd voorhanden is en dat de keuze voor een pgb dus een vrije keuze is. De AWBZ is niet de enige"
"nl.proc.ob.d.h-tk-20112012-90-8.1.3.1","nl.proc","speech",0.44072437,"2012-05-31","Gerbrands","PVV","Mevrouw","mp",6,"commons"," er is op <em>collectieve</em> wijze gefaald. De uitbraak had voorkomen kunnen worden en dit is de betrokkenen aan te rekenen. Dit is echt heel, heel ernstig. Patiënten zijn onnodig aan risico's blootgesteld en als gevolg daarvan zijn er in ieder geval drie patiënten overleden en mogelijk nog tien meer. Terecht is de inspectie daarom gestart met een tuchtzaak"
"nl.proc.ob.d.h-tk-20072008-5422-5448.1.10.1","nl.proc","speech",0.4250217,"2008-04-16","Ulenbelt","SP","De heer","mp",3,"commons"," opnemen. Er is een veel belangrijker argument voor deze wet. Zwangerschap brengt de vrouwelijke zelfstandige in een financieel nadelige positie ten opzichte van niet-zwangeren en mannen. Terecht wordt nu een <em>collectieve</em> regeling voor zwangerschaps- en bevallingsverlof voor zelfstandigen ingevoerd. Het financiële nadeel dat zelfstandige vrouwen"
