"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-105-47.1.3.1","nl.proc","speech",1.0556076,"2012-07-05","Helder","PVV","Mevrouw","mp",10,"commons","Voorzitter. Ik dien de volgende motie in. Motie De Kamer, gehoord de beraadslaging, overwegende dat reclasseringsbegeleiding niet alleen in het belang is van de samenleving in het kader van recidivevermindering, maar dat die tevens in het belang is van de <em>dader</em>; overwegende dat niet valt in te zien waarom <em>daders</em> geen eigen bijdrage hoeven te"
"nl.proc.ob.d.h-tk-20102011-75-5.1.4.3","nl.proc","speech",0.87321126,"2011-04-19","Van Klaveren","PVV","De heer","mp",2,"commons","Veel uitzettingen gaan mis door knulligheden als te laat komen, het ontbreken van een busje of administratieve fouten. Aan dit soort amateurisme mag wat ons betreft geen cent belastinggeld meer verspild worden. Ik vraag de minister dus wat er op korte termijn gedaan wordt om dit beter te laten verlopen. Verbetering in de aanpak van de <em>daders</em> moet"
"nl.proc.ob.d.h-tk-20112012-17-28.1.7.2","nl.proc","speech",0.87321126,"2011-11-01","Brinkman","PVV","De heer","mp",2,"commons","Het voorbeeld van Hemelum dat collega Marcouch aanhaalt, is al meer dan een jaar oud. Waarschijnlijk is dat het enige voorbeeld met een niet-allochtone <em>dader</em> die de heer Marcouch heeft kunnen vinden van de straatterreur waarover hij het heeft. Van Hemelum in Friesland had ik zelf nog nooit gehoord. Hij heeft daarover in december vorig jaar al"
"nl.proc.ob.d.h-tk-20132014-66-23.1.13.1","nl.proc","speech",0.8444861,"2014-03-25","Fritsma","PVV","De heer","mp",12,"commons"," dat er voor het gebruik van foto's en video- of camerabeelden door politie en justitie in het kader van de opsporing onvoldoende wettelijke basis is en dat rechters mede om deze reden en vanwege het gestelde schenden van de privacy van de <em>daders</em> lagere straffen kunnen opleggen; van mening dat <em>daders</em> het recht op privacy hebben verspeeld door een"
"nl.proc.ob.d.h-tk-20092010-61-5401.1.7.5","nl.proc","speech",0.8368957,"2010-03-10","De Roon","PVV","De heer","mp",8,"commons",". Invoering van minimumstraffen. <em>Daders</em> van huiselijk geweld moeten lang gestraft worden en bij recidive nog langer. Ten tweede. <em>Daders</em> moeten worden vastgehouden. Geen schorsing of opheffing van voorlopige hechtenis. Ten derde. Als de <em>dader</em> beschikt over een andere dan de Nederlandse nationaliteit moet die, nadat hij zijn straf heeft uitgezeten"
"nl.proc.ob.d.h-tk-20132014-27-9.1.10.7","nl.proc","speech",0.83306456,"2013-11-21","Helder","PVV","Mevrouw","mp",11,"commons","-/camerabeelden door politie en justitie in het kader van de opsporing onvoldoende wettelijke basis is en dat rechters mede om deze reden en vanwege het gestelde schenden van de privacy van de <em>dader</em>(s) lagere straffen (kunnen) opleggen; van mening dat <em>daders</em> het recht op privacy hebben verspeeld door een misdrijf te begaan; constaterende dat het tonen"
"nl.proc.ob.d.h-tk-20092010-84-7082.1.5.2","nl.proc","speech",0.698569,"2010-05-18","Brinkman","PVV","De heer","mp",3,"commons","Een van de dingen die ik van mijn oud-collega's altijd terugkrijg, is dat verdachten worden aangehouden, het Openbaar Ministerie een straf vaststelt en mensen worden berecht of niet, maar dat de geüniformeerde personeelsleden nooit iets te horen krijgen over de uiteindelijke bestraffing van de <em>daders</em>. Ik wil graag weten wat de minister daarvan"
"nl.proc.ob.d.h-tk-20062007-4360-4372.1.11.1","nl.proc","speech",0.65303934,"2007-06-14","Teeven","VVD","De heer","mp",14,"commons"," gedragsbeïnvloeding. Bij verscherping van het conservator beslag, waarvan mevrouw Azough een voorstander is, hoort ook het aanscherpen van de verhaalsmogelijkheden. Het kabinet heeft er niet voor gekozen om snelheid te maken met het verhaal op ouders. De VVD-fractie stelt dus voor om wel snelheid te maken met het verhalen van geld op jeugdige <em>daders</em>, als"
"nl.proc.ob.d.h-tk-20112012-96-10.1.4.1","nl.proc","speech",0.6513731,"2012-06-14","Agema","PVV","Mevrouw","mp",7,"commons"," een hotel, door de belastingbetaler betaald wordt, is werkelijk onbegrijpelijk. Erger nog, als een slachtoffer in het ziekenhuis belandt, kost hem dat straks door het Kunduzakkoord € 7,50 per ligdag, terwijl de <em>dader</em> kosteloos ergens in een bubbelbad in een hotel ligt. Dat is de omgekeerde wereld. Deelt de staatssecretaris de mening dat <em>daders</em> de"
"nl.proc.ob.d.h-tk-20122013-76-7.1.9.1","nl.proc","speech",0.63336456,"2013-04-17","Helder","PVV","Mevrouw","mp",11,"commons"," adopteert.\" Voorzitter, ik mag toch hopen dat de minister dit keihard afschiet, want hij heeft altijd gezegd dat blauw op straat boeven moet pakken. Ik probeer dat recht te trekken door de minister een voorstel te doen dat de PVV al eerder heeft gedaan: een isd-maatregel voor minderjarige <em>daders</em>. Waarom wachten op het wetsvoorstel"
"nl.proc.ob.d.h-tk-20122013-46-7.1.7.1","nl.proc","speech",0.63150644,"2013-01-30","Schouw","D66","De heer","mp",3,"commons","Voorzitter. Misdrijven gaan niet zelden gepaard met veel leed en schade. Het is dan ook onverteerbaar, als slachtoffers met veel schade blijven zitten omdat de <em>dader</em> zijn vermogen handig heeft weggesluisd. Als wij het verhalen van schade op de <em>daders</em> voor het slachtoffer veilig kunnen stellen, moeten wij dat dan ook niet nalaten, zo zegt de"
"nl.proc.ob.d.h-tk-20122013-46-7.1.8.1","nl.proc","speech",0.6174536,"2013-01-30","Kooiman","SP","Mevrouw","mp",4,"commons"," ook stilstaan bij het probleem dat de <em>dader</em> de schade of boete soms niet kan betalen. Ik maak daarbij een duidelijk onderscheid tussen niet willen en niet kunnen betalen. Als mensen niet willen betalen, kan ik mij heel goed voorstellen dat we dwang toepassen en in het uiterste geval soms ook overgaan tot in gijzeling nemen, dus tot het in detentie"
"nl.proc.ob.d.h-tk-20132014-70-9.1.14.1","nl.proc","speech",0.6112479,"2014-04-02","Ypma","PvdA","Mevrouw","mp",14,"commons"," al dan niet aangifte te doen. Motie De Kamer, gehoord de beraadslaging, constaterende dat per jaar te veel kinderen ernstig mishandeld worden (fysiek, verwaarlozing en/of seksueel); constaterende dat het verzamelen van bruikbare bewijzen van belang is voor het veroordelen van <em>daders</em> van kindermishandeling; overwegende dat ernstige mishandeling zo"
"nl.proc.ob.d.h-tk-20112012-17-28.1.6.13","nl.proc","speech",0.6112479,"2011-11-01","Recourt","PvdA","De heer","mp",3,"commons","Ik ben het voor een klein deel met de heer Van der Steur eens, namelijk dat je niet direct met een <em>dader</em> geconfronteerd moet worden. Het beeld dat het in Nederland maar een softe boel is en dat <em>daders</em> geknuffeld worden en meteen weer op straat staan, is echter flauwekul. In enkele gevallen is het niet op orde en moeten wij zeker harder straffen"
"nl.proc.ob.d.h-tk-20122013-46-7.1.6.1","nl.proc","speech",0.6086312,"2013-01-30","Helder","PVV","Mevrouw","mp",10,"commons"," regeerakkoord met ferme taal aangegeven de mogelijkheden te onderzoeken om de kosten van het strafproces te verhalen op <em>daders</em>. Het is een PVV-punt, maar het is prima als het wordt gerealiseerd, zeker in economisch moeilijke tijden. De PVV ziet graag dat de staatssecretaris in dit kader consequent zal zijn en dat dit ook geldt voor het verhalen van de beslagleggingskosten op een veroordeelde <em>dader</em>."
"nl.proc.ob.d.h-tk-20122013-46-7.1.5.1","nl.proc","speech",0.5545826,"2013-01-30","Van der Steur","VVD","De heer","mp",8,"commons"," strafproces voegt met een schadevergoedingsvordering? Kan het slachtoffer dat de vordering indient in het strafproces ook gebruikmaken van het beslag dat gelegd is op de spullen van de <em>dader</em>? Ik hoor graag een helder antwoord van de staatssecretaris omdat dit punt voor de VVD-fractie van groot belang is. Het kan niet zo zijn dat het conservatoir beslag"
