"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20082009-1255-1273.1.12.9","nl.proc","speech",0.8945394,"2008-10-29","Cramer","ChristenUnie","De heer","mp",2,"commons","Zo, dat dacht ik ook. De heer Vendrik zegt tegen mij dat het hier geen theehuis is. Ik heb niet gevraagd om dit debat, maar aangezien een collega een spoeddebat heeft gevraagd, breng ik het <em>fatsoen</em> op om daar gewoon aan deel te nemen. Het betreft immers mijn vragen. Daarom is het een novum. Wij praten over iets waarover ik schriftelijke vragen heb ingediend. Er ontstaat een holle discussie over omdat wij geen stukken hebben."
"nl.proc.ob.d.h-tk-20062007-294-351.1.10.1","nl.proc","speech",0.8853644,"2006-09-28","Halsema","GroenLinks","Mevrouw","mp",4,"commons","Voorzitter. Ik dank de premier voor zijn antwoorden in eerste termijn. In 1998 schreef de twee weken geleden overleden filosoof Lolle Nauta samen met de dichter Rutger Kopland een pleidooi voor een fatsoenlijke samenleving. Dat pleidooi was overigens ook een advies om GroenLinks te stemmen, maar dat daar gelaten. Hij schreef over <em>fatsoen</em>. Dat is"
"nl.proc.ob.d.h-tk-20142015-76-8.1.10.66","nl.proc","speech",0.7667481,"2015-04-15","Gerbrands","PVV","Mevrouw","mp",2,"commons","Dat is wel zo beleefd. Dat is gewoon <em>fatsoen</em>.  Als we Buurtzorg landelijk uitrollen, dan kan dat 0,8 tot 1,2 miljard opleveren. Daarover zijn we het eens. Probleem is alleen dat een heleboel organisaties niet volgens het Buurtzorgmodel werken, dat door de bezuinigingen de helft van de Zichtbare Schakel-wijkverpleegkundigen is ontslagen en iedere"
"nl.proc.ob.d.h-tk-20082009-1096-1123.1.6.6","nl.proc","speech",0.6389567,"2008-10-23","Van Raak","SP","De heer","mp",3,"commons"," zo veel besloten, dat je met goed <em>fatsoen</em> de besluiten niet meer kunt terugdraaien. Zitten wij nu niet op een trein die alle stations rustig passeert maar waarbij straks geen weg terug meer is?"
"nl.proc.ob.d.h-tk-20102011-35-41.1.9.4","nl.proc","speech",0.6389567,"2010-12-15","Pechtold","D66","De heer","mp",2,"commons","Dat is één kant van de medaille, minister. Ik sta ook open voor bewegingen vanuit het kabinet als die in lijn zijn met het verkiezingsprogramma, al vind ik niet dat u op het <em>fatsoen</em> van de oppositie mag blijven rekenen als een uitgestoken hand niet meer is dan: we zien wanneer wij jullie nodig hebben. Ik heb gisteren ook een ander punt"
"nl.proc.ob.d.h-tk-20092010-20-1580.1.10.18","nl.proc","speech",0.6389567,"2009-11-04","Teeven","VVD","De heer","mp",2,"commons"," Pechtold ook wel eens te hard. Ik sta met verbazing te luisteren naar de uiting dat dit bijdraagt aan de verloedering als ik dat zeg. Volgens mij is verloedering het volgende en hierbij kijk ik collega Pechtold aan. Als hij het niet met mij eens is, hoor ik het wel. Verloedering begint bij de manier waarop je met elkaar omgaat. Dat heeft niets met neutraliteit te maken maar met gewoon <em>fatsoen</em>, met de manier waarop je in een samenleving met elkaar omgaat. Dat is de verloedering van de rechtsstaat waar de VVD-fractie het over heeft."
"nl.proc.ob.d.h-tk-20072008-2787-2816.1.8.23","nl.proc","speech",0.6389567,"2007-12-13","Graus","PVV","De heer","mp",2,"commons","Ik ken u als een fatsoenlijke Limburgse jongen. Ik weet dat uw partij strijdt voor respect en <em>fatsoen</em>. Is het misschien mogelijk dat u iets meer respect toont in de richting van de initiatiefnemers? Zij proberen toch met veel lef, durf en moed de Haagse grijze muizen wakker te schudden. U zou daar iets meer respect voor mogen tonen. Bovendien is"
"nl.proc.ob.d.h-tk-20112012-15-2.1.8.1","nl.proc","speech",0.6389567,"2011-10-26","Heijnen","PvdA","De heer","mp",2,"commons","Voorzitter. Ten slotte maak ik een opmerking over de motie van de leden Brinkman, Heijnen, Van Raak en Ortega-Martijn over de Randstadprovincie. De heer Schouw interrumpeerde de heer Brinkman met een opmerking over <em>fatsoen</em>. De Partij van de Arbeid is een constructieve partij en gaat niet meewerken aan een dictaat op grond van een regeerakkoord"
"nl.proc.ob.d.h-tk-20132014-15-29.1.6.18","nl.proc","speech",0.6389567,"2013-10-17","Merkies","SP","De heer","mp",10,"commons","Mijn laatste motie gaat over passende arbeid. Wij kunnen hervormingen voorstellen. Ik heb daarover al een interruptiedebatje gevoerd met de heer Koolmees. Als hij hervormingen voorstelt, waarmee wij het overigens niet eens zijn, vind ik dat wij hier ten minste het <em>fatsoen</em> moeten hebben dat er gelijke monniken, gelijke kappen geldt, en dat die"
"nl.proc.ob.d.h-tk-20082009-1567-1593.1.13.2","nl.proc","speech",0.6389567,"2008-11-05","Agema","PVV","Mevrouw","mp",8,"commons","Voorzitter. Wij hebben een plan voorgesteld voor ouderenmishandeling. Staatssecretaris Bussemaker heeft niet het <em>fatsoen</em> gehad om daarop überhaupt te reageren. Vandaar de volgende motie. De Kamer, gehoord de beraadslaging, constaterende dat ongeveer 160.000 ouderen jaarlijks het slachtoffer zijn van mishandeling; verzoekt de regering, een"
"nl.proc.ob.d.h-tk-20122013-73-4.1.14.4","nl.proc","speech",0.63253486,"2013-04-10","Van Dam","PvdA","De heer","mp",3,"commons","Wij staan hier dus binnenkort weer twee keer. Ik zou het beter vinden als wij wat meer in de breedte met elkaar discussiëren over het feit dat iedereen nu zijn mening maar ventileert op internet en daar soms de grenzen van het <em>fatsoen</em> ver te buiten gaat. Ik zal daar straks nog kort iets over zeggen. Wanneer vinden wij dat mensen de grenzen van het"
"nl.proc.ob.d.h-tk-20142015-14-7.1.10.1","nl.proc","speech",0.63253486,"2014-10-15","Madlener","PVV","De heer","mp",9,"commons"," PVV betreft hebben ouderen al veel te veel ingeleverd. Wij vinden het dan ook een kwestie van <em>fatsoen</em>. Ondanks alle techniek die hier besproken is, is het gewoon ook een kwestie van <em>fatsoen</em> om die ouderen te sparen en te zeggen dat het genoeg is geweest. Ze hebben al te veel ingeleverd, meer dan anderen. Met de aanpassing van het Witteveenkader"
"nl.proc.ob.d.h-tk-20122013-71-15.1.6.1","nl.proc","speech",0.6133985,"2013-04-04","Leijten","SP","Mevrouw","mp",1,"commons","Laat ik dan wel <em>fatsoen</em> hebben, voorzitter."
"nl.proc.ob.d.h-tk-20092010-70-6020.1.10.1","nl.proc","speech",0.54217273,"2010-03-31","Gesthuizen","SP","Mevrouw","mp",4,"commons"," – hebben, maar ook over <em>fatsoen</em>, het <em>fatsoen</em> in zakendoen om je geld te verdienen. Ik heb mij afgevraagd waarom de minister van Economische Zaken dit wetsvoorstel meende te moeten aanvallen. Ik zal verder geen woorden daaraan vuilmaken, aangezien die minister er nu niet is. Het leek mij dat het kabinet het toch eens moet zijn met een voorstel dat"
"nl.proc.ob.d.h-tk-20132014-76-3.1.7.12","nl.proc","speech",0.5111654,"2014-04-16","Ouwehand","PvdD","Mevrouw","mp",2,"commons",", zo vindt de Partij voor de Dieren, met goed <em>fatsoen</em> een voorstel indienen en erover nadenken hoe je activiteiten kunt vormgeven, die weliswaar een belasting betekenen voor de natuur, maar die misschien toch kunnen, omdat de natuur een stootje kan hebben. We zien dat er op dit moment te weinig erkenning is van wat de natuur nodig heeft, terwijl er"
"nl.proc.ob.d.h-tk-20062007-5109-5119.1.12.12","nl.proc","speech",0.5111654,"2007-07-05","Pechtold","D66","De heer","mp",3,"commons"," verrast met minimaal één, maar gemiddeld drie of vier stukken die door ministeries zijn gelekt. De minister-president is daarvoor eindverantwoordelijk. Ik wil het niet over vertrouwen hebben, maar over <em>fatsoen</em>. Terwijl de minister-president in het debat over de participatietop alleen maar iets wil zeggen over de academische vraag wat een"
"nl.proc.ob.d.h-tk-20092010-68-5906.1.6.31","nl.proc","speech",0.5111654,"2010-03-25","Van Raak","SP","De heer","mp",2,"commons"," belastinggeld meebetalen aan de ja-campagne. Dat is in een wet niet te regelen; daarbij komt het alleen aan op het <em>fatsoen</em> van een regering. Dat valt niet met enig amendement te regelen. Laten we het heel kleine bedrag dat we hebben in ieder geval eerlijk verdelen over de ja-campagne en de nee-campagne. Ook dat is weer een kleine stap om er voor te zorgen"
"nl.proc.ob.d.h-tk-20092010-28-2553.1.11.10","nl.proc","speech",0.5111654,"2009-11-24","Ortega-Martijn","ChristenUnie","Mevrouw","mp",3,"commons","Voorzitter. Het is belangrijk dat er een stevig fundament is van gedeelde waarden en normen, van respect en <em>fatsoen</em>. Het gaat zowel om de integratie van burgers als om de vormgeving van de Nederlandse cultuur. Het bewust doorgeven van onze cultuurelementen via inburgeringstrajecten en het leren van de taal zijn voorwaarden voor een succesvol"
