"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-23-22.1.10.24","nl.proc","speech",0.6584476,"2011-11-15","Dibi","GroenLinks","De heer","mp",6,"commons"," allemaal over eens dat het niet wenselijk is om elke week in de Kamer over een <em>individu</em> te praten en al zeker niet om over een <em>individu</em> te stemmen. Soms leggen <em>individuele</em> gevallen echter bloot dat het systeem niet werkt. Daar zijn heel veel voorbeelden van. GroenLinks is dankbaar voor de <em>individuen</em> die hebben bijgedragen aan beleid dat dichterbij"
"nl.proc.ob.d.h-tk-20112012-105-37.1.7.1","nl.proc","speech",0.51788646,"2012-07-05","Schouw","D66","De heer","mp",12,"commons"," mensenrechtenschendingen en hun schuld dan wel onschuld niet per <em>individu</em> is vastgesteld; van mening dat een collectieve 1F-tegenwerping en omgekeerde bewijslast zonder rechterlijke toetsing, geen recht doet aan het <em>individuele</em> relaas van deze groep Afghaanse vluchtelingen; van mening dat ten aanzien van Afghaanse Khad/Wad (onder)officieren die langdurig in Nederland"
"nl.proc.ob.d.h-tk-20142015-73-7.1.5.3","nl.proc","speech",0.4531507,"2015-04-08","Schouw","D66","De heer","mp",13,"commons"," gediend, doordat zij op grond van een ambtsbericht uit 2000 collectief worden beschuldigd van mensenrechtenschendingen en hun schuld dan wel onschuld niet per <em>individu</em> is vastgesteld;  van mening dat een collectieve 1F-tegenwerping en omgekeerde bewijslast zonder rechterlijke toetsing geen recht doet aan het <em>individuele</em> relaas van deze groep"
"nl.proc.ob.d.h-tk-20062007-783-804.1.7.39","nl.proc","speech",0.33656344,"2006-10-12","Van der Sande","VVD","De heer","mp",4,"commons"," laatste zin toevoegen. Een extra antwoord op de vraag die de heer Dittrich heeft gesteld, is dat naast het <em>individu</em> dat uit de uitkeringssituatie wil komen, het college verplicht is om elke negen maanden te controleren of de twee doelen die ik heb geformuleerd, in elk <em>individueel</em> geval worden gehaald met het instrument dat wordt gebruikt."
"nl.proc.ob.d.h-tk-20102011-67-2.1.11.6","nl.proc","speech",0.3055486,"2011-03-30","Çörüz","CDA","De heer","mp",4,"commons"," mensenrechtenschending, de regering daarover na een zorgvuldige afweging van alle belangen – daar ga ik van uit – een standpunt inneemt, een meerderheid van de Kamer dat steunt, maar het college aan een <em>individuele</em> rechter vraagt, over dat democratische besluit een afweging te maken. Ik zie dan problemen, want het zal in abstracto gaan. Onze rechters toetsen"
"nl.proc.ob.d.h-tk-20142015-13-25.1.8.1","nl.proc","speech",0.28046954,"2014-10-14","Gesthuizen","SP","Mevrouw","mp",6,"commons","Voorzitter. Het is erg prettig dat we vandaag kunnen debatteren met zowel de minister van Defensie als de staatssecretaris van Veiligheid en Justitie. Ik heb een korte opmerking vooraf. Dit debat bewijst maar weer dat het in sommige gevallen heel verstandig en wijs is als de Kamer zich niet al te zeer over <em>individuele</em> zaken uitlaat, maar dat het"
"nl.proc.ob.d.h-tk-20082009-5178-5207.1.7.15","nl.proc","speech",0.2647274,"2009-03-18","Çörüz","CDA","De heer","mp",2,"commons"," die voorbeelden anders tegen die zaken aan en zegt u bij die thuisblijfplicht dat dat vrijheidsbeneming is? Al die bevoegdheden zullen, vermoed ik, middels een beschikking worden uitgereikt aan een <em>individu</em>. Is het <em>individuele</em> gemeenteraadslid daarvan op de hoogte en, zo ja, heeft hij of zij dan weet van het aantal beschikkingen dat er is?"
"nl.proc.ob.d.h-tk-20092010-39-3830.1.7.1","nl.proc","speech",0.25655398,"2009-12-17","Cramer","ChristenUnie","De heer","mp",12,"commons"," testen uitgangspunt was voor het beperkt ruimen; overwegende dat binnen besmette bedrijven diergroepen aanwezig zijn die slechts een beperkt risico vormen voor de volksgezondheid zodat er tijd is voor een herhaalde <em>individuele</em> test; overwegende dat door herhaald <em>individueel</em> testen besmette dieren geïdentificeerd en geruimd kunnen worden waarmee een"
"nl.proc.ob.d.h-tk-20082009-525-555.1.14.33","nl.proc","speech",0.25655398,"2008-10-01","Joldersma","CDA","Mevrouw","mp",3,"commons","Ik proef eigenlijk dat twee zaken door elkaar heen lopen: aan de ene kant het separeerbeleid van de instelling en aan de andere kant de toepassing van het separeren in een <em>individueel</em> geval. Ik begrijp dat het separeren in een <em>individueel</em> geval niets te maken heeft met het separeerbeleid van een instelling en dat de inspectie zegt dat je die zaken"
"nl.proc.ob.d.h-tk-20122013-50-5.1.12.3","nl.proc","speech",0.25514552,"2013-02-07","Klein","50PLUS","De heer","mp",4,"commons",". Daarmee wordt het <em>individueel</em> bekeken. Dan heb je dus te maken met een huurbelasting die veel meer gaat naar het <em>individu</em> en niet zozeer kijkt naar de vraag hoe het met je woning zit. Nu krijg je in feite een heel onrechtvaardige huurverhoging versus een inkomensdaling. Dat ondervang je op het moment dat je een soort huurbelasting hebt, want dan is"
"nl.proc.ob.d.h-tk-20132014-73-3.1.11.20","nl.proc","speech",0.25207752,"2014-04-09","Segers","ChristenUnie","De heer","mp",11,"commons"," godsdienst op in een collectief aspect en een <em>individueel</em> aspect en geven daarbij het <em>individuele</em> aspect voorrang. Dit is echter juridisch geen gangbare argumentatielijn. Waarom beschouwen de indieners een collectieve religiebeleving niet evenzeer als een uiting van <em>individuele</em> keuzevrijheid? Het gaat om de <em>individuele</em> vrijheid om een gemeenschap te vormen"
"nl.proc.ob.d.h-tk-20122013-76-8.1.9.6","nl.proc","speech",0.25063953,"2013-04-17","Van Weyenberg","D66","De heer","mp",2,"commons"," of een <em>individuele</em> werkgever in een <em>individueel</em> geval mensen kan vinden. Kan de minister nog iets uitgebreider ingaan op de spanning tussen een eigenlijk heel <em>individueel</em> gerichte wet en een quotum dat ertoe kan leiden dat een werkgever die wel degelijk zijn best doet maar niemand kan vinden, eronder kan lijden dat het quotum door anderen voor hem al is uitgeput?"
"nl.proc.ob.d.h-tk-20072008-542-560.1.8.1","nl.proc","speech",0.24933441,"2007-10-04","Brinkman","PVV","De heer","mp",3,"commons"," rechtsbescherming van het <em>individu</em>. Dit raakt met name soms het recht op privacy van de burger. Het is echter van belang te bedenken dat ook deze burger als <em>individu</em> deel uitmaakt van de maatschappij. Deze <em>individuele</em> burger heeft derhalve zelf ook buitengewoon veel belang bij effectieve, slagvaardige en professionele inlichtingen- en veiligheidsdiensten, een"
"nl.proc.ob.d.h-tk-20142015-32-5.1.4.1","nl.proc","speech",0.23889463,"2014-12-03","Gesthuizen","SP","Mevrouw","mp",12,"commons"," situatie waarin <em>individuen</em> terecht kunnen komen als er gefraudeerd wordt en dat niet aan henzelf te wijten is. Ik begrijp dat de minister zegt dat we moeten uitkijken dat het beleid niet dusdanig soepel is dat mensen bijna worden uitgenodigd om te frauderen, of heel erg slordig met zo'n DigiD omgaan. Tegelijkertijd wil ik dat mensen wel weten wat de"
"nl.proc.ob.d.h-tk-20122013-41-14.1.7.17","nl.proc","speech",0.2275239,"2013-01-17","Oskam","CDA","De heer","mp",2,"commons","Ik grijp even terug op wat de heer Recourt gezegd heeft. De kern van dit wetsvoorstel is niet om <em>individuele</em> mensen aan te pakken. Die mogelijkheid bestaat al. Als een ambtenaar buiten de pot piest, moet hij bij de rechter komen. Daar komt het eigenlijk op neer. In het soort zaken waar dit wetsvoorstel op ziet, kunnen we niet iemand <em>individueel</em>"
"nl.proc.ob.d.h-tk-20142015-108-7.1.8.1","nl.proc","speech",0.2264189,"2015-09-03","Grashoff","GroenLinks","De heer","mp",6,"commons"," van <em>individuen</em>, en in het groot, als egoïsme van groepen en landen. Ik refereer aan het debatje van zojuist over vluchtelingen.  Het is goed dat de premier dit aan de orde stelt. Maar, het dikke-ik van het verhaal van de premier is wel heel dunnetjes en mist het belangrijke onderdeel geloofwaardigheid. Bij dikke-ik denk ik aan mensen die gaan voor"
"nl.proc.ob.d.h-tk-20112012-46-7.1.10.29","nl.proc","speech",0.21646774,"2012-01-26","Brinkman","PVV","De heer","mp",4,"commons"," te storten in een partijkas. Daar moeten wij met z'n allen ook tegen strijden. Dat vinden wij een belangrijk punt. Wij hebben dan bijna altijd met bedrijven te maken. In de Kamer maken wij namelijk geen wetten voor één <em>individu</em>. Wij maken generieke wetten, die gelden voor heel grote groepen, voor ons allemaal. Degenen die invloed willen kopen, zijn"
