"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-80-5.1.3.38","nl.proc","speech",0.6744104,"2012-04-24","Blok","VVD","De heer","mp",2,"commons"," betaalt, is een land dat zijn geld kan besteden aan goede zorg, aan meer politie, aan beter onderwijs, aan goede infrastructuur. Een land met een <em>kleine</em> <em>overheid</em> is een land dat ruimte biedt aan mensen, zodat zij het leven kunnen leiden zoals zij dat willen. De VVD is bereid om voor deze mensen moeilijke keuzes te maken. Wat de VVD betreft, dringt de tijd. Daarom willen wij snel verkiezingen. Wij willen het tekort snel terugdringen en het vertrouwen in Nederland snel herstellen."
"nl.proc.ob.d.h-tk-20082009-2337-2368.1.11.1","nl.proc","speech",0.5840565,"2008-11-20","Van der Burg","VVD","Mevrouw","mp",35,"commons"," uit naar het debat daarover. Ik zal niet alleen in dit debat, maar ook in de toekomst aangeven waar wat de VVD-fractie betreft overbodige taken zijn of waar geld niet effectief besteed wordt. De VVD-fractie wil namelijk toe naar een krachtige en <em>kleine</em> <em>overheid</em>. Tegen die achtergrond dien ik de volgende moties in. De Kamer, gehoord de beraadslaging"
"nl.proc.ob.d.h-tk-20102011-79-11.1.5.1","nl.proc","speech",0.5395283,"2011-04-27","Koopmans","CDA","De heer","mp",10,"commons","Voorzitter. Ik vervang het lid Bruins Slot, dat mij verving tijdens het AO. Daarmee is de cirkel weer rond. De CDA-fractie is meer voor een <em>kleine</em> <em>overheid</em> dan voor beperking van programma. Daarom dien ik de volgende motie in. Motie De Kamer, gehoord de beraadslaging, constaterende dat het uitvoeringsprogramma Compacte Rijksdienst voorziet in de"
"nl.proc.ob.d.h-tk-20102011-63-19.1.6.1","nl.proc","speech",0.5395283,"2011-03-22","Van der Burg","VVD","Mevrouw","mp",2,"commons",", doorzettingsmacht heeft. Ik vraag of de minister daar maximaal gebruik van wil maken, gezien hetgeen er bij ICT-projecten nog steeds fout gaat, en ik vraag of hij maximale aandacht voor de ICT-projecten wil hebben. Dat hebben wij immers nodig om tot een krachtige en <em>kleine</em> <em>overheid</em> te komen."
"nl.proc.ob.d.h-tk-20102011-82-9.1.11.1","nl.proc","speech",0.5395283,"2011-05-18","Venrooy-van Ark","VVD","Mevrouw","mp",3,"commons"," het voorstel komt er een toename van het aantal ambtenaren. De staatssecretaris sprak van het rommelen met begrippen, maar per saldo komen er gewoon 800 ambtenaren bij. Ik kan dat moeilijk rijmen met de ambitie van het kabinet voor een krachtige, <em>kleine</em> <em>overheid</em>. Mijn fractie blijft met dit punt zitten. Een ander punt dat te maken heeft met de"
"nl.proc.ob.d.h-tk-20122013-10-4.1.3.1","nl.proc","speech",0.47208726,"2012-10-09","Van Tongeren","GroenLinks","Mevrouw","mp",3,"commons","Voorzitter. Wij kennen de VVD als een partij van ondernemerschap, die een <em>kleine</em> <em>overheid</em> wil en die allerlei lastige regels die ondernemers in de weg zitten, uit de weg wil ruimen. Bij de VAR ligt hiervoor een uitgelezen kans voor de staatssecretaris, zou ik zeggen. Oorspronkelijk was de VAR bedacht om het zelfstandigen makkelijker te maken, maar"
"nl.proc.ob.d.h-tk-20122013-83-7.1.14.17","nl.proc","speech",0.47208726,"2013-05-16","Zijlstra","VVD","De heer","mp",4,"commons"," maatregelen nodig zijn. Dat mag dan maximaal in de verhouding van een derde lasten, zoals dat ook langjarig door kabinetten in dit land is gedaan. Dat is heel goed. Wij zullen daarop letten en koers houden. Daar wil ik me aan houden. Het is nu inderdaad koers houden en de overheid verkleinen. Wij moeten toe naar een krachtige, <em>kleine</em> <em>overheid</em> die stuurt op kerntaken en die de burger niet in de weg zit, maar deze voorziet van randvoorwaarden om zich te kunnen ontplooien."
"nl.proc.ob.d.h-tk-20082009-4950-4953.1.6.1","nl.proc","speech",0.47208726,"2009-03-11","Van der Burg","VVD","Mevrouw","mp",11,"commons","Voorzitter. Tijdens het algemeen overleg over de vernieuwing van de rijksdienst is uitgebreid gesproken over de kwaliteit van de rijksdienst en de vraag hoe het ervoor staat met de verbetering. De VVD hecht groot belang aan een krachtige en <em>kleine</em> <em>overheid</em>. Bij het aantreden van het kabinet zijn twee programmaministeries ingesteld, die ieder op"
"nl.proc.ob.d.h-tk-20122013-51-20.1.19.1","nl.proc","speech",0.47208726,"2013-02-12","Bisschop","SGP","De heer","mp",3,"commons"," begrotingen en budgetten. De komende jaren komt er een vergroting van de taak van de gemeenteraden via het Gemeentefonds. Om dan tot wel 50 miljoen te bezuinigen op gemeentelijk bestuurlijk niveau, dat moet je niet willen. Natuurlijk, noem de woorden \"voor een <em>kleine</em> <em>overheid</em>\" bij de SGP en iedereen schiet overeind. Dat zijn we allemaal. Dat begint"
"nl.proc.ob.d.h-tk-20142015-62-10.1.7.1","nl.proc","speech",0.47208726,"2015-03-11","Van Klaveren","Groep Bontes/Van Klaveren","De heer","mp",3,"commons"," plannen leiden tot een veel hogere economische groei en tot honderdduizenden banen extra, een ware welvaartsrevolutie. En dat kan. Onze fiscale plannen zijn namelijk keurig doorgerekend door het Centraal Planbureau.  Nederland snakt naar een <em>kleine</em> <em>overheid</em>, lage belastingen en minder socialisme. Hopelijk is het kabinet dat met mij eens. Graag een reactie."
