"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20092010-27-2471.1.7.52","nl.proc","speech",1.4745642,"2009-11-19","Van der Vlies","SGP","De heer","mp",2,"commons"," de <em>joods</em>-<em>christelijke</em> <em>cultuur</em> dan de gezamenlijke rustdag is er, denken wij, niet gemakkelijk te vinden. Als deze partij zich al druk maakt voor een nationaal symbool als de vlag op scholen – we hebben onlangs over een motie daaromtrent moeten stemmen – dan mag toch deze vlag van de <em>joods</em>-<em>christelijke</em> <em>cultuur</em> bepaald niet verdwijnen? We gaan die cultuur niet verkopen voor een paar vermeende banen. Daar werkt de partij van de heer Graus toch niet willens en wetens aan mee? Daarop mag ik toch wel blijven vertrouwen?"
"nl.proc.ob.d.h-tk-20062007-5260-5319.1.15.23","nl.proc","speech",0.3204518,"2007-09-06","Wilders","PVV","De heer","mp",1,"commons","Precies, en de minister blijft erbij dat Nederland over een aantal eeuwen een joods-christelijk-islamitische <em>traditie</em> zou kunnen hebben. Ik vind dat een verschrikkelijke opmerking. Ik vind dat zij daarmee de <em>joods</em>-<em>christelijke</em> <em>cultuur</em> van Nederland te grabbel gooit. Zij heeft al uit mijn betoog kunnen afleiden dat ik vind dat de islam een religie"
"nl.proc.ob.d.h-tk-20092010-27-2471.1.7.53","nl.proc","speech",0.3051528,"2009-11-19","Graus","PVV","De heer","mp",1,"commons","Ik ben het helemaal eens met wat de heer Van der Vlies zegt over de wortels van de <em>joods</em>-<em>christelijke</em> <em>cultuur</em>."
"nl.proc.ob.d.h-tk-20122013-31-3.1.5.30","nl.proc","speech",0.10638221,"2012-12-05","Beertema","PVV","De heer","mp",5,"commons"," belangrijkste instrument is om <em>traditie</em> en cultuur van de ene op de andere generatie door te geven. Sinds de jaren zestig en zeventig is die rol echter uitgehold. Onder Rutte I werd het herstel voorzichtig ingezet. Dat was mogelijk omdat zowel Rutte als Verhagen toen uitsprak dat de multiculturele samenleving als beleidsdoel mislukt was. Ook Cameron, Sarkozy"
"nl.proc.ob.d.h-tk-20102011-54-4.1.11.1","nl.proc","speech",0.072530955,"2011-02-17","Dijkgraaf","SGP","De heer","mp",5,"commons"," een beroep op onze <em>beschaving</em> en met de beschuldiging van onnodig dierenleed het onbedwelmd ritueel slachten van dieren onmogelijk maken. In dat laatste woord zit het hem. Het kan verkeren! Nederland is groot geworden in de joods-christelijke <em>traditie</em>. Dat is voor onze fractie een belangrijk uitgangspunt bij de beoordeling van het"
"nl.proc.ob.d.h-tk-20062007-3337-3360.1.12.1","nl.proc","speech",0.059208434,"2007-04-11","Vendrik","GroenLinks","De heer","mp",5,"commons"," vandaag de dag zien gebeuren. Bij eerdere gelegenheden hebben de woordvoerders van mijn fractie betoogd dat post eigenlijk een kleine hoeksteen is van onze <em>beschaving</em>. Onze postbode is een klein icoon. Ik begrijp wel waar die romantiek van mevrouw Ortega vandaan komt. Dat kan kennelijk niet meer. Dat moet worden weggesaneerd. Daarvoor is geen plek meer"
"nl.proc.ob.d.h-tk-20072008-7909-7943.1.7.1","nl.proc","speech",0.059208434,"2008-09-04","Anker","ChristenUnie","De heer","mp",5,"commons"," de overledene natuurlijk, maar ook de manier waarop zij in het leven staan en wat zij geloven over leven en dood. Het past in de Nederlandse <em>traditie</em> dat er op dit punt keuzevrijheid is en blijft. Het is ook een kwestie van <em>beschaving</em> dat de Nederlandse samenleving in staat is om zo veel mogelijk de wensen van alle burgers te respecteren voor de"
"nl.proc.ob.d.h-tk-20062007-5260-5319.1.4.55","nl.proc","speech",0.05267118,"2007-09-06","Wilders","PVV","De heer","mp",4,"commons"," godsdienst en onze Westerse <em>beschaving</em> alleen maar versterken als wij de Koran verbieden. Als het kabinet dit idee van mij niet overneemt, zal ik in tweede termijn een motie indienen. Dan kan de Kamer zich daarover uitspreken. Er bestaat geen gematigde islam. Zoals de Turkse premier Erdogan onlangs letterlijk zei: \"There is no moderate or immoderate"
"nl.proc.ob.d.h-tk-20092010-27-2471.1.7.4","nl.proc","speech",0.04934036,"2009-11-19","Van der Vlies","SGP","De heer","mp",8,"commons"," van een mooie kaars, kunnen wij ons als indieners voorstellen dat het tijd wordt voor een nieuwe sociale kwestie. Want met de mooie kaars van collega Van der Ham vallen wij toch echt weer 100 jaar terug in de <em>beschaving</em>: werknemers en winkeliers die zeven dagen per week moeten klaarstaan voor de consument. Ook de postkoets en de fax van collega"
"nl.proc.ob.d.h-tk-20142015-2-8.1.6.25","nl.proc","speech",0.046940565,"2014-09-17","Wilders","PVV","De heer","mp",8,"commons"," schouders van reuzen. Onze zeehelden veroverden de wereld. Onze wetenschappers excelleerden. Onze ondernemers brachten welvaart, en onze Republiek gold als een bolwerk van vrijheid. Wij handelen en wandelen in een <em>traditie</em> van grootsheid. Die <em>traditie</em> doet vandaag opnieuw een beroep op ons. Terwijl de wereld om ons heen in chaos ontbindt, terwijl de"
