"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20082009-2421-2446.1.6.1","nl.proc","speech",0.335155,"2008-11-25","Ulenbelt","SP","De heer","mp",8,"commons",", zien nu toch wel dat het <em>neoliberalisme</em> heeft gefaald. Dat zouden toch ook de liberalen, de <em>neoliberalen</em> en de sociaalliberalen in deze Kamer moeten zien. Het citaat over het vermolmde en rotte stelsel is van Troelstra, uit 1918. De crisis leidde toen tot ingrijpende maatregelen. Toen zag de minister van sociale zaken de urgentie in en kwam met"
"nl.proc.ob.d.h-tk-20082009-583-614.1.7.1","nl.proc","speech",0.31250685,"2008-10-02","Irrgang","SP","De heer","mp",11,"commons","Voorzitter. Deze algemene financiële beschouwingen stonden in het teken van het failliet van het <em>neoliberale</em> model, de Washingtonconsensus, het aandeelhouderskapitalisme. De minister van Financiën ziet dat <em>neoliberale</em> model vooral als een Amerikaanse aangelegenheid, niet exclusief, want hij heeft ook gewezen op de betekenis voor het toezicht op de"
"nl.proc.ob.d.h-tk-20082009-7310-7377.1.13.1","nl.proc","speech",0.25533473,"2009-06-10","Halsema","GroenLinks","Mevrouw","mp",8,"commons","Voorzitter. Het is zo ongelooflijk dankbaar om de laatste te zijn in een debat dat toch al niet aan bondigheid ten onder gaat. Ik kan mij niet aan de indruk onttrekken dat dit debat tot op heden tot ook enigszins het winnen van de vorige oorlog is. Zelfs als ik de VVD en D66 als een flauwe echo daarvan hoor, geloof ik dat het <em>neoliberalisme</em> als"
"nl.proc.ob.d.h-tk-20132014-35-8.1.11.1","nl.proc","speech",0.23752752,"2013-12-11","Beertema","PVV","De heer","mp",5,"commons"," wordt gekenmerkt door de schuldencrisis, want dat wordt echt wel opgepikt. Wij moeten juist onze waardering uitspreken voor die houding. Niet iedereen is gevoelig voor het <em>neoliberale</em> verhaal van <em>neoliberale</em> linkse partijen, zoals GroenLinks en D66. En de PvdA, dat vergeet ik bijna te vermelden. Met haar toewijding aan deze <em>neoliberale</em> agenda schudt"
"nl.proc.ob.d.h-tk-20142015-19-21.1.12.1","nl.proc","speech",0.22744769,"2014-11-04","Beertema","PVV","De heer","mp",17,"commons",", las ik enkele mooie reacties op deze voor mij volstrekt inhoudsloze uitspraak. AOW is niet meer van deze tijd. Wachtgeld is niet meer van deze tijd. Pensioen is niet meer van deze tijd. Non-profit in de zorg is niet meer van deze tijd. Het zegt allemaal niets, behalve dat al deze uitspraken passen in een vaag <em>neoliberaal</em> wereldbeeld waarin elke"
"nl.proc.ob.d.h-tk-20082009-411-437.1.9.1","nl.proc","speech",0.22321919,"2008-09-30","Kant","SP","Mevrouw","mp",5,"commons"," ook niet aan die van aandeelhouders, maar aan de belangen van gewone mensen. Mensen met een kleine spaarrekening maken zich logischerwijs zorgen. Zij zien banken wankelen en vrezen voor hun pensioen en hun spaargeld. Deze zorgen hebben voor mijn fractie de eerste prioriteit. De grote vraag is ook: welke lessen trekken wij nu de <em>neoliberale</em> vorm van"
"nl.proc.ob.d.h-tk-20082009-7310-7377.1.4.1","nl.proc","speech",0.22321919,"2009-06-10","Kant","SP","Mevrouw","mp",7,"commons"," Balkenende als leider van de oppositiepartij CDA met een warm pleidooi voor een andere politiek. Hij schreef een boek dat heet Anders en beter. Destijds, in 2002, wilde hij afscheid nemen van de <em>neoliberale</em> politiek van de paarse kabinetten onder leiding van PvdA'er Wim Kok. Ik moet echter vaststellen dat dit helaas niet is gelukt. Een deel van die"
"nl.proc.ob.d.h-tk-20082009-3059-3104.1.5.32","nl.proc","speech",0.20215297,"2008-12-10","Kant","SP","Mevrouw","mp",1,"commons","Het was het begin van een zin. Ik wil het eens even over dat <em>neoliberalisme</em> hebben. Behalve de bankproblemen is al in de jaren tachtig ook het <em>neoliberalisme</em> uit Amerika overgewaaid. Het heeft hier in Europa en in de Nederlandse politiek voet aan de grond gekregen. In verschillende kabinetten was de hoofdstroming de <em>neoliberale</em> politiek van \"meer"
"nl.proc.ob.d.h-tk-20082009-411-437.1.4.1","nl.proc","speech",0.18874449,"2008-09-30","Halsema","GroenLinks","Mevrouw","mp",6,"commons"," Financiën dit permanent in zijn achterhoofd heeft. Ik vraag hem toe te lichten hoe en op welke gronden hij zal besluiten over dergelijke crisisinterventies. De wereldwijde financiële crisis is de prijs die wordt betaald voor 25 jaar economisch <em>neoliberalisme</em>. De onverantwoorde opvatting was dat financiële markten zo vrij mogelijk moeten kunnen opereren"
"nl.proc.ob.d.h-tk-20142015-108-7.1.5.1","nl.proc","speech",0.17774026,"2015-09-03","Van Raak","SP","De heer","mp",4,"commons"," spijt omdat deze borrelpraatjes misschien gewoon zijn op de borrels van de VVD, maar niet bij de premier passen?  Als je 25 jaar lang een <em>neoliberaal</em> beleid voert, krijg je op den duur ook een <em>neoliberale</em> moraal. Dan gaan mensen werkelijk geloven dat je vooral aan jezelf moet denken. Dan verdwijnt het cement tussen de stenen en verliezen mensen het"
