"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20072008-42-77.1.8.19","nl.proc","speech",0.12027155,"2007-09-19","Halsema","GroenLinks","Mevrouw","mp",17,"commons","-woord: er zou niet <em>genivelleerd</em> mogen worden. Dat rechts niet houdt van <em>nivelleren</em>, daar kan ik wel inkomen. De wereld zou op zijn kop staan, als de VVD wel zou willen <em>nivelleren</em>. Maar het is een raar taboe dat plotseling ook de Partij van de Arbeid in zijn greep heeft. Daar mag je ook niet meer spreken over <em>nivelleren</em>. Zelfs de SP heeft de hogere"
"nl.proc.ob.d.h-tk-20132014-2-6.1.21.1","nl.proc","speech",0.10241935,"2013-09-18","Van Weyenberg","D66","De heer","mp",2,"commons"," inkomenseffecten zeer zwaar. Ten derde is dit een nivellerende maatregel. Na de kleine \"fittie\" op links begrijp ik inmiddels dat er allerlei smaakverschillen zijn over wat \"<em>nivelleren</em>\" is. De kern is volgens mij dat dit buitengewoon nivellerend is. Ik heb helaas geen antwoord gekregen op de vraag of er alternatieven zijn overwogen, hetzij met betrekking tot"
"nl.proc.ob.d.h-tk-20142015-39-71.1.8.5","nl.proc","speech",0.087205395,"2014-12-18","Wilders","PVV","De heer","mp",4,"commons",", doorgaat met <em>nivelleren</em>, met nog meer asielzoekers het land binnenlaten, met nog meer geld geven aan ontwikkelingshulp en met het geven van miljarden aan Europa.  Dan het briefje dat we net kregen. De premier, zo kennen we hem weer, lacht alles weg. Ik zie het hem ook op dit ogenblik weer doen. Alles is in orde. Er is niks aan de hand. We gaan"
"nl.proc.ob.d.h-tk-20132014-5-4.1.6.14","nl.proc","speech",0.086360544,"2013-09-25","Van Haersma Buma","CDA","De heer","mp",4,"commons"," te doen, maar een echte investering, die de files voorkomt en heel veel mensen aan werk helpt? Al die rare keuzes zijn eigenlijk het gevolg van de uitruil aan het begin van deze coalitie. De VVD koos toen het kaartje bezuinigen en de PvdA koos bij het uitruilen voor het kaartje <em>nivelleren</em>. Maar geen van de twee koos voor het kaartje banen. Er is"
"nl.proc.ob.d.h-tk-20132014-14-10.1.6.5","nl.proc","speech",0.084577724,"2013-10-16","Tony van Dijck","PVV","De heer","mp",12,"commons"," ouderenkorting, de huren, de partnertoeslag en de zorgtoeslag. Zelfs de huishoudelijke hulp wordt <em>genivelleerd</em>. Het is wachten op de krentenbollen. Dat <em>nivelleren</em> duizenden banen kost, neemt de PvdA op de koop toe. Tenslotte hebben we in Nederland geen probleem met de werkgelegenheid. Er is immers werk genoeg! Al deze ellende kan gewoon doorgaan met dank aan de"
"nl.proc.ob.d.h-tk-20122013-38-5.1.10.1","nl.proc","speech",0.08276733,"2012-12-20","Klaver","GroenLinks","De heer","mp",6,"commons"," economische tijden in het licht van het steeds maar dalende consumentenvertrouwen? We weten allemaal dat het wishful thinking is dat de CPB-ramingen er in maart opeens rooskleuriger uit zullen zien, want keer op keer worden de groeiramingen in Europa neerwaarts bijgesteld. Een wekenlange discussie tussen VVD-bezuinigen en PvdA-<em>nivelleren</em> staat ons dan te"
"nl.proc.ob.d.h-tk-20122013-38-5.1.3.1","nl.proc","speech",0.07719378,"2012-12-20","Tony van Dijck","PVV","De heer","mp",6,"commons"," VVD was allergisch voor <em>nivellering</em>, want inmiddels heeft de VVD <em>nivellering</em> tot een van haar speerpunten gemaakt. <em>Nivelleren</em> omdat het moet; het kan niet anders, aldus Halbe Zijlstra. Alles wordt inkomensafhankelijk: de heffingskorting, de arbeidskorting, de kinderbijslag, de huren en het eigen risico. Alles wordt inkomensafhankelijk onder regie"
"nl.proc.ob.d.h-tk-20122013-23-14.1.7.1","nl.proc","speech",0.06908844,"2012-11-15","Bashir","SP","De heer","mp",16,"commons"," leven en hoe lager de sociale mobiliteit is. Niet het <em>nivelleren</em>, maar het resultaat van <em>nivellering</em> is dus een feest. De SP-fractie heeft de verdeling van macht, kennis en inkomen hoog op de agenda staan. Ik ben dan ook blij dat het kabinet op dit punt wil meedenken. Om te beginnen vraag ik de staatssecretaris om een reactie op het voorstel inzake"
"nl.proc.ob.d.h-tk-20122013-21-4.1.3.8","nl.proc","speech",0.0625824,"2012-11-13","Wilders","PVV","De heer","mp",15,"commons"," uitleggen. En nu is het plan aangepast. Foutje, bedankt. De wedstrijd moet nog beginnen, maar nu al liggen de spelers aan het beademingsapparaat. FC Rutte is FC Knudde. Er moet en er zal <em>genivelleerd</em> worden. We zullen Nederland moeten slopen voor de Griekse hobby van Mark en Diederik, maar dat is niet genoeg. We zullen ook richting het socialisme"
"nl.proc.ob.d.h-tk-20132014-5-4.1.6.1","nl.proc","speech",0.060452383,"2013-09-25","Van Haersma Buma","CDA","De heer","mp",10,"commons"," tegenovergestelde. Het vernietigt banen door voortgaande belastingverhogingen en <em>nivellering</em>. Het verstikt het maatschappelijk initiatief door de overheid jaar in, jaar uit te laten groeien. Het verzwakt de ruggengraat van Nederland: gewone gezinnen, families, ondernemers. Wat betekent <em>nivelleren</em> en belastingen verhogen nou in de praktijk? Dat betekent"
"nl.proc.ob.d.h-tk-20132014-5-4.1.6.36","nl.proc","speech",0.05837833,"2013-09-25","Van Ojik","GroenLinks","De heer","mp",2,"commons"," de oppositie, want er tekenen zich toch steeds duidelijker twee verschillende richtingen af. De heer Buma heeft een keer of vijf gezegd hoe erg hij tegen <em>nivelleren</em> is, want het gaat hem om banen. In tijden dat het slecht gaat, is het normaal dat mensen met de sterkste schouders de zwaarste lasten dragen. Ik denk dat de minister-president dat letterlijk regelmatig zegt. Is dit niet hetzelfde als zeggen dat je voor <em>nivelleren</em> bent? Is het CDA op dat punt van zijn geloof gevallen?"
"nl.proc.ob.d.h-tk-20122013-100-6.1.6.4","nl.proc","speech",0.05837833,"2013-06-26","Pechtold","D66","De heer","mp",11,"commons","Ja, poëtisch bijna. Voorzitter. Een van de pijlers van het kabinet, die wij vandaag ook weer hebben gehoord, is het eerlijk delen. Wij zijn een beetje bezorgd dat dit uiteindelijk leidt tot verder <em>nivelleren</em>. Bij de VVD hebben ze inmiddels geleerd hoe je dat moet doen. Wij willen daar toch een rem op zetten. Daarom dienen wij de volgende motie in"
"nl.proc.ob.d.h-tk-20122013-22-3.1.8.8","nl.proc","speech",0.05837833,"2012-11-14","Wilders","PVV","De heer","mp",2,"commons"," pardon, over <em>nivelleren</em>. U hebt de kiezer voor de gek gehouden en voorgelogen. U hebt gezegd: stem op mij en we krijgen geen nivellerend, socialistisch beleid van de Partij van de Arbeid. Vervolgens bent u met hen in bed gaan liggen! Wij hebben nu een socialistisch beleid van bezuinigen op de middenklasse en <em>nivelleren</em>. Weet u, mijnheer Rutte"
"nl.proc.ob.d.h-tk-20152016-23-8.1.88.3","nl.proc","speech",0.055811454,"2015-11-11","Tony van Dijck","PVV","De heer","mp",1,"commons","De PVV wil inderdaad belastingverlaging voor iedereen, voor de rijken en ook voor de armen. Natuurlijk is dat procentueel en natuurlijk is dat in absolute euro's wat meer voor de rijken dan voor de armen. Wij willen niet verder <em>nivelleren</em>, want het hele land wordt kapot <em>genivelleerd</em>. Alles is al inkomensafhankelijk, behalve de krentenbollen van Mark Rutte."
