"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20102011-67-2.1.12.5","nl.proc","speech",1.8062465,"2011-03-30","Brinkman","PVV","De heer","mp",2,"commons","Ik had die redenen ook willen geven, maar de heer Heijnen had daarvoor nog twee zinnen moeten wachten. Ik zal dat uitleggen in het vervolg van mijn betoog. Veel uitspraken van de Commissie Gelijke Behandeling hebben in het verleden geleid tot discriminatie van burgers die willen leven volgens de Nederlandse <em>waarden</em> <em>en</em> <em>normen</em>. Bijvoorbeeld door het"
"nl.proc.ob.d.h-tk-20092010-1271-1294.1.11.9","nl.proc","speech",1.1970749,"2009-10-28","Vendrik","GroenLinks","De heer","mp",3,"commons","Dat risico neem ik. De minister verweet onlangs het bedrijfsleven een licht gebrek aan <em>waarden</em> <em>en</em> <em>normen</em>. Tja, is dat nou nieuw? Nee, al 30 jaar is de strijd tussen markt en moraal in het voordeel van de eerste beslecht. Het is grappig dat de minister dat nu zegt. Wat erg dat de big boys van VNO-NCW hun vriendin even kwijt zijn. Toch best een emotionele man, die meneer Wientjes. Wat gaat deze minister nu doen? Een felle agenda om het aandeelhouderskapitalisme terug te dringen? Maatschappelijk verantwoord ondernemen een forse lift geven? Producten weren die met kinderarbeid zijn gemaakt? Stopt zij dan een keer met wapenleveranties aan Pakistan, Saudi-Arabië, Indonesië, Chili? Sinds haar mandaat is namelijk de wapenexport van Nederland"
"nl.proc.ob.d.h-tk-20082009-5527-5555.1.10.1","nl.proc","speech",0.90312326,"2009-03-31","Verdonk","Verdonk","Mevrouw","mp",6,"commons"," inderdaad onze toekomst. Maar we hebben het dan wel over Nederlandse jeugd, jeugd die hier opgroeit en volgens de Nederlandse <em>normen</em> <em>en</em> <em>waarden</em> en volgens onze cultuur wordt opgevoed. Dat is iets anders dan het uitbetalen van miljoenen voor kinderen die opgroeien in Marokko en Turkije. Dat is iets anders dan een opvoeding volgens oude islamitische"
"nl.proc.ob.d.h-tk-20052006-6515-6537.1.4.1","nl.proc","speech",0.7224986,"2006-09-14","Wilders","Groep Wilders","De heer","mp",8,"commons"," maar met twee derde van de bevolking komt. Voorzitter. Ik wil geen sharia, nu niet, nooit niet! Niet als elf mensen dat willen, maar ook niet als elf miljoen mensen dat willen! Geen sharia in Nederland! Wij moeten trots zijn op ons land, wij moeten trots zijn op onze democratie, wij moeten trots zijn op onze <em>normen</em> <em>en</em> <em>waarden</em> die"
"nl.proc.ob.d.h-tk-20152016-2-7.1.3.1","nl.proc","speech",0.59853745,"2015-09-16","Van Haersma Buma","CDA","De heer","mp",7,"commons"," Europa. Een kwart eeuw later woeden er barbaarse oorlogen aan de Europese buitengrenzen, in Syrië, Libië en Irak. Maar ook in Oost-Oekraïne. Rusland is van een vriend een gevaarlijke buur geworden.  Het is verleidelijk om al die bedreigingen vooral te zien als bedreigingen van buitenaf, door anderen, die onze westerse <em>normen</em> <em>en</em> <em>waarden</em> willen"
"nl.proc.ob.d.h-tk-20112012-103-28.1.12.56","nl.proc","speech",0.52372026,"2012-07-03","Ulenbelt","SP","De heer","mp",2,"commons","Ja, die slipte er ook een beetje uit, voorzitter. Er is toch iets bijzonders aan de hand. Er is een meningsverschil tussen Nederland en een organisatie van de VN. Zij kan geen sancties opleggen. Zij zoekt naar een oplossing. Als de Nederlandse minister dan zegt dat hij die oplossing niet wil, gedraagt hij zich toch niet helemaal volgens de <em>normen</em> <em>en</em> <em>waarden</em> die in het internationale verkeer gelden? Dat moet Nederland zich toch aantrekken?"
"nl.proc.ob.d.h-tk-20062007-201-232.1.6.57","nl.proc","speech",0.50188893,"2006-09-27","Verhagen","CDA","De heer","mp",2,"commons","Ik kom nog te spreken over de zorg. Een ding is echter zeker: ten opzichte van de huidige situatie willen wij 4,5 mld. extra in de zorg hebben. U kunt dus niet zeggen dat wij 4 mld. bezuinigen. Wij willen dat er extra geld komt ten opzichte van de huidige situatie. Ik kom nog terug op hoe wij dat willen bereiken. Voorzitter. Gedeelde <em>waarden</em> <em>en</em> <em>normen</em> vormen"
"nl.proc.ob.d.h-tk-20082009-4954-4981.1.7.1","nl.proc","speech",0.42322987,"2009-03-11","Çörüz","CDA","De heer","mp",3,"commons"," komt de betrokkenheid en saamhorigheid niet ten goede. De CDA-fractie vindt dat de mensen zich meer betrokken moeten voelen bij wat er om hen heen gebeurt. Zelfcorrectie is vele malen sterker dan een normerende overheid. Waar sprake is van overlast, gaat het in feite om een gebrek aan <em>waarden</em> <em>en</em> <em>normen</em> en een gebrek aan onderling respect. <em>Waarden</em> <em>en</em> <em>normen</em> zijn"
"nl.proc.ob.d.h-tk-20092010-86-7225.1.5.43","nl.proc","speech",0.42322987,"2010-05-20","Cramer","ChristenUnie","De heer","mp",2,"commons","Ik heb twee vragen die niet direct in elkaars verlengde liggen. De minister-president refereert aan de discussie met de G20 als het gaat om de financiële problemen, als het gaat om de <em>normen</em> <em>en</em> <em>waarden</em> in het financiële stelsel. Het blijkt buitengewoon moeilijk te zijn om binnen Europa daarover goede afspraken te maken, laat staan met Amerika. Kan"
"nl.proc.ob.d.h-tk-20052006-4422-4426.1.5.1","nl.proc","speech",0.42322987,"2006-04-12","Verbeet","PvdA","Mevrouw","mp",2,"commons"," mensen moeten via het voetbal op de hoogte gebracht worden van de <em>normen</em> <em>en</em> <em>waarden</em>. Ik vind dat het voetbal gesteund moet worden als men daar laat zien dat deze <em>normen</em> <em>en</em> <em>waarden</em> werkelijk gelden op en om het veld. Ik denk dat de minister de clubs moet steunen door het geven van helderheid over de vraag wie waarvoor verantwoordelijk is."
