"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20142015-50-4.1.6.1","nl.proc","speech",0.102704056,"2015-02-04","Nijboer","PvdA","De heer","mp",2,"commons","Voorzitter. Om bij de woorden van de heer Klaver aan te sluiten: we zullen nog vaak spreken over <em>ongelijkheid</em> als thema in de Kamer en in commissies. Het is volledig terecht dat <em>ongelijkheid</em> weer centraal op de maatschappelijke agenda staat. Niet voor niets is eerlijk delen een van de drie pijlers van het kabinetsbeleid. Het gebeurt aan fiscale"
"nl.proc.ob.d.h-tk-20122013-33-13.1.12.27","nl.proc","speech",0.0918613,"2012-12-11","Van Weyenberg","D66","De heer","mp",2,"commons","Dit lijkt toch een beetje op een driehoeksrelatie. Bij een eerdere gelegenheid heb ik mevrouw Hamer een en ander rond het ontslagrecht als een verbetering horen verdedigen. Ik ben het met haar erover eens dat die <em>ongelijkheid</em> tussen die twee procedures wordt rechtgetrokken, maar vindt zij de ontslagrechtmaatregelen uit het regeerakkoord per saldo een versoepeling of een verscherping?"
"nl.proc.ob.d.h-tk-20052006-5542-5562.1.6.64","nl.proc","speech",0.08037864,"2006-06-15","Slob","ChristenUnie","De heer","mp",2,"commons","Ik probeer een interpretatie te geven van wat ik in de afgelopen maanden zag voltrekken. Waarom kan de minister niet gewoon volstaan met wat zij in het gewijzigde verslag aangeeft, namelijk dat zij de beroepsprocedure heeft geüniformeerd. Dat lijkt mij een heel chique oplossing voor het probleem dat als die kringrechtspraak in stand wordt gehouden, er eventueel <em>ongelijkheid</em> zou bestaan. Op die manier is het probleem afgedekt. Ik ben bang dat wij nu een weg ingaan die voor veel juridisering gaat zorgen."
"nl.proc.ob.d.h-tk-20142015-88-7.1.15.1","nl.proc","speech",0.079554215,"2015-05-27","Berndsen-Jansen","D66","Mevrouw","mp",2,"commons"," huidige spreekrecht geen sprake is van teleurstelling bij slachtoffers. Ze zijn positief over het spreekrecht, de rechtvaardige uitkomst van de strafmaat en het vertrouwen in politie en justitie. Tot zover het onderzoek. De minister baseert zich echter erg veel op aannames. Hij heeft het over <em>ongelijkheid</em> bij de verschillende gerechten ten aanzien van"
"nl.proc.ob.d.h-tk-20102011-28-28.1.7.1","nl.proc","speech",0.06889597,"2010-11-30","Gesthuizen","SP","Mevrouw","mp",2,"commons","Voorzitter. Ik dank allereerst de heer Spekman voor zijn mooie initiatiefnota. Dit is een onderwerp dat de SP-fractie zeer aan het hart gaat. Migratie is geen teken van rijkdom, maar van mondiale <em>ongelijkheid</em> en armoede. De SP vindt het immoreel om in Nederland voor ons eigen gewin een loonwedloop te organiseren, de beste mensen uit andere landen"
"nl.proc.ob.d.h-tk-20142015-107-8.1.4.1","nl.proc","speech",0.06495575,"2015-09-02","Karabulut","SP","Mevrouw","mp",11,"commons","Voorzitter. Ik begreep gisteren via de social media dat de minister in Amsterdam had gesproken over de sociaaldemocratie, dat hij gezegd had dat zijn partij, de Partij van de Arbeid, wel heel erg stil was geweest over <em>ongelijkheid</em>, maar dat dat vanaf nu zou gaan veranderen. Ik heb twee moties die, als ze worden opgepakt en uitgevoerd, zullen"
"nl.proc.ob.d.h-tk-20122013-13-18.1.18.1","nl.proc","speech",0.057413314,"2012-10-23","Recourt","PvdA","De heer","mp",2,"commons"," verstrekkend is en dat het nu niet kan, maar ik heb gevraagd om er onderzoek naar te doen, om die <em>ongelijkheid</em> weg te nemen, zoals het COC heeft voorgesteld. Ik zou het erg op prijs stellen als het onderzoek met dat element wordt verbreed."
"nl.proc.ob.d.h-tk-20122013-26-5.1.7.4","nl.proc","speech",0.057413314,"2012-11-22","De Vries","PvdA","De heer","mp",2,"commons"," me. Binnenlandse Zaken heeft namelijk een enorme taakopdracht in het reorganiseren van de rijksdienst. Dat pakt heel ongelukkig uit voor de krimpregio’s. Ik snap de belangen en ik snap ook dat er flink bezuinigd moet worden. Gisteren hoorden we dat de gevangenissen in Groningen, Drenthe en Zeeland dicht zouden moeten. Is dat geen aanleiding om de coördinerende functie naar I en M te halen, omdat deze minister gaat over de <em>ongelijkheid</em> tussen regio’s?"
"nl.proc.ob.d.h-tk-20072008-7218-7239.1.13.2","nl.proc","speech",0.057413314,"2008-06-25","Van der Ham","D66","De heer","mp",2,"commons"," principes zijn wij hiertegen; dat heeft niets te maken met het feit dat ik boven die principes uit zou stijgen. Het vindt zijn oorzaak in het besef van de onvrijwilligheid en <em>ongelijkheid</em> tussen mens en dier. Ik denk trouwens dat de heer Teeven het hiermee eens is en dat als de GroenLinks-fractie aanwezig was geweest, zij dat ook zou hebben gezegd."
"nl.proc.ob.d.h-tk-20122013-10-16.1.17.1","nl.proc","speech",0.057413314,"2012-10-09","Hachchi","D66","Mevrouw","mp",2,"commons","Voorzitter. Omwille van de tijd sluit ik mij aan bij de woorden van de vorige spreker over het kiesrecht. Ook mijn fractie kijkt uit naar de creatieve voorstellen tot oplossing voor het opheffen van de <em>ongelijkheid</em>. Ik denk dat dit nog wel een uitdaging zal worden. In de eerste termijn heb ik al duidelijk aangegeven waar D66 staat. De minister gaf"
