"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20102011-57-3.1.4.2","nl.proc","speech",1.053705,"2011-03-08","Van der Steur","VVD","De heer","mp",2,"commons"," tijd <em>opsluiten</em> van bepaalde veelplegers herhaling kan voorkomen en zeer gunstig is voor de maatschappij, ook als je rekening houdt met de kosten die met gevangenschap gemoeid zijn. Wil de minister er naar aanleiding van dit onderzoek voor zorgen dat veelplegers daadwerkelijk langer worden <em>opgesloten</em>?"
"nl.proc.ob.d.h-tk-20082009-7603-7619.1.6.4","nl.proc","speech",0.8780874,"2009-06-17","Bouwmeester","PvdA","Mevrouw","mp",2,"commons","Het was allang bekend. De heer De Roon had het allang kunnen weten. Hij had het in het vorige debat naar voren kunnen brengen. Ik constateer dat de heer De Roon zelf heeft zitten slapen. In het vorige debat heeft de heer De Roon nog gezegd dat zelfs fietsendieven vier maanden lang moeten worden <em>opgesloten</em>, en daarna nog eens vier maanden. De heer"
"nl.proc.ob.d.h-tk-20102011-40-3.1.4.1","nl.proc","speech",0.7742665,"2011-01-18","Helder","PVV","Mevrouw","mp",3,"commons"," samenleving de meeste overlast. Ter onderbouwing van het <em>opsluiten</em>, wijs ik op het rapport van de heer Vollaard. Is de minister het met mij eens dat langdurig <em>opsluiten</em> de enige juiste straf of maatregel is die de zekerheid biedt dat een crimineel gedurende een bepaalde tijd daadwerkelijk geen strafbare feiten meer pleegt? Hoe krijgen we zo veel"
"nl.proc.ob.d.h-tk-20072008-5067-5079.1.5.1","nl.proc","speech",0.71427333,"2008-04-03","Teeven","VVD","De heer","mp",6,"commons","Voorzitter. Ik had geen brief gevraagd, maar als de staatssecretaris er eentje stuurt, dan zien wij hem graag tegemoet. Gevangenissen en cellen heb je nodig als je veiligheid wilt bewerkstelligen in de maatschappij. Zelfs dit preventiekabinet vindt uiteindelijk dat je hardnekkige criminelen moet <em>opsluiten</em> en directe slachtoffers in de maatschappij"
"nl.proc.ob.d.h-tk-20072008-4698-4701.1.4.1","nl.proc","speech",0.6146612,"2008-03-25","Arib","PvdA","Mevrouw","mp",3,"commons"," Trouw aan de orde stelt is het <em>opsluiten</em> van Turkse en Marokkaanse vrouwen. Ook in 2006 heb ik hierover vragen gesteld. Voormalig minister van Vreemdelingenzaken en Integratie, mevrouw Verdonk, antwoordde toen dat zij deze vrouwen via inburgeringscursussen probeerde te bereiken. Als dit niet lukt, zou het gaan om een moeilijk bereikbare groep. Hoe"
"nl.proc.ob.d.h-tk-20062007-185-199.1.5.1","nl.proc","speech",0.55896395,"2006-09-26","De Wit","SP","De heer","mp",13,"commons","Voorzitter. In de kranten, op de radio en op de televisie wordt al dagenlang gesproken over het Chinese jongetje Hui. In de Kamer is al vaker gesproken, zeker door de oppositie, over het <em>opsluiten</em> van kinderen. In dit geval is het volstrekt zinloos omdat het gaat om een Chinees jongetje dat in Nederland is geboren. Hij heeft geen Chinees paspoort"
"nl.proc.ob.d.h-tk-20112012-4-2.1.3.1","nl.proc","speech",0.5268525,"2011-09-27","Recourt","PvdA","De heer","mp",5,"commons"," detentie. De staatssecretaris en ik kennen beiden de situatie in politiecellen. Het zijn donkere hokken waar vaak geen daglicht komt, waar het stinkt naar plas, waar agressieve medeverdachten verblijven. Dat is geen plek waar je kinderen moet <em>opsluiten</em>. Dat moet zo kort mogelijk duren. Landen om ons heen hebben het goed geregeld. Daar worden"
"nl.proc.ob.d.h-tk-20072008-5067-5079.1.6.1","nl.proc","speech",0.4390437,"2008-04-03","Van Velzen","SP","Mevrouw","mp",4,"commons"," Nederlandse en het Belgische. Daarnaast hebben wij geen rechtsmacht over Belgische gedetineerden. Als er Belgische gedetineerden in onze gevangenissen <em>opgesloten</em> zouden worden, zouden de programma's die er worden gevolgd door Belgische therapeuten en behandelaars verzorgd moeten worden. Kunnen wij dwingend opleggen dat plaatsing in Nederland alleen op"
"nl.proc.ob.d.h-tk-20112012-52-4.1.6.15","nl.proc","speech",0.38532144,"2012-02-09","Bouwmeester","PvdA","Mevrouw","mp",2,"commons","Ik was gisteren ziek, mevrouw Gesthuizen, dus ik kon niet mee. Ik heb daardoor ook niet kunnen schaatsen de afgelopen dagen. Er zijn heel veel rechters in de gevangenis die zich bezighouden met mensen <em>opsluiten</em> omdat zij iets hebben gedaan wat niet mag. Voor mensen die onder dwang zijn geplaatst, is er een aparte toets of die spuit erin mag. Die aparte toets is er nu niet. Uw partij vindt die wel belangrijk voor andere mensen, maar niet voor gedetineerden."
"nl.proc.ob.d.h-tk-20102011-40-3.1.5.3","nl.proc","speech",0.33027554,"2011-01-18","Helder","PVV","Mevrouw","mp",2,"commons","Die heb ik beslist niet nodig. Ik dank de minister voor de vele, heldere antwoorden. Ik blijf één vraag overhouden. Ik hoor de minister zeggen: als ze opgepakt worden, dan volgt ook een straf. Die ISD met twee jaar <em>opsluiten</em> is inderdaad prima. Dan worden ze ook behandeld en zijn ze feitelijk van de straat. Dat is prima. De minister zegt: als ze opgepakt worden. Dan blijft alleen de vraag over wat hij gaat doen om dat percentage omhoog te krijgen van 24 naar 40."
