"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20062007-2110-2155.1.10.2","nl.proc","speech",0.3949244,"2007-01-18","Van der Veen","PvdA","De heer","mp",11,"commons"," stelsel vanwege de preventieparadox onvoldoende prikkels bevat voor zorgverzekeraars om <em>preventieve</em> activiteiten te ontplooien; verzoekt de regering, in overleg met het veld na te gaan of en hoe <em>preventie</em> in het basispakket opgenomen kan worden, en gaat over tot de orde van de dag. Deze motie is voorgesteld door de leden Van der Veen, Joldersma, Vendrik, Voordewind en Van der Vlies. Zij krijgt nr. 74 ( 30800 XVI )."
"nl.proc.ob.d.h-tk-20102011-15-13.1.12.14","nl.proc","speech",0.39468402,"2010-10-28","Uitslag","CDA","Mevrouw","mp",2,"commons","Voorzitter. Uit het RIVM-rapport blijkt dat nog onvoldoende wordt gestuurd op de effecten van <em>preventieve</em> interventies. Het blijkt dat diverse vormen van interventies worden ingezet en dat deze op verschillende manieren worden geëvalueerd. Niet de kop in de krant \"<em>Preventie</em> werkt niet\", zoals de heer Mulder zei. Als je het rapport goed leest, zie"
"nl.proc.ob.d.h-tk-20112012-21-7.1.7.61","nl.proc","speech",0.33583516,"2011-11-09","Mulder","VVD","De heer","mp",2,"commons"," verantwoordelijkheid voor leefstijl. Nog steeds worden vanuit het basispakket <em>preventieve</em> behandelingen vergoed, de zogenaamde geïndiceerde <em>preventie</em> ter voorkoming van ziekten. Ik verbaas mij erover dat groepstherapie voor het stoppen van roken nog steeds wordt vergoed. Hetzelfde geldt voor gespreksvoering en gedragstherapie ter voorkoming van"
"nl.proc.ob.d.h-tk-20132014-11-7.1.25.9","nl.proc","speech",0.3340969,"2013-10-09","Leijten","SP","Mevrouw","mp",8,"commons"," dan op dit moment zo ontzettend veel op lokaal niveau wordt bezuinigd op <em>preventieve</em> zorg, dat <em>preventief</em> in de buurt zijn van jeugdwerkers eigenlijk helemaal niet meer bestaat, dat het nu nog iets is van \"alleen als er problemen zijn met jongeren\", dat die zorg juist wordt wegbezuinigd, dat de hulp op school nog helemaal niet zo vanzelfsprekend is"
"nl.proc.ob.d.h-tk-20102011-63-6.1.4.1","nl.proc","speech",0.31419864,"2011-03-22","Bouwmeester","PvdA","Mevrouw","mp",3,"commons"," of schaamte hun mond dichthouden, net als de ouders. <em>Preventieve</em> steun voor deze kinderen is er wel: er zijn goede projecten, maar die zijn er niet overal en die zijn ook niet structureel gefinancierd. En dat terwijl wij weten dat ongeveer 1,8 miljoen kinderen hiermee te maken hebben en ernstige problemen ontwikkelen als zij niet <em>preventieve</em> hulp"
"nl.proc.ob.d.h-tk-20062007-2247-2256.1.6.1","nl.proc","speech",0.30476633,"2007-01-24","Kuiken","PvdA","Mevrouw","mp",5,"commons","Voorzitter. De minister heeft mij geantwoord dat hij het onterecht vindt dat ik dit kabinet verwijt in te zetten op repressief beleid en niet zozeer op <em>preventief</em> beleid. Ik weet niet waar hij naar gekeken heeft de afgelopen vier jaar, maar de nadruk lag wel heel erg op strafrechtelijke maatregelen en veel minder op <em>preventieve</em> maatregelen ter"
"nl.proc.ob.d.h-tk-20132014-65-4.1.11.1","nl.proc","speech",0.30476633,"2014-03-20","Oskam","CDA","De heer","mp",3,"commons"," gedwongen neef-nichthuwelijken via de verplichte beëdigde verklaring dat er geen sprake is van dwang, en om het inperken van polygame huwelijken. Deze maatregelen sluiten ook geheel aan bij de CDA-visie en onze eerdere inbrengen in de Kamerdiscussie. Ook wij verwachten dat deze voornamelijk <em>preventieve</em> maatregelen eraan bijdragen dat huwelijksdwang beter"
"nl.proc.ob.d.h-tk-20132014-58-25.1.10.12","nl.proc","speech",0.3020665,"2014-03-04","Bouwmeester","PvdA","Mevrouw","mp",2,"commons"," en moeten dus meer <em>preventieve</em> maatregelen nemen. Zeggen dat je aan <em>preventie</em> doet en mensen brieven sturen, zoals bijvoorbeeld gisteren in EenVandaag werd gezegd namens Achmea, is niet voldoende. Het gaat er niet om dat je wat doet, maar wat je doet en hoe je dat doet. Zo leest een deel van de mensen met enorme schulden hun brieven niet meer en"
"nl.proc.ob.d.h-tk-20092010-100-8060.1.5.1","nl.proc","speech",0.3017486,"2010-09-15","Arib","PvdA","Mevrouw","mp",14,"commons"," Utrecht spelen en waarvoor <em>preventief</em> beleid is ontwikkeld, zullen ondersneeuwen in een groter samenwerkingsverband. Kan de minister aangeven dat de specifieke problemen die in een grote stad spelen, integraal onderdeel uitmaken van het beleid in de nieuwe grote regio? Niet alleen de gemeente Utrecht heeft hiermee problemen, ook Haaglanden heeft aan"
"nl.proc.ob.d.h-tk-20112012-74-25.1.8.1","nl.proc","speech",0.29550755,"2012-04-10","Ortega-Martijn","ChristenUnie","Mevrouw","mp",12,"commons"," schulden zowel tot problemen voor de betrokkenen zelf als tot maatschappelijke kosten leiden; van mening dat <em>preventie</em> zodoende van groot belang is om het ontstaan van schulden te voorkomen; verzoekt de regering om met gemeenten afspraken te maken over het tijdig informeren van mensen over de gevolgen van de kabinetsmaatregelen en de mogelijkheden"
