"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20122013-76-6.1.9.1","nl.proc","speech",0.87888765,"2013-04-17","Pechtold","D66","De heer","mp",10,"commons","Voorzitter. Mijn derde motie gaat over het Buurmeijerproof – Buurmeijer was de man van die parlementaire enquête – maken van het <em>sociaal</em> akkoord. Motie De Kamer, gehoord de beraadslaging, constaterende dat in het <em>sociaal</em> akkoord wordt voorgesteld dat de <em>sociale</em> zekerheid meer in handen komt van de <em>sociale</em> partners; van mening dat er Iering"
"nl.proc.ob.d.h-tk-20092010-22-1820.1.14.67","nl.proc","speech",0.80042136,"2009-11-10","Wiegman-van Meppelen Scheppink","ChristenUnie","Mevrouw","mp",2,"commons","-fractie bereid om in te zetten. Ik zou graag willen dat mevrouw Agema ingaat op de schaduwkant van dit zogenaamd <em>sociale</em> verhaal. Waar komt die 1 mld. vandaan? Is het een heel beperkte opvatting van <em>sociaal</em>, namelijk dat wij <em>sociaal</em> zijn voor mensen die wij graag zien en minder <em>sociaal</em> voor mensen, ook buiten onze grenzen, die wij minder graag zien?"
"nl.proc.ob.d.h-tk-20072008-7084-7086.1.5.6","nl.proc","speech",0.7554997,"2008-06-24","Ulenbelt","SP","De heer","mp",2,"commons",". Daartussenin komt een hardwerkende Pool te staan. Wat doet dit met het zelfrespect van de mensen in de <em>sociale</em> werkplaats? Dit is heel erg slecht. Pieken heeft geen plaats in de <em>sociale</em> werkplaats. Daar moet het werk toch bij uitstek zijn aangepast op wat de mensen kunnen? Dat los je toch niet op door Polen of andere hardwerkende Nederlanders naar binnen te halen? Daar moet de staatssecretaris naar kijken. Dan maakt hij de <em>sociale</em> werkvoorziening weer <em>sociaal</em>."
"nl.proc.ob.d.h-tk-20112012-13-2.1.24.1","nl.proc","speech",0.70311016,"2011-10-22","Albayrak","PvdA","Mevrouw","mp",12,"commons"," en publieke voorzieningen; van mening dat voor het verkrijgen van maatschappelijke steun voor verdergaande economische samenwerking het noodzakelijk is om de Europese <em>sociale</em> dimensie gelijktijdig te versterken met de economische component en <em>sociale</em> rechten te blijven respecteren; van mening dat het ondertekenen van het herziene Europees <em>Sociaal</em>"
"nl.proc.ob.d.h-tk-20152016-21-7.1.11.5","nl.proc","speech",0.696594,"2015-11-05","Otwin van Dijk","PvdA","De heer","mp",11,"commons"," <em>sociaal</em> werk gewenst is en er een stevig fundament voor het vak gebouwd moet worden;  overwegende dat de Gezondheidsraad in de opbouwfase van de <em>sociale</em> wijkteams een investering in een substantieel en samenhangend stimuleringsprogramma ter bevordering van het vakmanschap binnen het <em>sociaal</em> werk adviseert;  verzoekt de regering, een"
"nl.proc.ob.d.h-tk-20112012-13-2.1.23.16","nl.proc","speech",0.6651657,"2011-10-22","Albayrak","PvdA","Mevrouw","mp",11,"commons"," beraadslaging, constaterende dat de kernverdragen van de Internationale Arbeidsorganisatie en het herziene Europees <em>Sociaal</em> Handvest niet alleen aan de Europese instellingen maar ook aan de lidstaten de verplichting opleggen om fundamentele <em>sociale</em> rechten, zoals onder andere opgenomen in artikel 152 van het Europees Verdrag en artikel 28 van het Europees"
"nl.proc.ob.d.h-tk-20072008-1197-1214.1.6.1","nl.proc","speech",0.6568763,"2007-11-01","Lempens","SP","De heer","mp",10,"commons"," <em>sociale</em> zekerheid genoemd. Het grootste deel van de werknemers gaat met plezier naar het werk en dat moet vooral zo blijven. Waar het niet goed gaat, zal de SP vooral lokaal maar natuurlijk ook hier in de Kamer voorstellen doen om de WSW meer <em>sociaal</em> en meer menselijk te krijgen en te houden. Gemeenten horen daarop toe te zien. De WSW zal <em>sociaal</em> zijn"
"nl.proc.ob.d.h-tk-20152016-15-14.1.9.1","nl.proc","speech",0.65402234,"2015-10-15","Jan Vos","PvdA","De heer","mp",14,"commons"," niet alle informatie voorhanden is;  overwegende dat Nederland hierbij achterloopt bij het Verenigd Koninkrijk, dat beschikt over een Social Value Act;  overwegende dat het van belang is om de impact van <em>sociaal</em> ondernemen op de juiste manier te meten, zoals ook genoemd is in het SER-advies over <em>sociale</em> ondernemingen;  verzoekt de regering, het CPB"
"nl.proc.ob.d.h-tk-20092010-38-3686.1.12.8","nl.proc","speech",0.6523518,"2009-12-16","Irrgang","SP","De heer","mp",2,"commons"," vinden dat hun kansen op werkloosheid toch heel klein zijn – maar dan kunnen zij wel lekker een hoger uurtarief vangen, dus een hoog nettobedrag. Ik ben blij dat mevrouw Sap zegt dat zij ook moeten betalen voor de <em>sociale</em> rechten. Is dat dan ook verplicht? Ik neem aan van wel, want dat is de kern van risicosolidariteit: dat de mensen die weinig risico lopen niet vrijwillig kunnen besluiten om zich niet <em>sociaal</em> te verzekeren. Zo gaat het immers als dat niet verplicht wordt gesteld."
"nl.proc.ob.d.h-tk-20082009-5387-5414.1.5.5","nl.proc","speech",0.6523518,"2009-03-26","Kant","SP","Mevrouw","mp",2,"commons","Ik ben er blij mee dat het kabinet afziet van bezuinigingen. O wee als het dit niet had gedaan. Stel eens voor dat het kabinet de <em>sociale</em> zekerheid die door kabinet op kabinet verder is afgebroken nog verder had afgebroken nu mensen er een beroep op moeten doen. Dat was niet erg <em>sociaal</em> geweest. Het kabinet heeft nog andere dingen voorgesteld. Het"
