"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20102011-58-5.1.8.33","nl.proc","speech",0.19645087,"2011-03-09","Ten Broeke","VVD","De heer","mp",2,"commons","Dit is een interessante vraag. Ik deel de analyse van de heer Knapen volledig en ik denk dat het kabinet dat ook doet. Ik maak de volgende vergelijking. Robinson Crusoe zat ooit alleen op een eiland. Je zou van hem kunnen zeggen dat hij <em>soeverein</em> was over alles, maar baas was over niets. Dat geeft al aan hoe wij naar een soevereiniteitsdiscussie"
"nl.proc.ob.d.h-tk-20142015-110-4.1.10.1","nl.proc","speech",0.12847069,"2015-09-09","Klein","Klein","De heer","mp",11,"commons"," gevaar is, en kwam met het nogal vrijzinnige idee van een gedeelde <em>soevereiniteit</em>. De kern van dit idee is de scheiding van de <em>soeverein</em> en de wetgever. Normaal wordt de <em>soeverein</em> juist gedefinieerd als wetgever, maar Habermas haalt dat uit elkaar. Om deze gedachte vorm te geven, zou je kunnen denken aan een Europees tweekamersysteem, waarbij het"
"nl.proc.ob.d.h-tk-20082009-5315-5318.1.4.1","nl.proc","speech",0.12651436,"2009-03-24","Peters","GroenLinks","Mevrouw","mp",4,"commons","Voorzitter. Bij de vraag naar de verhouding van de internationale gemeenschap tot Afghanistan moet ik altijd denken aan een Afghaanse minister, die zei: wij Afghanen zijn over onze toekomst net zo <em>soeverein</em> als een taxichauffeur over zijn auto; de internationale gemeenschap zit achterin en bepaalt de richting. Ook nu weer, eind deze maand, wordt"
"nl.proc.ob.d.h-tk-20112012-52-9.1.11.1","nl.proc","speech",0.10542863,"2012-02-09","Schouw","D66","De heer","mp",4,"commons"," klassieke criticasters, die angst en onzekerheid bespelen, die mensen aanpraten dat het multiculturele Europa een bedreiging is voor hun eigen geluk, identiteit en welvaart. Anderzijds zien wij een groep die de nationale <em>soevereiniteit</em> als een soort heilig iets zien, die doet alsof een geïsoleerd Nederland meer <em>soeverein</em> zou zijn. Die groep wil geen"
"nl.proc.ob.d.h-tk-20122013-67-12.1.11.2","nl.proc","speech",0.09822544,"2013-03-27","Van Raak","SP","De heer","mp",1,"commons","De volkssoevereiniteit kan niet wisselen, want het volk is <em>soeverein</em> of niet. Maar als de heer Bisschip zegt dat hij niet zo voor <em>soevereiniteit</em> is van het volk, voor welke <em>soevereiniteit</em> is hij dan wel?"
"nl.proc.ob.d.h-tk-20072008-5046-5061.1.11.2","nl.proc","speech",0.0898512,"2008-04-03","Van der Ham","D66","De heer","mp",2,"commons",". Overdrijft de heer Kamp hierover dus niet een beetje? De praktijk wijst uit het dat wel meevalt. In het verdrag van Dublin staat eveneens dat wij om humanitaire redenen altijd eigen <em>soeverein</em> beleid kunnen voeren. In het debat dat wij in 1996 met staatssecretaris Schmitz hierover hebben gevoerd, heeft zij in antwoord op vragen hierover"
"nl.proc.ob.d.h-tk-20102011-64-3.1.8.1","nl.proc","speech",0.089459166,"2011-03-23","Plasterk","PvdA","De heer","mp",8,"commons"," zich achter die agenda schaart. Mijn vragen zijn nogal kritisch, maar voordat ik deze stel, wil ik op een aantal punten duidelijk steun betuigen. Ik ondersteun het onderdeel dat landen die uit het Eurofonds steun genieten, onder strak toezicht staan en dat zij in feite <em>soevereiniteit</em> inleveren. Zij zijn in feite technisch failliet en het is logisch"
"nl.proc.ob.d.h-tk-20122013-61-6.1.9.1","nl.proc","speech",0.08434291,"2013-03-13","Madlener","PVV","De heer","mp",8,"commons"," onszelf niets wijsmaken. De ambitie van de bureaucraten is helder. Barroso heeft het zelf gezegd: EU-lidstaten moeten <em>soevereiniteit</em> opofferen. Het project van de \"ever closer union\" moet worden afgemaakt. Van Rompuy heeft het zelfs gewaagd om te zeggen: \"The time of the homogeneous nation state is over\", ofwel: dat is het einde van onze natiestaat, het"
"nl.proc.ob.d.h-tk-20142015-110-4.1.8.1","nl.proc","speech",0.08434291,"2015-09-09","Bosma","PVV","De heer","mp",9,"commons"," nu nog bij elkaar zijn, maar wij spreken vaak over de details. Wij hebben veel zaken weggegeven met betrekking tot onze economie, macro-economie, buitenlands beleid, defensie en de vraag wie wij binnenlaten en wie niet.  Dit staat natuurlijk haaks op dat waarvoor Nederland is bedoeld, namelijk een <em>soeverein</em> volk en een Staat der Nederlanden die"
"nl.proc.ob.d.h-tk-20102011-101-2.1.13.1","nl.proc","speech",0.07380004,"2011-08-17","Van Gent","GroenLinks","Mevrouw","mp",12,"commons"," volgend, hoeft hij zich dus ook niks aan te trekken van de PVV-fractie. Heb ik dat goed begrepen? Dat zou nog wel een lichtpuntje zijn in dit debat. Ik verwacht dat Nederland zich roert in de discussie over de vormgeving van Europa en deze niet aan Duitsland en Frankrijk overlaat. Wij kunnen met zijn allen lekker <em>soeverein</em> gaan zitten zijn achter de dijken, maar onze invloed op de vormgeving van Europa, die gewoon doorgaat, is dan nul komma nul. En dat tast onze <em>soevereiniteit</em> pas echt aan."
"nl.proc.ob.d.h-tk-20112012-27-2.1.6.62","nl.proc","speech",0.07380004,"2011-11-23","Albayrak","PvdA","Mevrouw","mp",9,"commons"," ingebed in de nationale politiek. Daarom voelen mensen zich overvallen, nu het dringend wordt en er ineens van alles moet, omdat de natiestaat inmiddels onmachtig is de op papier en de in de hoofden van mensen bestaande nationale <em>soevereiniteit</em> nog te vertalen in <em>soeverein</em> handelen. Dit vraagt in Europa om een gevoel van lotsverbondenheid dat veel te"
"nl.proc.ob.d.h-tk-20142015-80-14.1.9.1","nl.proc","speech",0.07380004,"2015-04-23","Ten Broeke","VVD","De heer","mp",9,"commons"," laatste keer dat wij hierover hebben gesproken. Net als collega Sjoerdsma wil ik wel dat die analyse over de burgerluchtvaart wordt gemaakt. Momenteel heeft ieder land <em>soevereiniteit</em> over zijn eigen luchtruim. Het kan zelf besluiten om dat al dan niet te sluiten. Is dat uitgangspunt, zo vraag ik de staatssecretaris maar ook de minister van Buitenlandse"
"nl.proc.ob.d.h-tk-20102011-58-5.1.8.37","nl.proc","speech",0.07109688,"2011-03-09","Ten Broeke","VVD","De heer","mp",2,"commons","Nee. In het artikel van de heer Knapen staat dat de angst bestaat dat <em>soevereiniteit</em> eenrichtingsverkeer is. Op het moment dat je samenwerkt, draag je per definitie <em>soevereiniteit</em> over. Dat is hier niet geval, maar daar waar het wel zo is, kan dit zeggenschap opleveren. Ik maak hier al twee maanden heel duidelijk het onderscheid tussen samenwerken"
"nl.proc.ob.d.h-tk-20122013-61-3.1.4.3","nl.proc","speech",0.06703079,"2013-03-13","Helder","PVV","Mevrouw","mp",2,"commons","… door een wetsvoorstel aan te kondigen dat Britse rechters zich alleen houden aan uitspraken waarin Engeland partij was. Een afrondende zin, voorzitter: er is naar de mening van de PVV-fractie uiteindelijk slechts één oplossing om de eigen <em>soevereiniteit</em> te waarborgen. Dat is uit het EVRM stappen, want democratisch tot stand gekomen nationale regel- en wetgeving kun je zo niet om zeep helpen."
"nl.proc.ob.d.h-tk-20122013-34-2.1.15.20","nl.proc","speech",0.064965665,"2012-12-12","Verheijen","VVD","De heer","mp",1,"commons","Ik hoef dat niet door anderen te laten bepalen. We voeren daar nu een politiek debat over. Misschien hebben we een andere opvatting over het begrip \"<em>soevereiniteit</em>\". Nederland is uiteindelijk <em>soeverein</em>. <em>Soevereiniteit</em> is geen worst waar je elke week een stukje van afsnijdt. Het is net als met zwanger zijn. Je bent zwanger of je bent het niet. Je"
