"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-37-8.1.4.2","nl.proc","speech",1.1916708,"2011-12-15","Mulder","VVD","De heer","mp",2,"commons","Je denkt even dat de wereld op zijn kop staat. Een paar weken geleden zei Menzis dat we moeten komen tot zorgsparen. De eerste reactie van de Socialistische Partij was: sparen leidt tot een <em>tweedeling</em> in de samenleving. Nu hoor ik hier een betoog van collega Leijten voor spaarders. Hoe zit het nou precies? Leidt sparen wel of niet tot een <em>tweedeling</em> in de samenleving?"
"nl.proc.ob.d.h-tk-20102011-22-2.1.7.15","nl.proc","speech",1.0424948,"2010-11-16","Van Gerven","SP","De heer","mp",2,"commons","Ik constateer dat de minister niet het solidaire voorstel van de SP overneemt, maar de <em>tweedeling</em> organiseert. Als het aan haar ligt gaan de rollator, de pil, de tandzorg en de fysiotherapie uit het pakket. Zij maakt een vergelijking, maar die klopt niet. De premies stijgen immers, terwijl je er minder voor terugkrijgt. Bovendien pakt de minister"
"nl.proc.ob.d.h-tk-20092010-36-3458.1.11.2","nl.proc","speech",0.8339958,"2009-12-10","Vermeij","PvdA","Mevrouw","mp",12,"commons"," hebben tot scholing of werkloosheidsuitkeringen en vaker pensioengaten opbouwen; overwegende dat deze groep werkenden onevenredig veel de behoefte aan flexibiliteit op de arbeidsmarkt opvangt; overwegende dat deze groep werkenden meestal niet Vermeijde sterkste arbeidsmarktpositie heeft; overwegende dat er een <em>tweedeling</em> ontstaat tussen mensen met"
"nl.proc.ob.d.h-tk-20092010-1097-1103.1.8.9","nl.proc","speech",0.7704124,"2009-10-15","Van Gerven","SP","De heer","mp",1,"commons","U bevordert de <em>tweedeling</em>."
"nl.proc.ob.d.h-tk-20152016-17-3.1.6.19","nl.proc","speech",0.68095475,"2015-10-28","Jasper van Dijk","SP","De heer","mp",2,"commons",". Tot slot, voorzitter, ik kan het niet laten, verwijs ik naar een artikel in Trouw deze ochtend onder de titel \"Bussemaker vreest grotere kloof rijk en arm\". U moet dit echt lezen. De minister wil een onderzoek naar de <em>tweedeling</em> in het onderwijs, want er komen te veel privéscholen en te veel huiswerkbegeleiding. Er is een kloof tussen vmbo en havo"
"nl.proc.ob.d.h-tk-20112012-3-4.1.5.18","nl.proc","speech",0.60188466,"2011-09-22","Roemer","SP","De heer","mp",2,"commons"," een kleine bijdrage komt, zal het voor heel grote groepen, met name aan de onderkant, duurder gaan worden. Heel veel mensen die van een paar tientjes in de week rond moeten komen, kunnen dat zelfs al niet opbrengen. Deze drempel zal ook voor degenen voor wie u een beperkte toelage toezegt, het onmogelijk maken om hun recht te halen. We leven in een rechtsstaat en ik vind ook dat we daarin moeten blijven leven. Zo'n drempel opleggen maakt een <em>tweedeling</em> in de rechtsstaat."
"nl.proc.ob.d.h-tk-20112012-3-4.1.13.1","nl.proc","speech",0.60188466,"2011-09-22","Roemer","SP","De heer","mp",9,"commons"," zou niet moeten accepteren dat een <em>tweedeling</em> ontstaat in de toegang tot het recht. Daarom dien ik de volgende motie in. Motie De Kamer, gehoord de beraadslaging, overwegende dat het recht voor iedereen toegankelijk moet blijven; verzoekt de regering, de griffierechten niet te verhogen, en gaat over tot de orde van de dag. Deze motie is voorgesteld door de leden Roemer, Cohen, Thieme, Sap en Pechtold. Zij krijgt nr. 10 (33000) ."
"nl.proc.ob.d.h-tk-20092010-35-3375.1.11.68","nl.proc","speech",0.60188466,"2009-12-09","Vermeij","PvdA","Mevrouw","mp",6,"commons"," mensen die langer aan de kant staan of de boot net missen. Tot slot. De recessie laat pijnlijk een <em>tweedeling</em> op de arbeidsmarkt zien. Mensen met een tijdelijk contract, uitzendkrachten, mensen met nulurencontracten of zzp'ers worden het eerst ontslagen of hen wordt de wacht aangezegd. Het toenemende aantal zzp'ers, al dan niet gedwongen, vertekent"
"nl.proc.ob.d.h-tk-20112012-58-3.1.13.1","nl.proc","speech",0.60188466,"2012-03-01","Koşer Kaya","D66","Mevrouw","mp",2,"commons"," moeilijke tijden en moeten we maatregelen nemen. Daarin vindt de staatssecretaris mij ook aan zijn zijde. Hij kan mij echter niet uitleggen waarom het zorgvuldig is om niet breed naar het bestand te kijken. Door niet naar alle situaties te kijken, en door niet ook naar de oude situatie te kijken, creëert de staatssecretaris een <em>tweedeling</em>. Dat vind ik"
"nl.proc.ob.d.h-tk-20112012-36-12.1.13.1","nl.proc","speech",0.60188466,"2011-12-14","Hamer","PvdA","Mevrouw","mp",11,"commons"," zekerheid niet zou moeten uitmaken of een werknemer nu een vast, tijdelijk of uitzendcontract heeft; overwegende dat het kabinet met het desbetreffende wetsvoorstel een <em>tweedeling</em> op de arbeidsmarkt bewerkstelligt; roept de regering op om dit onzalige plan in te trekken, en gaat over tot de orde van de dag. Deze motie is voorgesteld door het lid Hamer. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 26 (33000-XV) ."
"nl.proc.ob.d.h-tk-20112012-9-7.1.17.13","nl.proc","speech",0.60188466,"2011-10-06","Karabulut","SP","Mevrouw","mp",3,"commons"," rechtvaardigde op basis van de Bijbel, namelijk bisschop Muskens van Breda. Hij zei: diefstal is een zonde, maar door honger gedreven is dat het niet volgens de moraalleer. Is dat dan wat al deze partijen willen die dit wetsvoorstel steunen? Ik kan het mij niet voorstellen, want iedereen weet dat armoede de vader en de moeder is van criminaliteit, <em>tweedeling</em> en heel veel sociale ellende. Kijk maar naar wat er in de wereld gebeurt. Tot slot heb ik nog twee moties."
"nl.proc.ob.d.h-tk-20082009-115-177.1.7.6","nl.proc","speech",0.60188466,"2008-09-18","Kant","SP","Mevrouw","mp",8,"commons","Voorzitter. Niet erg eerlijk is ook het invoeren van een bonus voor mensen van 62, 63 of 64 jaar die langer willen doorwerken. Voor een aantal van die mensen is dat namelijk niet weggelegd. Dan zie je een <em>tweedeling</em> tussen de groep mensen die nog wel door kan werken en de groep mensen die dat vanwege de gezondheid of omdat zij gewoon op zijn en"
