"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20132014-5-4.1.6.36","nl.proc","speech",1.0381016,"2013-09-25","Van Ojik","GroenLinks","De heer","mp",2,"commons"," de oppositie, want er tekenen zich toch steeds duidelijker twee verschillende richtingen af. De heer Buma heeft een keer of vijf gezegd hoe erg hij tegen <em>nivelleren</em> is, want het gaat hem om banen. In tijden dat het slecht gaat, is het normaal dat mensen met de sterkste schouders de zwaarste lasten dragen. Ik denk dat de minister-president dat letterlijk regelmatig zegt. Is dit niet hetzelfde als zeggen dat je voor <em>nivelleren</em> bent? Is het CDA op dat punt van zijn geloof gevallen?"
"nl.proc.ob.d.h-tk-20122013-100-6.1.6.4","nl.proc","speech",1.0381016,"2013-06-26","Pechtold","D66","De heer","mp",11,"commons","Ja, poëtisch bijna. Voorzitter. Een van de pijlers van het kabinet, die wij vandaag ook weer hebben gehoord, is het eerlijk delen. Wij zijn een beetje bezorgd dat dit uiteindelijk leidt tot verder <em>nivelleren</em>. Bij de VVD hebben ze inmiddels geleerd hoe je dat moet doen. Wij willen daar toch een rem op zetten. Daarom dienen wij de volgende motie in"
"nl.proc.ob.d.h-tk-20122013-22-3.1.8.8","nl.proc","speech",1.0381016,"2012-11-14","Wilders","PVV","De heer","mp",2,"commons"," pardon, over <em>nivelleren</em>. U hebt de kiezer voor de gek gehouden en voorgelogen. U hebt gezegd: stem op mij en we krijgen geen nivellerend, socialistisch beleid van de Partij van de Arbeid. Vervolgens bent u met hen in bed gaan liggen! Wij hebben nu een socialistisch beleid van bezuinigen op de middenklasse en <em>nivelleren</em>. Weet u, mijnheer Rutte"
"nl.proc.ob.d.h-tk-20122013-21-4.1.4.11","nl.proc","speech",0.88085836,"2012-11-13","Van Haersma Buma","CDA","De heer","mp",2,"commons","Wat een verwarring! Na die twee weken met verwarring gaan wij gewoon door. De heer Zijlstra vertelde trots hoezeer de VVD voor bezuinigen is. Dat bleek ook uit de onderhandelingen. De heren Rutte en Blok hebben een enorme crisis in hun eigen partij veroorzaakt om die bezuinigingen binnen te halen, ten koste van <em>nivelleren</em>. Ik begin mij steeds meer af te vragen wat de VVD nu eigenlijk heeft binnengehaald, mijnheer Zijlstra. Weet u bijvoorbeeld hoeveel de PvdA had bezuinigd als de VVD er niet bij was geweest?"
"nl.proc.ob.d.h-tk-20132014-42-12.1.4.1","nl.proc","speech",0.83048123,"2014-01-16","Madlener","PVV","De heer","mp",3,"commons"," ongemoeid en blijf af van die €25 MKOB. De ouderen hebben al te veel pijn in de portemonnee gevoeld in de laatste jaren. Onze economie is niet gebaat bij al dat koopkrachtverlies voor zo'n grote groep ouderen. <em>Nivelleren</em> is geen feest. <em>Nivelleren</em> en tegelijkertijd bezuinigen op de koopkracht van Nederlandse burgers is onverantwoord en dom beleid. Als de staatssecretaris niet klip-en-klaar toezegt dat geen enkele oudere de dupe zal worden van deze operatie, zal ik in de tweede termijn een motie indienen om dit te bereiken."
"nl.proc.ob.d.h-tk-20122013-22-8.1.4.1","nl.proc","speech",0.7340486,"2012-11-14","Wilders","PVV","De heer","mp",12,"commons"," Nederland kapot. Ze pakken de hardwerkende Nederlander, de middenklasse en de ouderen keihard in hun portemonnee. Ze <em>nivelleren</em>. Ze zorgen voor meer werkloosheid, voor minder economische groei. Ze zijn slecht voor Nederland en slecht voor de Nederlanders. De minister-president in het bijzonder is de man van het pluche, de grootste windvaan van Nederland"
"nl.proc.ob.d.h-tk-20112012-33-7.1.7.6","nl.proc","speech",0.7340486,"2011-12-07","Sap","GroenLinks","Mevrouw","mp",2,"commons"," van. De mensen hebben er ook geen last van. We weten dat veel kinderen in Nederland, één op de tien, in armoede leven. Dit kabinet draagt daar zelfs aan bij. Daarom wil ik de fractie van D66 uitnodigen dit kabinet niet meer uit te dagen met een leus als \"<em>nivelleren</em> kun je leren\", maar samen met ons te zeggen: asociaal beleid, dat moet je niet tolereren."
"nl.proc.ob.d.h-tk-20072008-5319-5380.1.5.50","nl.proc","speech",0.6228609,"2008-04-15","Depla","PvdA","De heer","mp",5,"commons"," leren. Er wordt te veel aan de zelfstandigheid van de student overgelaten. Hun gevoel is echter dat zij onvoldoende leren. Veel leerlingen hebben keiharde instructie nodig. Te ver doorgeschoten <em>nivelleren</em> versterkt juist de ongelijke kansen. Zelfontplooiing en ontdekkend leren veronderstellen immers dat je weet wat je wilt en hoe je kunt leren"
"nl.proc.ob.d.h-tk-20122013-48-23.1.15.24","nl.proc","speech",0.5872389,"2013-02-05","Wilders","PVV","De heer","mp",2,"commons","De premier doet het voorkomen alsof hij een coalitiepartner heeft en niet is gefuseerd, terwijl heel Nederland natuurlijk weet dat hij is gefuseerd met de Partij van de Arbeid. Hij gaat de belastingen verhogen in plaats van verlagen; hij gaat <em>nivelleren</em>; de hypotheekrente gaat eraan, we weten het allemaal. Wat ik aan de minister-president wil"
"nl.proc.ob.d.h-tk-20132014-14-10.1.9.20","nl.proc","speech",0.5872389,"2013-10-16","Nijboer","PvdA","De heer","mp",2,"commons"," \"<em>nivelleren</em>\"— is teruggedraaid, maar die operatie is nog steeds groot. Het gaat om vele honderden miljoenen meer dan die 500 miljoen. Anderen vonden dat overigens veel te weinig; dat geef ik grif toe. Wat mij betreft had het bedrag kunnen blijven staan, maar anderen vonden het probleem met de marginale druk te groot. De heer Klaver vraagt voorts"
"nl.proc.ob.d.h-tk-20142015-22-25.1.10.24","nl.proc","speech",0.5872389,"2014-11-11","Tony van Dijck","PVV","De heer","mp",2,"commons"," ontwikkelingshulp. Maar in een periode van een jaar krijg je nog geen half miljard.  Ook in 2015 gaan de belastingen dus weer omhoog en gaat het <em>nivelleren</em> verder. Voor 2016 staan alweer de volgende lastenverzwaringen klaar: een bijtelling voor leaserijders, een verlaging van de ouderenkorting, en het verdwijnen van de ouderentoeslag. Met dit kabinet"
"nl.proc.ob.d.h-tk-20132014-72-20.1.9.1","nl.proc","speech",0.5190508,"2014-04-08","Van Ojik","GroenLinks","De heer","mp",4,"commons"," <em>nivelleren</em>, zei de fractievoorzitter van de grootste regeringspartij dit weekend in een interview. Over welk <em>nivelleren</em> heeft hij het in hemelsnaam? Ik zou het niet weten. Snapt de minister van Financiën waar de heer Zijlstra op doelt en, zo ja, is hij het met hem eens? Ik sluit af. Ik ben blij dat de strafbaarstelling illegaliteit van tafel is"
"nl.proc.ob.d.h-tk-20132014-5-4.1.5.81","nl.proc","speech",0.51383406,"2013-09-25","Wilders","PVV","De heer","mp",2,"commons"," interruptiemicrofoon. Zij stonden u te smeken of u alstublieft met hen zaken wilde doen. De heer Buma zei: wilt u wat minder <em>nivelleren</em>? U zei: nee, bekijk het maar. De heer Buma zei: en die mensen in de zorg op de nullijn? U zei: nee, bekijk het maar. De heer Slob had weer een ander punt: moeten wij iets aan lastenverlichting doen? En u zei: nee, bekijk het"
