"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20132014-31-6.1.3.1","nl.proc","speech",0.53937215,"2013-12-03","Verhoeven","D66","De heer","mp",2,"commons"," kredietverlening een groot probleem voor vooral het midden- en kleinbedrijf. Ik heb er nooit een geheim van gemaakt dat D66 dit kabinet op economische zaken te passief vindt. Er is te weinig ambitie, te weinig daadkracht en te weinig ruimte voor <em>ondernemers</em>. Daarom sta ik vandaag hier. Uit onderzoek van <em>Ondernemend</em> Nederland blijkt dat de wet tegen te laat"
"nl.proc.ob.d.h-tk-20142015-13-24.1.12.1","nl.proc","speech",0.51957977,"2014-10-14","Schouten","ChristenUnie","Mevrouw","mp",8,"commons"," tijden zijn er namelijk ook veel <em>ondernemers</em> opgestaan die juist nieuwe kansen hebben gezien. Een aantal sprekers voor mij doelde daar al op: er zijn initiatieven aan het ontstaan die op een heel vernieuwende manier aankijken tegen hoe je kunt <em>ondernemen</em>. Het woord deeleconomie viel al. Ik noem ook de sociaal <em>ondernemers</em>, die heel duidelijk een"
"nl.proc.ob.d.h-tk-20052006-5562-5586.1.5.8","nl.proc","speech",0.48106855,"2006-06-15","Ten Hoopen","CDA","De heer","mp",2,"commons","In het Financieel Dagblad van 31 mei jongstleden is de heer Heemskerk weer wél voor gevangenisstraffen. In het blad <em>Ondernemen</em>! van MKB-Nederland van juni 2006 staat: \"Heemskerk wil geen gevangenisstraffen.\" Ik krijg daar enigszins een jojogevoel bij. De volgende keer komt de heer Heemskerk misschien vertellen dat wij <em>ondernemers</em> moeten stenigen of ophangen. Waar staat hij nu?"
"nl.proc.ob.d.h-tk-20142015-26-9.1.5.1","nl.proc","speech",0.46985877,"2014-11-19","Leegte","VVD","De heer","mp",7,"commons"," het motto \"van aid naar trade\", maar wie in de begroting het woord \"bedrijfsleven\" zoekt, vindt \"landroof\", \"mensenrechten\" en \"voorlichting\". Wie zoekt naar \"<em>ondernemen</em>\", vindt \"Rijksdienst voor <em>Ondernemend</em> Nederland\" en \"internationaal maatschappelijk verantwoord <em>ondernemen</em>\". In de eerste twee jaar van deze minister werden extra regels en"
"nl.proc.ob.d.h-tk-20152016-13-31.1.17.9","nl.proc","speech",0.44857383,"2015-10-13","Öztürk","Groep Kuzu/Öztürk","De heer","mp",3,"commons","De minister moet niet kiezen voor de vier grote banken maar voor de honderdduizenden kleine bedrijven. De minister moet niet alleen kiezen voor de grote bedrijven maar ook voor de kleine bedrijven. DENK vindt de creatieve oplossingen uit de schaduwbegroting van ONL (<em>Ondernemend</em> Nederland) de moeite waard, bijvoorbeeld De Nieuwe Ondernemersbank"
"nl.proc.ob.d.h-tk-20102011-25-38.1.20.1","nl.proc","speech",0.4410693,"2010-11-23","Wiegman-van Meppelen Scheppink","ChristenUnie","Mevrouw","mp",12,"commons",", aangezien wij naast Pieterburen geen zeehondensector kennen? <em>Ondernemers</em>, van mkb en agrariërs enerzijds tot multinationals anderzijds, verwachten een consistente en betrouwbare overheid. Dit komt tot uiting in betalingsgedrag, duurzaam inkopen en fiscaal beleid. Dit kabinet noemt in het regeerakkoord enkele goede maatregelen voor <em>ondernemend</em> Nederland"
"nl.proc.ob.d.h-tk-20112012-40-8.1.9.1","nl.proc","speech",0.41721225,"2011-12-22","De Mos","PVV","De heer","mp",11,"commons"," waarin MVO door het bedrijfsleven geadopteerd is en gepraktiseerd wordt; overwegende dat het aan <em>ondernemers</em> zelf is om al dan niet maatschappelijk verantwoord te <em>ondernemen</em>; verzoekt de regering om de subsidie van MVO Nederland per direct stop te zetten, en gaat over tot de orde van de dag. Deze motie is voorgesteld door het lid De Mos. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 120 (26485) ."
"nl.proc.ob.d.h-tk-20122013-67-5.1.9.1","nl.proc","speech",0.41721225,"2013-03-27","Agnes Mulder","CDA","Mevrouw","mp",11,"commons"," zelf; constaterende dat Nederlandse bedrijven internationaal goed scoren als het om maatschappelijk verantwoord <em>ondernemen</em> gaat; overwegende dat de regering het midden- en kleinbedrijf verder wil stimuleren om internationaal maatschappelijk te <em>ondernemen</em>; verzoekt de regering, concrete stappen te zetten om <em>ondernemers</em> met raad en daad te stimuleren"
"nl.proc.ob.d.h-tk-20122013-33-13.1.15.28","nl.proc","speech",0.4136737,"2012-12-11","Kerstens","PvdA","De heer","mp",3,"commons","Dat was inderdaad geen vraag. Het was een bewering, denk ik. Ik zei net dat het quotum jammer genoeg blijkbaar een noodzakelijke stok achter de deur is. Er zijn uiteraard goede werkgevers. Ook zijn er goede werkgeversinitiatieven, zoals De Normaalste Zaak of de Prestatieladder Sociaal <em>Ondernemen</em>. Ik hoop dat zij de rest van <em>ondernemend</em> Nederland"
"nl.proc.ob.d.h-tk-20122013-13-16.1.14.1","nl.proc","speech",0.4136737,"2012-10-23","Huizing","VVD","De heer","mp",3,"commons"," te streven naar efficiency en effectiviteit. Ik sluit af met de calamiteitenregeling. Daar hebben we fors over gediscussieerd. De VVD staat voor ondernemerschap en voor de vrijheid om te <em>ondernemen</em> zonder allerlei belemmeringen en administratieve lasten. Het pakket aan voorgestelde maatregelen, de vereenvoudigingen, dragen daar allemaal aan bij"
"nl.proc.ob.d.h-tk-20102011-4-25.1.7.45","nl.proc","speech",0.4136737,"2010-09-28","Blanksma-van den Heuvel","CDA","Mevrouw","mp",4,"commons","Uiteraard. Ik zal afronden en kom tot slot op het bedrijfsleven. Velen hebben de mond vol over het verdelen van geld, maar om geld te kunnen verdelen, moet het toch eerst worden verdiend. Daarom is het belangrijk dat <em>ondernemend</em> Nederland de ruimte krijgt om te <em>ondernemen</em>, concurrerend en met perspectief. Herstel is in zicht, maar is nog niet"
"nl.proc.ob.d.h-tk-20142015-94-8.1.5.1","nl.proc","speech",0.39948368,"2015-06-10","Geurts","CDA","De heer","mp",4,"commons","Voorzitter. Afgelopen winter veranderden veel groene weiden in woestijnvlakten, een grote ramp voor veel <em>ondernemers</em> in Friesland, maar ook daarbuiten. Het kwam in eerste instantie wat moeilijk op gang, maar op aandringen van de sector en de Tweede Kamer namen provincie en ministerie maatregelen. In het bijzonder wil ik stilstaan bij de inzet van"
"nl.proc.ob.d.h-tk-20132014-19-17.1.15.1","nl.proc","speech",0.39513436,"2013-11-05","Dijkgraaf","SGP","De heer","mp",6,"commons",". Daarna hebben wij een aantal jaren gehad waarin EZ wat minder zichtbaar was. Ik verheug mij erop dat die positie van EZ niet meer op het oude niveau is — dat was ook niet goed volgens mij — maar wel op een zodanig niveau dat ik kan zeggen dat EZ als ministerie serieus hard aan het werk is om <em>ondernemend</em> Nederland beter op de kaart te krijgen. Ik wil de"
"nl.proc.ob.d.h-tk-20072008-6115-6150.1.5.27","nl.proc","speech",0.3755785,"2008-05-22","Van Geel","CDA","De heer","mp",3,"commons"," het stimuleren van het <em>ondernemend</em> vermogen. Voor beleid dat gericht is op de toekomst en de welvaart van ons land, is de kracht van <em>ondernemend</em> vermogen onontbeerlijk. Als je de stukken van het kabinet leest, is een belangrijke zorg hierbij het terugdringen van de administratieve lasten. De minister-president geeft goede voorbeelden ten aanzien"
"nl.proc.ob.d.h-tk-20082009-933-959.1.8.1","nl.proc","speech",0.3755785,"2008-10-22","Aptroot","VVD","De heer","mp",8,"commons","Mevrouw de voorzitter. Evenals in 2007 en 2008 kabbelt in 2009, althans volgens de begroting, het beleid van Economische Zaken voort, terwijl <em>ondernemend</em> Nederland met vijf ernstige knelpunten en door de recente ontwikkelingen, die ook van buitenaf op ons zijn afgekomen, met een ernstig kredietprobleem zit. De vijf problemen voor <em>ondernemend</em>"
"nl.proc.ob.d.h-tk-20092010-1368-1407.1.11.1","nl.proc","speech",0.36196446,"2009-10-29","Elias","VVD","De heer","mp",10,"commons",", constaterende dat de ministeries van Economische Zaken, Sociale Zaken en Werkgelegenheid en een gedeelte van het ministerie van Landbouw, Natuur en Voedselkwaliteit gezamenlijk verantwoordelijk zijn voor het stimuleren van ondernemerschap in Nederland; constaterende dat het samenvoegen van deze ministeries in het belang is van <em>ondernemend</em> Nederland"
"nl.proc.ob.d.h-tk-20142015-69-3.1.5.3","nl.proc","speech",0.36196446,"2015-03-31","Mei Li Vos","PvdA","Mevrouw","mp",3,"commons"," vaker aangepakt. Ik noem de zelfstandigen in de zorg. Daar hebben we vorig jaar ook veel over gesproken. Dit was zo duidelijk. Ik snap niet waarom de Belastingdienst daar zo veel problemen mee had. Maar goed, ik wacht met heel veel belangstelling het rapport van de verkenner af, evenals de acties die de minister gaat <em>ondernemen</em> na het rapport.  Ik"
"nl.proc.ob.d.h-tk-20132014-34-3.1.4.1","nl.proc","speech",0.36174858,"2013-12-10","Van Hijum","CDA","De heer","mp",7,"commons","Het midden- en kleinbedrijf — wij spreken dan over <em>ondernemers</em> met een beperkt aantal mensen in dienst — hoort de banenmotor van onze economie te zijn. Die motor hapert echter. Dat komt niet alleen doordat consumenten minder uitgeven, maar ook door hogere belastingen en WW-premies, door afnemende kredietverlening door banken en door opdrachtgevers"
