"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-52-4.1.6.15","nl.proc","speech",0.9733286,"2012-02-09","Bouwmeester","PvdA","Mevrouw","mp",2,"commons","Ik was gisteren ziek, mevrouw Gesthuizen, dus ik kon niet mee. Ik heb daardoor ook niet kunnen schaatsen de afgelopen dagen. Er zijn heel veel rechters in de gevangenis die zich bezighouden met mensen <em>opsluiten</em> omdat zij iets hebben gedaan wat niet mag. Voor mensen die onder dwang zijn geplaatst, is er een aparte toets of die spuit erin mag. Die aparte toets is er nu niet. Uw partij vindt die wel belangrijk voor andere mensen, maar niet voor gedetineerden."
"nl.proc.ob.d.h-tk-20102011-57-3.1.4.2","nl.proc","speech",0.8342816,"2011-03-08","Van der Steur","VVD","De heer","mp",2,"commons"," tijd <em>opsluiten</em> van bepaalde veelplegers herhaling kan voorkomen en zeer gunstig is voor de maatschappij, ook als je rekening houdt met de kosten die met gevangenschap gemoeid zijn. Wil de minister er naar aanleiding van dit onderzoek voor zorgen dat veelplegers daadwerkelijk langer worden opgesloten?"
"nl.proc.ob.d.h-tk-20102011-40-3.1.5.3","nl.proc","speech",0.8342816,"2011-01-18","Helder","PVV","Mevrouw","mp",2,"commons","Die heb ik beslist niet nodig. Ik dank de minister voor de vele, heldere antwoorden. Ik blijf één vraag overhouden. Ik hoor de minister zeggen: als ze opgepakt worden, dan volgt ook een straf. Die ISD met twee jaar <em>opsluiten</em> is inderdaad prima. Dan worden ze ook behandeld en zijn ze feitelijk van de straat. Dat is prima. De minister zegt: als ze opgepakt worden. Dan blijft alleen de vraag over wat hij gaat doen om dat percentage omhoog te krijgen van 24 naar 40."
"nl.proc.ob.d.h-tk-20082009-6738-6763.1.13.1","nl.proc","speech",0.7865682,"2009-05-20","Bouwmeester","PvdA","Mevrouw","mp",3,"commons"," in cijfers en heeft tot gevolg gehad dat burgers zich veiliger zijn gaan voelen. Een dalende misdaad en ten gevolge daarvan een veiliger samenleving is het doel dat de PvdA nastreeft en dat iedereen zou moeten nastreven. Het <em>opsluiten</em> van mensen is daarbij een belangrijk middel, maar ik krijg zeker in dit debat de indruk dat er partijen zijn die doel en middel door elkaar halen: laten wij maar vooral iedereen <em>opsluiten</em>. Maar het gaat niet om het vullen van cellen, het gaat om het veiliger maken van de samenleving."
"nl.proc.ob.d.h-tk-20072008-5067-5079.1.5.1","nl.proc","speech",0.69523466,"2008-04-03","Teeven","VVD","De heer","mp",6,"commons","Voorzitter. Ik had geen brief gevraagd, maar als de staatssecretaris er eentje stuurt, dan zien wij hem graag tegemoet. Gevangenissen en cellen heb je nodig als je veiligheid wilt bewerkstelligen in de maatschappij. Zelfs dit preventiekabinet vindt uiteindelijk dat je hardnekkige criminelen moet <em>opsluiten</em> en directe slachtoffers in de maatschappij"
"nl.proc.ob.d.h-tk-20072008-1363-1402.1.18.9","nl.proc","speech",0.69523466,"2007-11-07","Van Dam","PvdA","De heer","mp",2,"commons","Begrijp ik goed uit de verklaring van de minister dat de minister-president in zijn gesprek met president Poetin niet heeft gesproken over Tsjetsjenië? Is er niet gesproken over de buitenrechtelijke executies die daar plaatsvinden, over de ontvoeringen en de verdwijningen, over de mishandeling van gevangenen en het <em>opsluiten</em> van gevangenen in"
"nl.proc.ob.d.h-tk-20112012-77-30.1.6.4","nl.proc","speech",0.69523466,"2012-04-17","Van der Ham","D66","De heer","mp",2,"commons"," soorten kwekers zijn? Sommige kwekers zitten diep in de georganiseerde misdaad. Die moet je zo snel mogelijk oppakken en heel ver weggestopt <em>opsluiten</em>. Er zijn ook andersoortige telers, die wel degelijk meer dan de toegestane vijf planten telen, maar wat minder grote boeven zijn. Hoe wil de heer Van der Steur daarmee omgaan? Welke prioriteit adviseert hij aan de opsporende organisaties?"
"nl.proc.ob.d.h-tk-20082009-7603-7619.1.6.4","nl.proc","speech",0.69523466,"2009-06-17","Bouwmeester","PvdA","Mevrouw","mp",2,"commons"," De Roon heeft dus wel degelijk duidelijk gemaakt dat hij de partij vertegenwoordigt die de mensen zo lang mogelijk wil <em>opsluiten</em>, waaraan ik toevoeg: ongeacht of dit effectief is of niet en of het bijdraagt aan een beter Nederland. Daarom vraag ik wat de heer De Roon wil. Wil hij een veilig Nederland, waarin mensen niet recidiveren of is het hoogste doel van de Partij voor de Vrijheid mensen op te sluiten?"
"nl.proc.ob.d.h-tk-20082009-7623-7650.1.9.3","nl.proc","speech",0.69523466,"2009-06-18","Ouwehand","PvdD","Mevrouw","mp",2,"commons"," daarover en de ontwikkelingen hier is gebleken dat dit zeker niet op een Kamermeerderheid kan steunen en dit initiatiefwetsvoorstel zelfs verder in gevaar zou kunnen brengen. Dat doen wij dus niet. Het is voor ons van groot belang dat er een einde komt aan het fokken van dieren voor hun pels en aan het <em>opsluiten</em> van wilde, niet te domesticeren dieren in kooien waarin zij hun natuurlijke gedrag nooit ofte nimmer kunnen uiten. Als dat dan over tien jaar is beëindigd, is het ook goed."
"nl.proc.ob.d.h-tk-20102011-40-3.1.4.1","nl.proc","speech",0.6882472,"2011-01-18","Helder","PVV","Mevrouw","mp",3,"commons"," samenleving de meeste overlast. Ter onderbouwing van het <em>opsluiten</em>, wijs ik op het rapport van de heer Vollaard. Is de minister het met mij eens dat langdurig <em>opsluiten</em> de enige juiste straf of maatregel is die de zekerheid biedt dat een crimineel gedurende een bepaalde tijd daadwerkelijk geen strafbare feiten meer pleegt? Hoe krijgen we zo veel"
