"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20102011-52-4.1.4.4","nl.proc","speech",0.8812534,"2011-02-15","Van Hijum","CDA","De heer","mp",2,"commons"," Basisadministratie voor persoonsgegevens. De minister moet het allemaal maar eens op papier zetten en dan laten wij ons graag overtuigen. De minister zegt echter niets over de opmerking in het krantenartikel van vanmorgen dat deze inzet meer <em>perspectief</em> zou opleveren voor Nederlandse werkzoekenden. Die willen wij namelijk ook <em>perspectief</em> bieden. Hoe wil de"
"nl.proc.ob.d.h-tk-20072008-6672-6682.1.13.12","nl.proc","speech",0.87239635,"2008-06-10","Ten Hoopen","CDA","De heer","mp",2,"commons","Voorzitter. Ik hecht eraan dat ik hier mijn eigen visie kan inbrengen en dat die niet door een andere partij wordt verwoord, behalve als die precies hetzelfde is. Wij zijn, zoals ik heb verwoord, voor liberalisering. Wij zijn tegen het perspectiefloze maatschappijbeeld van de SP. De SP onderschrijft blijkbaar niet het geweldige nieuwe <em>perspectief</em> van betere kwaliteit en betere dienstverlening, het <em>perspectief</em> van weer een baan voor mensen."
"nl.proc.ob.d.h-tk-20112012-16-15.1.19.49","nl.proc","speech",0.7477683,"2011-10-27","Voordewind","ChristenUnie","De heer","mp",2,"commons","Waar een wil is, is ook een weg, even los van de rails. Wij zien dat de minister wel wil, maar geen mogelijkheid, geen frame kan vinden om daar de oplossing in te zetten. Mijn vraag gaat over de motie van de CDA-fractie, waarin uitgesproken wordt dat Mauro <em>perspectief</em> geboden moet worden op een verblijf in Nederland. Hoe ziet de minister die motie en vooral dit stukje in die motie? Ziet hij dat <em>perspectief</em> ook als het gaat om de periode na zijn studie?"
"nl.proc.ob.d.h-tk-20112012-83-12.1.11.69","nl.proc","speech",0.7477683,"2012-05-15","Grashoff","GroenLinks","De heer","mp",2,"commons","Het is goed om dat te horen. Mijn tweede vraag. Ik snap dat de minister aan het bieden van beter onderdak graag de voorwaarde zou willen verbinden van vrijwillige medewerking aan vertrek. Ik snap dat vanuit het <em>perspectief</em> van de genomen beslissing, maar vanuit het <em>perspectief</em> van de realiteit is het toch de vraag hoe zinvol het is om die eis te stellen. Als het namelijk zo was geweest, hadden deze mensen al meegewerkt aan een vrijwillig vertrek. Levert zijn aanbod materieel dan wel iets op?"
"nl.proc.ob.d.h-tk-20112012-65-9.1.178.1","nl.proc","speech",0.7477683,"2012-03-20","Schouw","D66","De heer","mp",2,"commons","Vanuit uw <em>perspectief</em> en ook vanuit mijn <em>perspectief</em>, mevrouw de voorzitter. Door de eventualiteit van de nieuwe politieke situatie wordt naar alle waarschijnlijkheid een heel belangrijk voorstel van collega Van der Ham en mij vanmiddag verdaagd, terwijl het urgenter dan ooit is om dit heel snel te behandelen. Het voorstel gaat namelijk over de"
"nl.proc.ob.d.h-tk-20112012-38-26.1.8.1","nl.proc","speech",0.7477683,"2011-12-20","Spekman","PvdA","De heer","mp",24,"commons","Voorzitter. Ik heb twee moties die allebei gaan over het project <em>Perspectief</em> voor de opvang van jongere asielzoekers. Motie De Kamer, gehoord de beraadslaging, overwegende dat de looptijd van het project van anderhalf jaar te kort is om alle lopende ingewikkelde dossiers van de ex-amv's af te ronden met terugkeer naar het land van herkomst of met"
"nl.proc.ob.d.h-tk-20082009-411-437.1.13.24","nl.proc","speech",0.7050027,"2008-09-30","Hamer","PvdA","Mevrouw","mp",2,"commons","Ik heb uw vraag zo verstaan dat u het een aantrekkelijk <em>perspectief</em> vindt. Anders stelt u de vraag niet, neem ik aan. Waarom zou je naar iets vragen naar wat je niet wilt? Ik heb nog een andere vraag. Bent u het eens met de beslissing die het kabinet heeft genomen voor deze injectie of bent u daar tegen?"
"nl.proc.ob.d.h-tk-20122013-78-3.1.4.17","nl.proc","speech",0.7050027,"2013-04-23","Bisschop","SGP","De heer","mp",2,"commons","Ik zal dat proberen te dragen, voorzitter. Hoe laat dit zich rijmen met het snijden van een derde van het budget van de AIVD, maar daaraan gekoppeld – de minister schetste zojuist een wijds <em>perspectief</em>, in die zin dat de rekening voor bepaalde diensten ook bij afnemers wordt neergelegd – hoe groot is het percentage dat de minister op die wijze denkt terug te kunnen verdienen?"
"nl.proc.ob.d.h-tk-20092010-24-2056.1.7.22","nl.proc","speech",0.7050027,"2009-11-12","Halsema","GroenLinks","Mevrouw","mp",2,"commons","Oké. Het is fijn dat ik nu weet wat voor manchetknopen u aan hebt. Dat zit diep in mijn beweging. Maar uw hardvochtigheid; ken uw feiten. Het sociale <em>perspectief</em> en de kansen op sociale stijging voor mensen met lage opleidingen zijn slechter. U straft ze onevenredig. Dat is niet progressief, dat is ook niet links-liberaal. Dat is rechts-liberaal."
"nl.proc.ob.d.h-tk-20112012-17-29.1.11.7","nl.proc","speech",0.64758635,"2011-11-01","Sap","GroenLinks","Mevrouw","mp",3,"commons","Ik ben gewend om niet zomaar ja of nee te zeggen, maar om een aantal concrete voorstellen te doen. Ook vanavond doe ik dat. Ik heb gevraagd om een analyse over dat noodfonds, zodat we weten hoe de opties uitwerken. Het is een te mager pakket. Het gaat wat ons betreft met name mis doordat het veel te weinig <em>perspectief</em> biedt voor Europa. Daar"
"nl.proc.ob.d.h-tk-20082009-88-114.1.8.57","nl.proc","speech",0.6231403,"2008-09-18","Kant","SP","Mevrouw","mp",2,"commons","Het probleem is dat u dat wel kunt zeggen, en de pr-campagne van het kabinet draait inderdaad op volle toeren, maar mensen zien in hun leven niets veranderen. Ze hebben ook niet het <em>perspectief</em> dat het gaat verbeteren. U en sommige Kamerleden roepen heel vaak dat er iets gedaan gaat worden aan de bureaucratie in het onderwijs en de zorg, maar"
"nl.proc.ob.d.h-tk-20132014-32-11.1.23.22","nl.proc","speech",0.6231403,"2013-12-04","Klein","50PLUS","De heer","mp",10,"commons","Mijn laatste motie gaat over de rol van de gemeenten bij het <em>perspectief</em> bieden aan oudere werklozen. Motie De Kamer, gehoord de beraadslaging, constaterende dat de Inspectie SZW in haar rapport \"<em>Perspectief</em> voor oudere werklozen\" constateerde dat de manier waarop gemeenten oudere bijstandsgerechtigden ondersteunen bij het vinden van een baan"
"nl.proc.ob.d.h-tk-20072008-6378-6388.1.17.15","nl.proc","speech",0.6231403,"2008-05-29","Van Leeuwen","SP","De heer","mp",2,"commons","De minister maakt een vergelijking met Denemarken, maar die vind ik een beetje buiten de orde. Ik weet niet hoe het gesteld is met de wetenschappelijke sector in Denemarken. Er zullen ongetwijfeld voorbeelden zijn van nulmetingen die door de sector zelf worden uitgevoerd en die wél kloppen. Ik doelde niet op het profijtbeginsel als <em>perspectief</em>"
"nl.proc.ob.d.h-tk-20112012-45-3.1.8.27","nl.proc","speech",0.6231403,"2012-01-25","Heijnen","PvdA","De heer","mp",2,"commons","Ja, dat klopt. Waarom zou ik die vergissing nu maken? Wij zijn erg blij met de steun van de VVD. Het zou overigens goed zijn als de PVV zich daarbij aansluit. Ik heb niet het <em>perspectief</em> van de gever, maar het <em>perspectief</em> van de partij. Partijen in dit land beschikken over begrotingen tussen een miljoen, of iets minder, en enkele miljoenen. Ik"
"nl.proc.ob.d.h-tk-20052006-3249-3254.1.5.1","nl.proc","speech",0.6231403,"2006-02-14","Koşer Kaya","D66","Mevrouw","mp",9,"commons"," beraadslaging, overwegende dat de invoering van participatiebanen niet ten koste mag gaan van werkgelegenheid in de vorm van reguliere, betaalde banen; overwegende dat participatiebanen een reëel <em>perspectief</em> op doorstroming moeten bieden; verzoekt de regering, de in te voeren participatiebanen zodanig vorm te geven dat ze niet leiden tot verdringing op de"
"nl.proc.ob.d.h-tk-20062007-2771-2782.1.11.7","nl.proc","speech",0.6231403,"2007-03-08","Sterk","CDA","Mevrouw","mp",2,"commons"," gezien hoe die vormingsplicht werkt. Die werkt goed, maar dat kan nog veel beter. Er zouden nog meer jongeren moeten worden geholpen; vandaar ook de afspraak in het regeerakkoord. U weet verder dat er op Curaçao een soort socialevormingstraject bestaat, juist voor die jongeren die kansloos zijn, om hun dáár <em>perspectief</em> te bieden. Wij vinden dus"
"nl.proc.ob.d.h-tk-20052006-5542-5562.1.6.62","nl.proc","speech",0.6231403,"2006-06-15","Slob","ChristenUnie","De heer","mp",2,"commons"," een wettelijke regeling zou komen. De minister heeft ook aangegeven wat het <em>perspectief</em> van die wettelijke regeling was. De partijen die dat <em>perspectief</em> aantrekkelijk vonden, zijn op hun handen gaan zitten. Dan kwam het vanzelf wel. En nu komt het zelfs nog eerder door het amendement van de Kamer. Laten wij het wel even in de juiste proporties zien."
"nl.proc.ob.d.h-tk-20102011-98-7.1.4.1","nl.proc","speech",0.6168774,"2011-06-28","Spekman","PvdA","De heer","mp",2,"commons"," hand en de boodschap \"zoek het maar uit\". Ik wilde niet dat zoiets in mijn stad gebeurde en ben begonnen met het project \"<em>Perspectief</em>\". Toen ik in de Kamer kwam, had ik de diepe overtuiging dat wat in Utrecht werkt, voorkomen dat mensen de illegaliteit – wat ook slecht is voor de stad – en daarmee de vernieling ingaan, ook landelijk kan, dus het"
"nl.proc.ob.d.h-tk-20122013-97-3.1.30.12","nl.proc","speech",0.6168774,"2013-06-19","Van Dam","PvdA","De heer","mp",2,"commons","PowNed en WNL werden onder de oude regels aspirant-omroepen. Met deze wet worden de regels in de tussentijd veranderd. Het <em>perspectief</em> toen zij toetraden was een zelfstandige plek in het bestel. Met deze wet is dat <em>perspectief</em> er niet meer. Er is immers geen zelfstandige plek meer in het bestel. Ik heb eerder in debatten gezegd dat ik vind dat"
"nl.proc.ob.d.h-tk-20052006-5012-5025.1.7.5","nl.proc","speech",0.6168774,"2006-05-23","Vendrik","GroenLinks","De heer","mp",2,"commons","Het leek mij goed om een complimentje te maken. Dat maakt de wereld immers mooier, ook op een dag als vandaag. Ik zal nu overgaan tot de zakelijke orde van de dag. Als iemand gedurende ongeveer vijf jaar een minimumuitkering heeft ontvangen, is niet uitgesloten dat er een <em>perspectief</em> is op de arbeidsmarkt. Moeten wij niet met elkaar vaststellen dat dit meer theorie dan praktijk is, als iemand al vijf jaar in de bijstand zit? Wat is de waarde van die stelling?"
"nl.proc.ob.d.h-tk-20112012-48-9.1.10.16","nl.proc","speech",0.6168774,"2012-02-01","Dijkgraaf","SGP","De heer","mp",2,"commons","Jawel. Ik heb er ook wel eens tegenaan geleund en toen was ik ook verbaasd. De heer Klaver is nog geen verzilveringsprobleem tegengekomen. Hij zal het zelf ook van belang vinden dat dit er niet in zit. Is hij het mij eens dat het goed zou zijn als de minister reageert vanuit dat <em>perspectief</em>, zodat duidelijk wordt of de heffingskorting voor de hele groep effectief is? Misschien is zij voor een deel van de groep niet effectief, vanwege de verzilveringsproblemen."
"nl.proc.ob.d.h-tk-20102011-41-5.1.22.1","nl.proc","speech",0.6168774,"2011-01-19","Venrooy-van Ark","VVD","Mevrouw","mp",2,"commons","Voorzitter. Ook de VVD-fractie dankt de staatssecretaris voor de beantwoording, de betrokkenheid en het geboden <em>perspectief</em>. Een tuigje is geen eindstation. Daar zouden wij zeer verheugd over zijn, ook al is dat bij deze problematiek een moeilijke term. Wij kijken uit naar de rapportage in maart. Ik heb in eerste termijn Brandon \"een symbool van wanhoop\" genoemd, maar ik spreek de wens en de hoop uit dat hij wellicht het symbool van de hoop mag zijn."
"nl.proc.ob.d.h-tk-20112012-56-17.1.20.1","nl.proc","speech",0.6168774,"2012-02-28","Sap","GroenLinks","Mevrouw","mp",10,"commons","Voorzitter. GroenLinks kiest voor Europa, maar dan wel een Europa van hoop en <em>perspectief</em>. Het Europa van nu blijft naar onze smaak nog steeds veelal hangen in een Europa van straf en boetedoening. Er is wel een huzarenstukje geleverd, dat Europa er toch weer uit is gekomen met dit steunpakket aan Griekenland. Dat plaatst ons voor een lastig"
"nl.proc.ob.d.h-tk-20072008-3541-3554.1.10.6","nl.proc","speech",0.6168774,"2008-01-30","Ten Broeke","VVD","De heer","mp",2,"commons","Een Europees <em>perspectief</em> voorhouden aan Servië, daar is op zichzelf niets mis mee. Ik kan ook wel met de minister meedenken in buitenlandspolitieke termen. Natuurlijk is dat mogelijk. Het liefst hadden wij dat gedaan voorafgaand aan het maken van de deal. Dat was de geloofwaardigheid behoorlijk ten goede gekomen. De minister laat zich kennelijk niet aanleunen dat er goed gelezen zou zijn. Er is heel goed gelezen."
"nl.proc.ob.d.h-tk-20132014-31-33.1.13.21","nl.proc","speech",0.6168774,"2013-12-03","Kerstens","PvdA","De heer","mp",2,"commons","De heer Potters heeft goed begrepen dat het mij in de eerste plaats gaat om spelregels, zodat gemeenten en uitkeringsgerechtigden van elkaar weten wat zij hebben te verwachten, en om <em>perspectief</em> richting de arbeidsmarkt. Dat <em>perspectief</em> hoeft niet te zijn dat men in één keer een reuzenstap naar een droombaan met het bijbehorende salaris kan zetten"
"nl.proc.ob.d.h-tk-20052006-3860-3889.1.27.2","nl.proc","speech",0.6168774,"2006-03-21","Crone","PvdA","De heer","mp",2,"commons","De ene toezegging lokt de andere uit. Ik begrijp dat mijn motie overbodig is geworden omdat de minister haar overneemt. Ik hoor ook van de aandeelhouders zelf dat zij behoefte hebben aan een wat lichtere vorm van samenwerking. Misschien vatten zij dat breder op dan alleen het beloningsbeleid. Wellicht is het een hefboom om iets te kunnen doen. Als de minister dat bredere <em>perspectief</em> meeneemt, trek ik mijn motie in."
"nl.proc.ob.d.h-tk-20062007-783-804.1.10.19","nl.proc","speech",0.6168774,"2006-10-12","Verburg","CDA","Mevrouw","mp",3,"commons",", aangevuld met een uitstroompremie. Daarmee stimuleert men een werkgever om iemand in dienst te nemen, investeert men – net als de werkgever – in scholing en biedt men de werkzoekende <em>perspectief</em> om een beroeps- of een startkwalificatie te behalen, gevolgd door <em>perspectief</em> op een normale baan in een bedrijf, betaald via de cao. Wij zouden graag"
"nl.proc.ob.d.h-tk-20152016-15-14.1.16.5","nl.proc","speech",0.6168774,"2015-10-15","Dijkgraaf","SGP","De heer","mp",8,"commons","Dan dien ik nu motie 36 in.  Motie De Kamer,  gehoord de beraadslaging,  verzoekt de regering, de Kamer middels het Energierapport te informeren over het <em>perspectief</em> en de voor- en nadelen van thoriumenergie in overleg met de experts van de TU Delft en dat te betrekken bij de energiedialoog,  en gaat over tot de orde van de dag.  Deze motie is voorgesteld door de leden Dijkgraaf en Bosman. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund.  Zij krijgt nr. 57 ( 34300-XIII )."
"nl.proc.ob.d.h-tk-20102011-4-25.1.7.45","nl.proc","speech",0.6105503,"2010-09-28","Blanksma-van den Heuvel","CDA","Mevrouw","mp",4,"commons","Uiteraard. Ik zal afronden en kom tot slot op het bedrijfsleven. Velen hebben de mond vol over het verdelen van geld, maar om geld te kunnen verdelen, moet het toch eerst worden verdiend. Daarom is het belangrijk dat ondernemend Nederland de ruimte krijgt om te ondernemen, concurrerend en met <em>perspectief</em>. Herstel is in zicht, maar is nog niet"
