"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20132014-17-7.1.10.27","nl.proc","speech",1.2556374,"2013-10-30","Bruins Slot","CDA","Mevrouw","mp",2,"commons","Op dat laatste punt: als elke zorgverzekeraar aan <em>preventie</em> doet, is het ook geen issue meer. Als het gaat om het Nationaal Programma <em>Preventie</em> vindt het CDA het belangrijk dat er ook veel aandacht voor ouderen is. Daar is namelijk ook veel gezondheidswinst te behalen. In antwoord op mijn vraag die ik aan de staatssecretaris heb gesteld, namelijk"
"nl.proc.ob.d.h-tk-20072008-1646-1666.1.8.26","nl.proc","speech",1.1581134,"2007-11-14","Schermers","CDA","Mevrouw","mp",3,"commons"," binnen de muren blijft en dat die kennis beschikbaar moet komen voor de mensen die deze nodig hebben. Het CDA beschouwt het als positief dat er meer aandacht is gekomen voor <em>preventie</em>, met name voor de <em>preventie</em> van overmatig alcoholgebruik bij jongeren, meeroken, overgewicht en depressie. Overgewicht is vandaag de dag de grootste bedreiging van onze"
"nl.proc.ob.d.h-tk-20052006-5677-5682.1.7.1","nl.proc","speech",0.9689471,"2006-06-21","Arib","PvdA","Mevrouw","mp",13,"commons","Voorzitter. Ik heb twee moties van mevrouw Kant meeondertekend. Er komt een nota preventiebeleid, zoals mevrouw Schippers in haar inbreng heeft gezegd. Dat is het moment waarop de Kamer uitgebreid met de minister van gedachten zal wisselen over zijn visie op <em>preventie</em>. Ter voorbereiding van dit debat heeft de minister enkele schriftelijke vragen"
"nl.proc.ob.d.h-tk-20082009-3408-3411.1.5.2","nl.proc","speech",0.9358969,"2008-12-17","Atsma","CDA","De heer","mp",12,"commons","De tweede motie heeft betrekking op het verruimen van de mogelijkheid om in te spelen op de nieuwe Regeling <em>preventie</em>. De Kamer, gehoord de beraadslaging, overwegende dat de gewijzigde Regeling <em>preventie</em>, bestrijding en monitoring van besmettelijke dierziekten per 1 januari 2009 in werking treedt; overwegende dat daarin nog slechts één"
"nl.proc.ob.d.h-tk-20102011-15-13.1.12.1","nl.proc","speech",0.9358969,"2010-10-28","Uitslag","CDA","Mevrouw","mp",2,"commons","Voorzitter. Ook het CDA heet de minister van harte welkom. Ook wij zien uit naar een goede en constructieve samenwerking in de komende periode. <em>Preventie</em> is voor het CDA niet het kleine zusje dat zo af en toe meedoet en de kruimeltjes van de tafel afpikt. Nee, <em>preventie</em> is voor het CDA een heel serieuze aangelegenheid. Voor het CDA is <em>preventie</em>"
"nl.proc.ob.d.h-tk-20122013-90-36.1.6.1","nl.proc","speech",0.9061783,"2013-06-04","Bruins Slot","CDA","Mevrouw","mp",10,"commons","; overwegende dat het niet per definitie om meer regelgeving gaat, maar om regelgeving die stimulans geeft om gezond gedrag te bevorderen; verzoekt de regering, een inventarisatie van regelgeving te maken die primaire <em>preventie</em> kan bevorderen en in het Nationaal Programma <em>Preventie</em> een voorstel tot wijziging van regelgeving te doen die het streven"
"nl.proc.ob.d.h-tk-20142015-27-9.1.11.3","nl.proc","speech",0.9061783,"2014-11-20","Wolbert","PvdA","Mevrouw","mp",12,"commons","Dat geloof ik ook, maar als ik het zo aan de staatssecretaris vraag, denk ik vast dat het goed komt.  Ik heb nog een motie die ik wel graag wil voorlezen. Die gaat over het onderzoek naar een mogelijke titel voor <em>preventie</em> in de Zorgverzekeringswet.  Motie De Kamer,  gehoord de beraadslaging,  overwegende dat zorgverzekeraars primair een"
"nl.proc.ob.d.h-tk-20102011-15-13.1.12.14","nl.proc","speech",0.8878697,"2010-10-28","Uitslag","CDA","Mevrouw","mp",2,"commons","Voorzitter. Uit het RIVM-rapport blijkt dat nog onvoldoende wordt gestuurd op de effecten van preventieve interventies. Het blijkt dat diverse vormen van interventies worden ingezet en dat deze op verschillende manieren worden geëvalueerd. Niet de kop in de krant \"<em>Preventie</em> werkt niet\", zoals de heer Mulder zei. Als je het rapport goed leest, zie"
"nl.proc.ob.d.h-tk-20122013-90-36.1.10.1","nl.proc","speech",0.8878697,"2013-06-04","Dik-Faber","ChristenUnie","Mevrouw","mp",10,"commons"," en effectieve manier van <em>preventie</em> vormt; verzoekt de regering, de voordelen van het geven van borstvoeding mee te nemen bij het Nationaal Programma <em>Preventie</em>, en gaat over tot de orde van de dag. Deze motie is voorgesteld door het lid Dik-Faber. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 87 (32793) ."
"nl.proc.ob.d.h-tk-20062007-2110-2155.1.10.2","nl.proc","speech",0.8370916,"2007-01-18","Van der Veen","PvdA","De heer","mp",11,"commons","Voorzitter. Ook de minister dank ik voor de beantwoording. Naar ons idee zijn de meeste vragen afdoende beantwoord. Een ding benadruk ik nog eens, namelijk <em>preventie</em>. Aangegeven is dat dit een belangrijke zaak is. Wij hebben ingebracht dat wij graag zouden zien dat wordt nagegaan, of ook in het basispakket mogelijkheden zijn om de <em>preventie</em> daarin"
"nl.proc.ob.d.h-tk-20122013-54-17.1.9.9","nl.proc","speech",0.8370916,"2013-02-26","Dik-Faber","ChristenUnie","Mevrouw","mp",2,"commons","Ik denk dat het voor supermarkten makkelijker wordt als er duidelijkheid komt via deze wetgeving. Ik was bijna aan het einde van mijn betoog. De gemeenten hebben voldoende voorbereidingstijd nodig om een <em>preventie</em>- en handhavingsplan op te stellen. Wat is nodig om ervoor te zorgen dat de wet wel op 1 juli aanstaande in werking treedt?"
"nl.proc.ob.d.h-tk-20102011-93-4.1.4.103","nl.proc","speech",0.8370916,"2011-06-15","Bouwmeester","PvdA","Mevrouw","mp",3,"commons","Ik heb goed nieuws voor de minister, want <em>preventie</em> is geld besparen. De vraag is dus wat <em>preventie</em> oplevert en wat het qua kosten scheelt, aangezien zorg in een ziekenhuis vele malen duurder is dan voorkomen dat een kind in coma raakt. Verder moet ik de minister nog een keer een groot compliment maken. Ik heb dat gisteren ook gedaan, want zij"
"nl.proc.ob.d.h-tk-20152016-21-3.1.7.56","nl.proc","speech",0.8370916,"2015-11-05","Voortman","GroenLinks","Mevrouw","mp",2,"commons"," Rijksdienst bespreken of bouwverordeningen moeten worden aangepast dan wel of er iets moet gebeuren met de wetgeving daarover? Dat wil ik graag weten.  Mijn interruptie ging aanvankelijk over het preventiefonds. Ik zie ook dat verzekeraars op dit moment niet worden gestimuleerd om te investeren in <em>preventie</em>. Natuurlijk zit <em>preventie</em> op allerlei"
"nl.proc.ob.d.h-tk-20142015-39-6.1.8.1","nl.proc","speech",0.8370916,"2014-12-18","Jacobi","PvdA","Mevrouw","mp",13,"commons","Goedemorgen, voorzitter. Ik ga meteen aan de slag. De eerste motie betreft de <em>preventie</em> van plaagdieren.  Motie De Kamer,  gehoord de beraadslaging,  overwegende dat resistentie, doorvergiftiging en versnippering van beleid een steeds groter probleem worden bij de bestrijding van plaagdieren;  overwegende dat <em>preventie</em> van biociden en van"
