"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20072008-8063-8076.1.8.1","nl.proc","speech",1.2299066,"2008-09-11","Pechtold","D66","De heer","mp",3,"commons","Voorzitter. D66 wil de positie van het <em>slachtoffer</em> versterken. Vandaar ook ons initiatief een aantal jaren geleden, samen met het CDA, om het spreekrecht voor <em>slachtoffers</em> in te voeren. De huidige civiele procedure om duidelijkheid te verkrijgen over de besmetting met een ernstige ziekte is voor het <em>slachtoffer</em> vaak onnodig belastend. Vanwege het"
"nl.proc.ob.d.h-tk-20092010-21-1755.1.7.9","nl.proc","speech",1.0758202,"2009-11-05","Gerkens","SP","Mevrouw","mp",9,"commons",". Daarom stel ik voor om het spreekrecht uit te breiden naar vertegenwoordigers van de <em>slachtoffers</em>. Daartoe dien ik een motie in. De Kamer, gehoord de beraadslaging, overwegende dat het <em>slachtoffer</em> van een misdrijf of een eventuele nabestaande op de terechtzitting een verklaring kan afleggen over de gevolgen die de strafbare feiten teweeg hebben"
"nl.proc.ob.d.h-tk-20112012-67-7.1.8.1","nl.proc","speech",1.0500755,"2012-03-22","Van Tongeren","GroenLinks","Mevrouw","mp",6,"commons","Voorzitter. Als iets een beschaafde samenleving kenmerkt, is het wel hoe men met de <em>slachtoffers</em> van misdaden omgaat. Deze memorie van toelichting zit dan ook vol ronkende teksten over het belang van het <em>slachtoffer</em>, de maatschappelijke behoefte aan waarheidsvinding en het vertrouwen in de rechtsorde. Daar zijn mijn fractie en ik het roerend mee"
"nl.proc.ob.d.h-tk-20132014-27-9.1.18.3","nl.proc","speech",1.0424497,"2013-11-21","Segers","ChristenUnie","De heer","mp",9,"commons"," landelijke specialistische opvang en hulpverlening is voor <em>slachtoffers</em> van mensenhandel of eergerelateerd geweld, ook buiten de regio van het <em>slachtoffer</em>, en gaat over tot de orde van de dag. Deze motie is voorgesteld door de leden Segers, Berndsen-Jansen, Kooiman, Oskam, Van der Staaij, Rebel, Van Tongeren en Van Oosten. Zij krijgt nr. 71 ( 33750-VI )."
"nl.proc.ob.d.h-tk-20142015-88-7.1.6.1","nl.proc","speech",1.0201905,"2015-05-27","Segers","ChristenUnie","De heer","mp",6,"commons","Voorzitter. Na een intensieve behandeling is de initiatiefwet-Dittrich in 2005 in werking getreden. Daarmee kregen <em>slachtoffers</em> van een aantal delicten de mogelijkheid om tijdens een rechtszaak te spreken. Er werd indertijd bewust voor een beperkt spreekrecht gekozen. Het <em>slachtoffer</em> mocht zich uitdrukken over de gevolgen van dat wat hem of haar"
"nl.proc.ob.d.h-tk-20142015-88-7.1.7.1","nl.proc","speech",0.9867872,"2015-05-27","Berndsen-Jansen","D66","Mevrouw","mp",5,"commons"," 2004 heel nauwkeurig naar alle voor- en nadelen van zijn spreekrechtinitiatief kijken. Wat doet het met <em>slachtoffers</em>? Wat betekent het voor het strafproces? Destijds werd al de kanttekening geplaatst dat een <em>slachtoffer</em> door zijn verklaring niet opnieuw gevictimiseerd mocht raken en dat geen verwachtingen gewekt moesten worden die niet konden worden"
"nl.proc.ob.d.h-tk-20112012-54-3.1.5.12","nl.proc","speech",0.9817543,"2012-02-15","Dibi","GroenLinks","De heer","mp",2,"commons","Voorzitter. Er zit een groot verschil tussen het oordeel van de Kamer over de welwillendheid van de kerk om de <em>slachtoffer</em> te helpen en het oordeel daarover van de <em>slachtoffers</em>. Het kabinet ziet de kerk de juiste stappen nemen. De <em>slachtoffers</em> zeggen daar heel andere dingen over. Dat zal nooit een-op-een op elkaar aansluiten. Kan de"
"nl.proc.ob.d.h-tk-20072008-5630-5634.1.8.1","nl.proc","speech",0.9817543,"2008-04-23","De Roon","PVV","De heer","mp",8,"commons"," van het <em>slachtoffer</em>; het is hiervoor naar ons idee zelfs essentieel. Het mag niet zo zijn dat een <em>slachtoffer</em> voor de rest van zijn leven getekend is, terwijl een crimineel na een taakstraf in no time weer vrolijk rondloopt. In de tweede plaats moet de overheid schadevergoeding aan <em>slachtoffers</em> niet alleen voorschieten als het om zeden- of zware"
"nl.proc.ob.d.h-tk-20112012-94-22.1.11.1","nl.proc","speech",0.96994245,"2012-06-12","Van Gent","GroenLinks","Mevrouw","mp",6,"commons",", omdat vermoedelijke <em>slachtoffers</em> uiteindelijk minder geneigd zullen zijn om aan de opsporing en vervolging mee te werken? Kan minister Opstelten garanderen dat voor elk <em>slachtoffer</em> van mensenhandel dat bekend wordt bij de overheid, een veilige opvang voorhanden is? Zo nee, welke maatregelen neemt hij dan om hierin te voorzien?"
"nl.proc.ob.d.h-tk-20112012-94-7.1.3.1","nl.proc","speech",0.960194,"2012-06-12","Gesthuizen","SP","Mevrouw","mp",2,"commons","Voorzitter. Iedereen vindt het heel erg belangrijk dat de rooms-katholieke kerk, die jarenlang niet heeft ingegrepen terwijl duizenden kinderen werden misbruikt, de <em>slachtoffers</em> recht doet die dit is overkomen. Deze <em>slachtoffers</em> hebben recht op een welgemeend excuus van de kerk, op erkenning, op bestraffing van de daders en natuurlijk ook op"
