"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20072008-6041-6054.1.10.4","nl.proc","speech",1.0833433,"2008-05-21","Vendrik","GroenLinks","De heer","mp",2,"commons","Zeker. Is deze hele kwestie voor het CDA nu eigenlijk een financieel probleem of een <em>sociaal</em> probleem?"
"nl.proc.ob.d.h-tk-20092010-22-1820.1.14.67","nl.proc","speech",0.77381665,"2009-11-10","Wiegman-van Meppelen Scheppink","ChristenUnie","Mevrouw","mp",2,"commons","Mevrouw Agema zegt geen behoefte aan verandering te hebben. De PVV-fractie is nog aan het nadenken over een langetermijnvisie voor de zorg. Ik zou mevrouw Agema willen meegeven dat wij midden in een verandering zitten. Kan zij daarop reageren? Mevrouw Agema houdt hier een <em>sociaal</em> verhaal. Er wordt 1 mld. uit de hoge hoed getoverd. Dat is de PVV"
"nl.proc.ob.d.h-tk-20152016-21-7.1.11.5","nl.proc","speech",0.69212264,"2015-11-05","Otwin van Dijk","PvdA","De heer","mp",11,"commons","De derde motie gaat over het versterken van <em>sociaal</em> werk. Deze motie dien ik mede namens mevrouw Bergkamp.  Motie De Kamer,  gehoord de beraadslaging,  van mening dat er voor het <em>sociaal</em> werk een herwaardering van het vak nodig is vergelijkbaar met die van de wijkverpleegkundige;  constaterende dat een verdere professionaliseringsslag van het"
"nl.proc.ob.d.h-tk-20112012-89-8.1.11.5","nl.proc","speech",0.67014486,"2012-05-30","Van der Ham","D66","De heer","mp",2,"commons"," staatssecretaris om op twee constateringen te reflecteren. Constateert hij met mij dat in deze Kamer door PvdA, GroenLinks, D66 en de VVD vanuit hun partijstandpunten wordt gepleit voor een <em>sociaal</em> leenstelsel? In de tweede plaats constateert hij met mij dat het technisch gezien gewoon niet in de rede ligt om een langstudeerboete te handhaven als je zo'n <em>sociaal</em> leenstelsel zou invoeren. Immers, het lang studeren wordt dan al via zo'n <em>sociaal</em> leenstelsel tegengewerkt. Kan de staatssecretaris daarop eens reflecteren?"
"nl.proc.ob.d.h-tk-20052006-5677-5682.1.5.4","nl.proc","speech",0.67014486,"2006-06-21","Kant","SP","Mevrouw","mp",10,"commons","De volgende motie gaat over <em>sociaal</em>-economische gezondheidsverschillen, altijd een belangrijk onderwerp in de debatten over preventie. Helaas laat de minister het ook op dit punt afweten. Vandaar de volgende motie. De Kamer, gehoord de beraadslaging, constaterende dat de komende nota preventiebeleid zich zal concentreren op gezond leven"
"nl.proc.ob.d.h-tk-20152016-15-14.1.9.1","nl.proc","speech",0.6634096,"2015-10-15","Jan Vos","PvdA","De heer","mp",14,"commons"," de PvdA-fractie voluit steun geeft aan de begroting die vandaag door ons is besproken. Desalniettemin dien ik een aantal moties in waarmee wij de puntjes op de i willen zetten. De eerste motie gaat over het <em>sociaal</em> ondernemerschap.  Motie De Kamer,  gehoord de beraadslaging,  overwegende dat het <em>sociaal</em> ondernemerschap een nuttige categorie"
"nl.proc.ob.d.h-tk-20122013-89-8.1.21.1","nl.proc","speech",0.6566052,"2013-05-30","Hamer","PvdA","Mevrouw","mp",2,"commons","Wij hebben veel gesproken over het <em>sociaal</em> akkoord. Het is belangrijk dat dit akkoord er is. Ik ben blij dat de minister aangeeft dat de afspraken staan als een huis, om het zo maar te zeggen, en dat er onder dat huis geen bom ligt. Het is belangrijk om dat te constateren na alle commotie die er even was. Ik denk dat het zaak is, dit <em>sociaal</em> akkoord snel uit te voeren. Verder heb ik de motie van de heer Heerma gesteund over het terughalen van bedrijven naar Nederland."
"nl.proc.ob.d.h-tk-20092010-24-2056.1.10.2","nl.proc","speech",0.6566052,"2009-11-12","Kant","SP","Mevrouw","mp",2,"commons","Omdat u het <em>sociaal</em> durft te noemen, mevrouw Hamer, heb ik twee voorbeelden. Ik wil graag dat u aangeeft of het waar is of niet waar. U zegt dat mensen ook in de toekomst mogen kiezen om met 65 jaar met werken te stoppen als zij 42 jaar gewerkt hebben. Dan gaan zij er € 100 per maand op achteruit. Dat is het voorstel. Is dat <em>sociaal</em>? Is het waar dat als iemand voor zijn 65ste in de bijstand zit, hij met dit voorstel dus tot zijn 67ste in de bijstand blijft?"
"nl.proc.ob.d.h-tk-20122013-90-34.1.13.1","nl.proc","speech",0.6566052,"2013-06-04","Bergkamp","D66","Mevrouw","mp",11,"commons"," het doel is om een <em>sociaal</em> veilige omgeving te realiseren; verzoekt het kabinet om in wetgeving niet een bewezen effectief antipestprogramma te verplichten, maar het aantoonbaar hebben van een <em>sociaal</em> veilige omgeving, en gaat over tot de orde van de dag. Deze motie is voorgesteld door het lid Bergkamp. Naar mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 59 (29240) ."
"nl.proc.ob.d.h-tk-20122013-57-20.1.4.1","nl.proc","speech",0.6566052,"2013-03-05","Karabulut","SP","Mevrouw","mp",8,"commons","Mijn tweede motie gaat over de <em>sociaal</em>-culturele integratie. De minister maakt zich daar terecht grote zorgen om. Het <em>Sociaal</em> en Cultureel Planbureau heeft gezegd dat dit komt vanwege etnische concentratie, segregatie, een verslechterd maatschappelijk klimaat et cetera. Motie De Kamer, gehoord de beraadslaging, verzoekt de regering, te"
"nl.proc.ob.d.h-tk-20112012-98-6.1.11.20","nl.proc","speech",0.6190533,"2012-06-20","De Jong","PVV","De heer","mp",2,"commons","Dat zijn allemaal elementen waarover wij, ondanks de gedoogconstructie, kritisch waren. Uiteindelijk hebben wij daarover natuurlijk wel een compromis moeten sluiten. Wij staan niet alleen voor een harde aanpak van bijstandsfraude, maar ook voor een goed <em>sociaal</em> vangnet, de bijstand, voor mensen die dat echt nodig hebben."
"nl.proc.ob.d.h-tk-20122013-92-12.1.7.18","nl.proc","speech",0.6190533,"2013-06-06","Kooiman","SP","Mevrouw","mp",2,"commons","O ja, sorry. Dank u wel, voorzitter. Hij heeft toen toegezegd dat hij daar serieus naar ging kijken. Ik ben blij dat de staatssecretaris vandaag ook zegt dat hij in ieder geval bereid is om te kijken naar het <em>sociaal</em> beleid na 2016. Daar ben ik tevreden mee. Ik ga ervan uit dat dit gewoon geregeld wordt."
"nl.proc.ob.d.h-tk-20112012-93-3.1.14.27","nl.proc","speech",0.6190533,"2012-06-07","De Rouwe","CDA","De heer","mp",2,"commons","Daarin staat dat de basisbeurs in de bachelorfase wordt behouden en dat aan de leden wordt aangeboden om in de masterfase een <em>sociaal</em> leenstelsel in te voeren. Ik zal daar op mijn eigen manier mijn inbreng voor leveren, maar dat staat los van mijn rol als Kamerlid en verdediger van het huidige verkiezingsprogramma. Dat was één zin, voorzitter, met een paar bijzinnen."
"nl.proc.ob.d.h-tk-20122013-101-14.1.6.36","nl.proc","speech",0.6190533,"2013-06-27","Van der Steur","VVD","De heer","mp",3,"commons","Eén ding: als we niets doen, dan ligt er een toezegging van de staatssecretaris voor een <em>sociaal</em> plan tot 2016. Heel veel mensen, waarvan er een aantal op de tribune zitten, hebben mij erop gewezen dat het risico bestaat dat mensen die worden getroffen door latere sluitingen, na 2016, in de kou komen te staan. In de motie van mevrouw Van"
"nl.proc.ob.d.h-tk-20132014-55-25.1.24.68","nl.proc","speech",0.6190533,"2014-02-18","Voortman","GroenLinks","Mevrouw","mp",2,"commons","Deze Participatiewet valt helaas niet een-op-een samen met het <em>sociaal</em> akkoord. De PvdA doet wel steeds alsof de vakbonden deze hele wet totaal omarmen, maar dat is absoluut niet het geval. Nu eventjes terug naar die herkeuring, want de heer Kerstens …"
"nl.proc.ob.d.h-tk-20082009-3544-3546.1.5.1","nl.proc","speech",0.6190533,"2008-12-18","Van Gerven","SP","De heer","mp",18,"commons","Ik dien twee moties in. De Kamer, gehoord de beraadslaging, overwegende dat bij de overname van de IJsselmeerziekenhuizen gesproken wordt over het verlies van 200 banen; constaterende dat de vakbond AbvaKabo/FNV de onderhandelingen over een <em>sociaal</em> akkoord heeft gestaakt; constaterende dat er in het akkoord geen <em>sociaal</em> plan is geregeld voor het"
"nl.proc.ob.d.h-tk-20122013-78-20.1.7.8","nl.proc","speech",0.6190533,"2013-04-23","Mohandis","PvdA","De heer","mp",13,"commons"," toen zij zei dat er ook wordt gekeken naar de effecten van het <em>sociaal</em> leenstelsel. Ik heb hier een motie over. Het lijkt mij handig als ik die eerst indien voordat ik nog wat punten ga bespreken Motie De Kamer, gehoord de beraadslaging, overwegende dat de mogelijkheden tot collegegelddifferentiatie worden verruimd met het onderhavige wetsvoorstel"
"nl.proc.ob.d.h-tk-20112012-5-5.1.14.14","nl.proc","speech",0.6190533,"2011-09-28","Karabulut","SP","Mevrouw","mp",2,"commons","Ja, voorzitter, het komt helemaal goed, voorzitter. Alle gekheid op een stokje, ik zal mijn best doen, voorzitter. De heer Brinkman heeft in 2010 gezegd dat de uitkeringen niet verlaagd zouden worden. Nu is echter sprake van een heel pijnlijke maatregel, een bezuiniging van 1 mld., en de uitkeringen worden wel verlaagd. Waarom deze keuze, € 2000 minder op het <em>sociaal</em> minimum?"
"nl.proc.ob.d.h-tk-20072008-2205-2228.1.16.23","nl.proc","speech",0.6190533,"2007-11-27","Madlener","PVV","De heer","mp",2,"commons"," die de wijken bevolken, allochtone macho's die de boel terroriseren, mensen die helemaal geen zin hebben om te werken. Dat zijn de mensen die de problemen veroorzaken in die wijken, maar u wilt meer <em>sociaal</em>. Hoe <em>sociaal</em> kan een land zijn? Nederland is toch al hartstikke <em>sociaal</em>? U ben <em>sociaal</em> voor de verkeerde groepen, daarmee lossen wij de"
"nl.proc.ob.d.h-tk-20122013-90-36.1.13.1","nl.proc","speech",0.6190533,"2013-06-04","Van Gerven","SP","De heer","mp",10,"commons","Voorzitter. Ongeveer twintig jaar geleden heeft de SP een rapport het licht doen zien over de <em>sociaal</em>-economische gezondheidsverschillen in Nederland. Toen constateerden wij dat rijke mensen en mensen met een hoge opleiding gemiddeld vier jaar langer leefden en ruim twaalf jaar langer beschikten over een als goed ervaren gezondheid. Wat zijn de"
