"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20082009-5-29.1.6.42","nl.proc","speech",1.0064802,"2008-09-17","Hamer","PvdA","Mevrouw","mp",2,"commons","Het andere deel van het verhaal begrijp ik niet. U toont hier grote betrokkenheid met de Bulgaren en Roemenen en u zet toch een stop op het geld naar de mensen aldaar die dat het hardste nodig hebben. Ik denk dan: praat dan niet met van die grote woorden over die andere mensen. U hebt het nu over internationale <em>solidariteit</em>. Is het stopzetten van vredesmissies internationale <em>solidariteit</em>, mevrouw Kant?"
"nl.proc.ob.d.h-tk-20092010-62-5511.1.6.1","nl.proc","speech",0.90936285,"2010-03-11","Van Leeuwen","SP","De heer","mp",9,"commons","Voorzitter. Ook de SP heet de nieuwe minister welkom. Het gaat de SP vooral om de wijkheffing, de vogelaarheffing, die gebaseerd is op omgekeerde <em>solidariteit</em>. Wij zijn al jaren tegen deze perverse vorm van <em>solidariteit</em>. Ik ben verheugd dat zich zo langzamerhand een Kamermeerderheid aftekent die dat met ons eens is. Proficiat aan het CDA voor het"
"nl.proc.ob.d.h-tk-20112012-4-18.1.10.5","nl.proc","speech",0.8804867,"2011-09-27","Dijkgraaf","SGP","De heer","mp",2,"commons","Zo dom ben ik, het spijt me zeer. Ik vervolg mijn betoog. Wij zijn voor <em>solidariteit</em> tussen grotere en kleinere gezinnen. Wij zijn voor <em>solidariteit</em> tussen hogere en lagere inkomens. Wie de koopkrachtplaatjes van dit kabinet ziet, ziet dat die <em>solidariteit</em> er ook wel degelijk is. Ook voor de hogere inkomens daalt de koopkracht, en zelfs meer dan"
"nl.proc.ob.d.h-tk-20062007-272-294.1.8.117","nl.proc","speech",0.8804867,"2006-09-28","Marijnissen","SP","De heer","mp",2,"commons"," gekregen. De minister-president had het over het begrip \"<em>solidariteit</em>\". Hij kan ook putten uit rechtschapenheid en zijn eigen ideologische achtergrond. Zouden de mensen vinden dat Nederland onder zijn beleid de afgelopen jaren meer solidair is geworden? Of zouden de mensen vinden dat het land ontzield is geraakt en dat men die belangrijke waarde <em>solidariteit</em> onderweg kwijt is geraakt? Ik heb het niet eens over het kabinetsbeleid, maar ook over de maatschappelijke <em>solidariteit</em>."
"nl.proc.ob.d.h-tk-20142015-7-9.1.6.1","nl.proc","speech",0.8804867,"2014-09-30","Bouwmeester","PvdA","Mevrouw","mp",11,"commons","Voorzitter. Ik dien één motie in naar aanleiding van het debat over de Zorgverzekeringswet en de risicoverevening. Deze motie gaat over de waarborg dat mensen de zorg krijgen die zij nodig hebben.  Motie De Kamer,  gehoord de beraadslaging,  overwegende dat <em>solidariteit</em> tussen gezond en ziek de hoeksteen van het zorgstelsel is;  constaterende dat"
"nl.proc.ob.d.h-tk-20112012-87-12.1.9.22","nl.proc","speech",0.8626973,"2012-05-24","Pechtold","D66","De heer","mp",2,"commons","Voorzitter. Hierna kom ik gelijk naar u toe. Het gaat hier niet over cijfers, dat ben ik met de heer Roemer eens. Het gaat over onze kinderen, die nu 400 mld. staatsschuld geërfd hebben. Dat bedrag is in vijf jaar tijd opgelopen met 150 mld. Het loopt vandaag weer op en het loopt in het programma van de heer Roemer nog harder op. Daarom betaalt de generatie die met de vergrijzing te maken krijgt, rente over rente. U gaat altijd prat op de <em>solidariteit</em>, mijnheer Roemer. Denkt u ook eens aan de <em>solidariteit</em> met onze kinderen!"
"nl.proc.ob.d.h-tk-20102011-58-5.1.7.5","nl.proc","speech",0.8626973,"2011-03-09","Bontes","PVV","De heer","mp",2,"commons","Helemaal niet, wij willen geen <em>solidariteit</em>. Italië vangt ze op en ze komen niet verder. Die situatie met die vluchtelingen is natuurlijk verschrikkelijk. Wat ik wel zie in alle beelden is dat het enkel mannen zijn. De situatie is schrijnend, maar ik heb nog geen vrouw en geen kind gezien bij al die vluchtelingen. De opvang moet plaatsvinden in"
"nl.proc.ob.d.h-tk-20082009-662-678.1.8.9","nl.proc","speech",0.8626973,"2008-10-07","Zijlstra","VVD","De heer","mp",2,"commons","U vindt dat wij solidair moeten zijn met de kleine kroegen die zich wel aan de wet houden. Degene die de wet overtreden, zijn de foute jongens. Wat is de <em>solidariteit</em> tussen de grotere kroegen, die de mogelijkheid hebben om een rookruimte in te richten en dus rokers kunnen binnenhalen – daarmee hebben zij dus een concurrentievoordeel – en de kleinere kroegen in het algemeen – los van de vraag of zij al dan niet de wet overtreden – die geen mogelijkheid tot het inrichten van een rokersruimte? Hoe ziet u die <em>solidariteit</em>?"
"nl.proc.ob.d.h-tk-20112012-6-11.1.4.105","nl.proc","speech",0.81335884,"2011-09-29","Karabulut","SP","Mevrouw","mp",2,"commons","Bovendien kloppen de tegenvraag en de suggestie die eraan vastzit niet. Daar kom ik later desgewenst nog wel op terug. Laat ik het nog directer vragen. De staatssecretaris doet alsof hij mij niet begrijpt. Is hij bereid om in het kabinet het voorstel te doen dat kabinetsleden 10% van hun salaris inleveren, uit <em>solidariteit</em> met mensen met de laagste inkomens?"
"nl.proc.ob.d.h-tk-20112012-21-7.1.7.110","nl.proc","speech",0.81335884,"2011-11-09","Leijten","SP","Mevrouw","mp",2,"commons","Er zijn allerlei voorstellen gedaan door de VVD om het kostenbewustzijn van de patiënt te verhogen en om de rekening neer te leggen bij de zieken. Dat noemt de VVD <em>solidariteit</em> met de gezonde premiebetaler! Welke concrete maatregelen heeft de VVD eigenlijk voorgesteld waarin niet de rekening bij de patiënt wordt neergelegd, maar waarin wel wordt bespaard in de zorg?"
"nl.proc.ob.d.h-tk-20112012-35-32.1.11.6","nl.proc","speech",0.81335884,"2011-12-13","Karabulut","SP","Mevrouw","mp",2,"commons","Dat is de <em>solidariteit</em> van de PVV met mensen met een arbeidsbeperking. Zij mogen onder het minimumloon aan de slag. Maar ik heb een andere vraag. De heer De Jong wil koffiehuizen langs en inspecteren, maar hoeveel \"koffiecops\" zijn er dan nodig en waar moeten zij van betaald worden? Er wordt namelijk ook gigantisch bezuinigd op de Arbeidsinspectie."
"nl.proc.ob.d.h-tk-20142015-57-11.1.13.38","nl.proc","speech",0.81335884,"2015-02-26","Anne Mulder","VVD","De heer","mp",2,"commons","Ik kijk dit probleem rustig aan. Althans, niet rustig, maar echt met overtuiging. Die wanbetalers zijn immers een aanslag op de <em>solidariteit</em>. En let op de huisjesmelkers. Ik hoor meer collega's dat zeggen, bijna allemaal. Ik ga rustig luisteren naar het antwoord van de minister.  Voorzitter, ik ben klaar met mijn betoog."
