"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20072008-2205-2228.1.15.7","nl.proc","speech",1.029992,"2007-11-27","Kamp","VVD","De heer","mp",1,"commons","<em>Veiligheid</em>?"
"nl.proc.ob.d.h-tk-20152016-39-12.1.5.3","nl.proc","speech",0.9656174,"2015-12-17","Ulenbelt","SP","De heer","mp",2,"commons","Ik heb nog twee vragen aan de staatssecretaris. Tijdens het algemeen overleg is een reactie toegezegd op een heel doorwrochte analyse van een oud-hoofd van de Arbeidsinspectie over externe <em>veiligheid</em>. Die reactie heb ik nog niet gezien. Wanneer komt die?  Mijn tweede punt heeft ook te maken met <em>veiligheid</em>; het is de situatie in Calais. TLN"
"nl.proc.ob.d.h-tk-20082009-1459-1492.1.9.144","nl.proc","speech",0.9103928,"2008-11-05","Verdonk","Verdonk","Mevrouw","mp",2,"commons","Ik neem aan dat de minister serieus naar de burgemeesters zal luisteren. Ik heb een punt van orde. De minister begon met het onderdeel <em>veiligheid</em>. Hij gaat nu over naar het onderdeel drugsbeleid. Komt de minister nog terug op de <em>veiligheid</em>? Ik heb daar namelijk nog een aantal vragen over."
"nl.proc.ob.d.h-tk-20122013-98-20.1.4.1","nl.proc","speech",0.83624923,"2013-06-20","Sjoerdsma","D66","De heer","mp",10,"commons","D66 wil ook een ontwikkelingsrelevant BIV-fonds. Daarom dien ik de volgende motie in. Motie De Kamer, gehoord de beraadslaging, overwegende dat de aanwending van het Budget Internationale <em>Veiligheid</em> ontwikkelingsrelevant dient te zijn; roept de regering op, geen activiteiten met beperkte of ontbrekende ontwikkelingsrelevantie uit het Budget"
"nl.proc.ob.d.h-tk-20102011-105-3.1.4.11","nl.proc","speech",0.83624923,"2011-09-13","Elissen","PVV","De heer","mp",2,"commons","Voorzitter. Allereerst constateer ik dat mevrouw Berndsen misschien realisme verwart met naïviteit. Wij hebben met elkaar goede afspraken gemaakt in een tijd waarin wij met elkaar vonden dat wij geen enkel risico moesten nemen. De <em>veiligheid</em> moet inderdaad voorop staan. Kortom, een zorgvuldig traject. Wat de PVV betreft is die <em>veiligheid</em>"
"nl.proc.ob.d.h-tk-20122013-98-14.1.14.2","nl.proc","speech",0.8046812,"2013-06-20","Hachchi","D66","Mevrouw","mp",2,"commons","Ik dank de staatssecretaris voor de toezegging die zij inderdaad al gedaan had. Wanneer kan de Kamer de inzet richting REACH en EASA, de Europese luchtvaartorganisatie voor <em>veiligheid</em>, verwachten?"
"nl.proc.ob.d.h-tk-20122013-22-6.1.4.356","nl.proc","speech",0.8046812,"2012-11-14","Van Haersma Buma","CDA","De heer","mp",2,"commons","De minister-president heeft wel een heel erg platte gedachte over <em>veiligheid</em>, want <em>veiligheid</em> is meer dan alleen maar blauw geüniformeerde agenten. Ik wil hem vragen deze hele operatie te heroverwegen. Er wordt op V&J namelijk 300 miljoen bezuinigd. Niemand weet waar. Het gebeurt in ieder geval niet op de operationele agenten, maar de hele rest"
"nl.proc.ob.d.h-tk-20062007-2782-2806.1.13.4","nl.proc","speech",0.7965937,"2007-03-08","Teeven","VVD","De heer","mp",2,"commons","De heer Pechtold maakt een onderscheid tussen <em>veiligheid</em> voor mensen en de rechtstaat. Zorgt een safe tbs-systeem met een aantal maatregelen dat er al ligt en snel moet worden ingevoerd er niet voor dat een goede rechtstaat en <em>veiligheid</em> voor mensen worden gecombineerd? Ik zie geen onderscheid en heb die ook niet bepleit. Het systeem moet snel veilig worden gemaakt en dan gaan wij door op de ingeslagen weg die de heer Pechtold ook voorstaat."
"nl.proc.ob.d.h-tk-20112012-5-2.1.6.18","nl.proc","speech",0.7965937,"2011-09-28","Knops","CDA","De heer","mp",2,"commons","Dank u wel. Ik herinner mij nog heel goed wat wij in het verleden allemaal samen hebben gedaan. U hebt vandaag echter nog niet gevraagd – en dat is wel een vraag die vandaag ook aan de orde zou moeten komen – wat het zou betekenen voor de <em>veiligheid</em> van dit soort documenten. U hebt daar in uw betoog nog helemaal niets over gezegd. Bent u het met mij eens dat de betrouwbaarheid en de <em>veiligheid</em> van die documenten veel belangrijker is?"
"nl.proc.ob.d.h-tk-20082009-353-358.1.5.2","nl.proc","speech",0.78842336,"2008-09-25","Brinkman","PVV","De heer","mp",11,"commons","Voorzitter. Het is mij bekend dat in de CT-Infobox veel personen met een buitenlands paspoort staan, die mogelijk een gevaar vormen voor onze nationale <em>veiligheid</em>. De PVV-fractie is van mening dat dit een onaanvaardbaar risico is. Laten wij van een CT-Infobox een CT-outbox maken. Wij dienen daartoe de volgende motie in. De BrinkmanKamer, gehoord"
