"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20112012-27-6.1.7.1","nl.proc","speech",0.6475177,"2011-11-23","Slob","ChristenUnie","De heer","mp",12,"commons","Dank u wel, voorzitter. Ik heb dit VAO aangevraagd om onder andere een motie in te dienen die vraagt om een resultaatsverplichting voor de intercity Eindhoven-Heerlen-Aken. De minister heeft echter na het AO nog toegezegd dat zij met plannen zal komen voor een zware inspanningsverplichting voor deze <em>verbinding</em>. We zullen nog spreken over de"
"nl.proc.ob.d.h-tk-20122013-38-60.1.6.1","nl.proc","speech",0.5294437,"2012-12-20","Dik-Faber","ChristenUnie","Mevrouw","mp",37,"commons"," mij blijkt, wordt de indiening ervan voldoende ondersteund. Zij krijgt nr. 354 (29984) . Motie De Kamer, gehoord de beraadslaging, verzoekt de regering, in de nieuwe hoofdrailnetconcessie afspraken te maken over de te bereiken reistijdverbetering, in het bijzonder voor de <em>verbindingen</em> tussen de Randstad en Noord-, Oost- en Zuid-Nederland, en gaat"
"nl.proc.ob.d.h-tk-20092010-80-6818.1.6.1","nl.proc","speech",0.5294437,"2010-04-22","Mastwijk","CDA","De heer","mp",11,"commons","Voorzitter. De initiatiefnota die de collega's Koopmans en Cramer in de zomer van 2008 hebben gepresenteerd, heeft inmiddels veel in gang gezet. Steeds vaker zien regio's in dat het spoor niet ophoudt bij de grens en dat goede <em>verbindingen</em> over snelspoor ervoor zorgen dat naburige steden dichterbij komen. Dat is de sterke kant van deze"
"nl.proc.ob.d.h-tk-20052006-5203-5248.1.21.1","nl.proc","speech",0.4925156,"2006-06-01","Duyvendak","GroenLinks","De heer","mp",13,"commons","Voorzitter. De eerste termijn van het kabinet eindigde daarnet wat rommelig. Het leek er een beetje op alsof het kabinet zich gaande het debat realiseerde wat de overigens zeer verheugende concessie over het alsnog onderzoeken van snellere <em>verbindingen</em> betekent voor de procedures. Laat er geen misverstand over bestaan, mijn fractie zou het"
"nl.proc.ob.d.h-tk-20122013-38-60.1.4.1","nl.proc","speech",0.4925156,"2012-12-20","Van Veldhoven","D66","Mevrouw","mp",34,"commons"," Kamer, gehoord de beraadslaging, constaterende dat in 2005 ministeriële afspraken zijn gemaakt over een <em>verbinding</em> Den Haag-Breda-Brussel; constaterende dat in het recent gesloten akkoord deze <em>verbinding</em> ontbreekt; overwegende dat Den Haag als stad van vrede en recht en parlementaire hoofdstad een belangrijke internationale positie inneemt; spreekt"
"nl.proc.ob.d.h-tk-20102011-18-54.1.5.1","nl.proc","speech",0.47803777,"2010-11-04","Slob","ChristenUnie","De heer","mp",7,"commons"," dus geliberaliseerd. Dat geldt echter voor een beperkt aantal <em>verbindingen</em> tussen enkele grote steden en voor <em>verbindingen</em> die slechts één station binnen Nederland aandoen. In de andere gevallen, zoals regionale stoptreinen en intercityverbindingen over de grens, zal internationaal passagiersvervoer vaak niet het hoofddoel zijn of is het beeld"
"nl.proc.ob.d.h-tk-20142015-110-9.1.11.1","nl.proc","speech",0.4625126,"2015-09-09","Bisschop","SGP","De heer","mp",5,"commons",". Goede <em>verbindingen</em> zijn een kwestie van algemeen belang. In de stukken wordt wel gesteld dat de gebruiker betaalt, maar we moeten ons tegelijkertijd realiseren dat automobilisten al vele miljarden meer belasting betalen dan via het Infrastructuurfonds wordt geïnvesteerd. Daar komt bij dat voor de SGP meespeelt dat er mogelijk een vorm van"
"nl.proc.ob.d.h-tk-20092010-80-6818.1.8.1","nl.proc","speech",0.44919756,"2010-04-22","Roefs","PvdA","Mevrouw","mp",5,"commons"," minister heeft beloofd met goede oplossingen te komen. Wij zijn benieuwd hoe de minister het station Eijsden ziet binnen het rijksbeleid, dat voorziet in stimulering en uitbreiding van de openbaarvervoermodaliteiten, zeker wanneer er aan de weg gewerkt gaat worden. Ik ga verder met Parkstad Limburg. Om tot duurzame grensoverschrijdende <em>verbindingen</em>"
"nl.proc.ob.d.h-tk-20112012-26-22.1.8.80","nl.proc","speech",0.4412031,"2011-11-22","Aptroot","VVD","De heer","mp",4,"commons"," A15 en de <em>verbinding</em> tussen de A13 en de A16 geen geschikte tolprojecten, want het gaat niet, zoals in het regeerakkoord staat, om echt nieuwe, additionele infrastructuur. Het zijn geen volledig nieuwe <em>verbindingen</em> waarvoor een alternatief beschikbaar is. Het gaat om de bouw van het laatste stukje snelweg A15 en om een omlegging die nodig is omdat de huidige route overbelast is, wat sluipverkeer veroorzaakt. Graag de toezegging van de regering om op deze manier met de meevallers om te gaan."
"nl.proc.ob.d.h-tk-20102011-28-57.1.8.83","nl.proc","speech",0.4412031,"2010-11-30","Aptroot","VVD","De heer","mp",4,"commons"," Groningen over water wil, dan is de <em>verbinding</em> overal goed, maar het gaat niet aan dat de sluis bij Delfzijl niet wordt aangepakt. Wij moeten dat soort <em>verbindingen</em> echt integraal bekijken. De hoofdroutes qua spoor, wegen en binnenvaart moeten worden afgemaakt. De binnenvaart is de meest milieuvriendelijke vorm. Daar is nog echt ruimte, terwijl er elders"
