"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20102011-25-38.1.14.7","nl.proc","speech",0.81879765,"2010-11-23","Jacobi","PvdA","Mevrouw","mp",2,"commons","Ik wil kort opmerken dat de heer Koopmans zijn stem wel kan <em>verheffen</em>, maar hij heeft wel een probleem. Hij heeft namelijk het hele gebiedsontwikkelingsproces stopgezet. Ik heb nog een volgende vraag, over de gezinsbedrijven. De megastallen – ik noem het voorbeeld van Horst aan de Maas met 1,3 miljoen kippen – zullen juist de gezinsbedrijven verder verdrijven. Mijnheer Koopmans, wat doet uw partij eraan om juist de gezinsbedrijven in de race te houden?"
"nl.proc.ob.d.h-tk-20112012-52-9.1.25.1","nl.proc","speech",0.58485544,"2012-02-09","Berman","EP/PvdA","De heer","mp",2,"commons"," essentiële waarden van de burgers, voor de essentiële waarden van de samenleving van dit land. Hij hoort die te verdedigen en hij hoort zich uit te spreken op het moment dat die waarden fundamenteel worden aangevallen: door een oproep tot anonieme inzendingen, het tot deugd <em>verheffen</em> van lafheid, door een oproep tot het wegzetten van bevolkingsgroepen, die heel duidelijk discriminerend is en niks anders dan dat. Dat verbaast mij en dat schokt me, zeker ook van een liberaal zoals deze premier."
"nl.proc.ob.d.h-tk-20062007-2875-2915.1.24.1","nl.proc","speech",0.58485544,"2007-03-14","Ouwehand","PvdD","Mevrouw","mp",10,"commons"," uitstoot van CO2-gassen met 20%; overwegende dat de intensieve veehouderij niet alleen negatieve effecten heeft op het milieu, maar ook op het welzijn van dieren en op de wereldvoedselverdeling; verzoekt de regering, de afbouw van de intensieve veehouderij in de EU tot speerpunt te <em>verheffen</em> van het klimaatbeleid, en gaat over tot de orde van de dag. Deze motie is voorgesteld door het lid Ouwehand. Naar mij blijkt, wordt zij voldoende ondersteund. Zij krijgt nr. 341 ( 21501-20 )."
"nl.proc.ob.d.h-tk-20072008-5575-5587.1.8.3","nl.proc","speech",0.57897735,"2008-04-22","Vos","PvdA","Mevrouw","mp",2,"commons","Dat is zo. In het amendement staat dat accountants niet mogen adviseren bij controlecliënten, maar men zegt dat de praktijk nog strenger is. Je zou dan de praktijk tot wettelijke norm kunnen <em>verheffen</em>. Die zou dan nog wat strenger uitvallen dan de voorstellen die in het amendement worden gedaan. Ik weet dat niet, dus ik ben benieuwd naar de"
"nl.proc.ob.d.h-tk-20092010-64-5630.1.6.1","nl.proc","speech",0.46788436,"2010-03-17","Dibi","GroenLinks","De heer","mp",2,"commons"," Marokkaans-Nederlandse jongeren in de wijken en gemeenten zelf worden opgelost. Ik heb sterk de indruk dat wij met dit soort spoeddebatten de lokale democratie eigenlijk failliet verklaren en onszelf <em>verheffen</em> tot nationale gemeenteraad. Als de Kamer elk incident in elke wijk verheft tot een nationaal debat, wat moeten al die mensen in al die"
"nl.proc.ob.d.h-tk-20122013-40-6.1.4.1","nl.proc","speech",0.46788436,"2013-01-16","De Graaf","PVV","De heer","mp",10,"commons",", als we het duurzaamheidsbeleid dat leidt tot dit biobrandstoffenbeleid tot wetenschap <em>verheffen</em>, dan moeten we misschien wel achteraf ook de ontwikkelingen rond de Biostabiel, alsook Jomanda, Lou de Palingboer en nog een aantal anderen de Nobelprijs voor de Geneeskunde geven. Om een einde aan die onzin te maken, dien ik twee moties in. Motie De"
"nl.proc.ob.d.h-tk-20102011-90-3.1.9.1","nl.proc","speech",0.46788436,"2011-06-08","Dijkgraaf","SGP","De heer","mp",3,"commons","Voorzitter. Waar gaat het nu eigenlijk om? In dit debat wordt veel gesproken over netneutraliteit. Ik benadruk dat het doel de keuzevrijheid van de consument is. Netneutraliteit is een middel om dit doel te bereiken. Laten wij oppassen dat wij het middel niet tot doel <em>verheffen</em>. De SGP-fractie wil in dit debat vooral stilstaan bij de wijze waarop"
"nl.proc.ob.d.h-tk-20102011-55-7.1.3.1","nl.proc","speech",0.46788436,"2011-03-01","Klaver","GroenLinks","De heer","mp",4,"commons","Voorzitter. Na het advies van de Wetenschappelijke Raad voor het Regeringsbeleid in 2006 is iedereen ervan overtuigd dat de sociale zekerheid er niet alleen is om te verzekeren, maar vooral om te <em>verheffen</em>, behalve dan deze staatssecretaris. Hij gaat niet meer uit van het individu, maar van het gezin. De bijstand wordt namelijk gekoppeld aan het"
"nl.proc.ob.d.h-tk-20142015-109-4.1.4.4","nl.proc","speech",0.46788436,"2015-09-08","Hachchi","D66","Mevrouw","mp",2,"commons","Ook mevrouw Hachchi zou haar stem niet willen <em>verheffen</em>, maar dat heeft te maken met de beantwoording door deze minister. De minister geeft aan dat de informatie bekend was bij het ministerie, maar dat klopt niet met de reactie die wij eerder van de minister hebben gehad, namelijk in oktober 2014, toen de minister aangaf dat er geen rapporten zijn"
"nl.proc.ob.d.h-tk-20142015-75-3.1.4.2","nl.proc","speech",0.46788436,"2015-04-14","Rutte","VVD","De heer","mp",2,"commons"," gekkenhuis is in de huisartsenpraktijk? Als twee derde het kan, dan moet het toch mogelijk zijn om die twee minuten ook voor de niet-spoedeisende zorg tot norm te <em>verheffen</em>? Wil de minister zich ook daarvoor inzetten?  De IGZ heeft de afgelopen jaren activiteiten ondernomen om er in ieder geval voor te zorgen dat de bereikbaarheid van de huisartsen voor"
