"id","index","type","score","date","speaker","party","function","role","paragraphs_count","house","highlight text"
"nl.proc.ob.d.h-tk-20082009-3993-3997.1.6.26","nl.proc","speech",0.8384822,"2009-01-27","Anker","ChristenUnie","De heer","mp",2,"commons","Voorzitter. Dank u wel. Ik kom nu op mijn vraag. Kan de minister-president aangeven of volgens hem iets is veranderd in die context? Is de <em>vrijheid</em> van meningsuiting nu daadwerkelijk kleiner geworden of hebben wij alleen te maken met een toetsmoment van die <em>vrijheid</em> van meningsuiting?"
"nl.proc.ob.d.h-tk-20082009-5728-5746.1.9.33","nl.proc","speech",0.8384822,"2009-04-02","Karabulut","SP","Mevrouw","mp",2,"commons","Dank u, voorzitter. Als er één partij is die de landen van herkomst aanspreekt op hun verantwoordelijkheid, die sancties wil opleggen aan die landen om zo een einde te maken aan die ongewenste beïnvloeding, dan is het de SP wel. Het is dus lariekoek wat u zegt. Wat u doet, is gewoon ouders de <em>vrijheid</em> ontnemen, de <em>vrijheid</em> om te gaan voor het Nederlanderschap."
"nl.proc.ob.d.h-tk-20102011-99-6.1.8.1","nl.proc","speech",0.828598,"2011-06-29","Van Bommel","SP","De heer","mp",10,"commons","Voorzitter. Mijn motie gaat over de prioriteiten in het mensenrechtenbeleid. Motie De Kamer, gehoord de beraadslaging, constaterende dat het Nederlandse mensenrechtenbeleid prioriteit geeft aan de <em>vrijheid</em> van meningsuiting; van oordeel dat het kracht bijzetten van de <em>vrijheid</em> van vereniging en <em>vrijheid</em> van vergadering ook door de Nederlandse"
"nl.proc.ob.d.h-tk-20052006-3037-3042.1.6.4","nl.proc","speech",0.7843283,"2006-02-07","Herben","LPF","De heer","mp",2,"commons","Ik steun van harte het betoog over de <em>vrijheid</em> van meningsuiting van mevrouw Halsema. De minister-president heeft net gezegd dat de politiek niet gaat over de inhoud van de <em>vrijheid</em> van meningsuiting. Laat dit duidelijk zijn: op het moment dat de politiek grenzen gaat stellen aan de <em>vrijheid</em> van meningsuiting is het geen <em>vrijheid</em> meer. Niet aan"
"nl.proc.ob.d.h-tk-20092010-27-2471.1.7.55","nl.proc","speech",0.7336719,"2009-11-19","Graus","PVV","De heer","mp",2,"commons","Deze wortels mogen niet leiden tot belemmering van mensen die een andere mening zijn toegedaan, noch van winkeliers, noch van consumenten, noch van degenen die op zondag willen werken, wat voor velen geldt. De heer Van der Vlies weet ook dat wij voor <em>vrijheid</em> van godsdienst zijn. Wij zijn echter fel tegen ritueel slachten van dieren. <em>Vrijheid</em> van godsdienst mag nooit leiden tot dierenmishandeling of een belemmering van andere mensen."
"nl.proc.ob.d.h-tk-20142015-21-12.1.6.4","nl.proc","speech",0.7336719,"2014-11-06","Voortman","GroenLinks","Mevrouw","mp",2,"commons","Ik hoor geluiden dat wijkverpleegkundigen niet alle informatie hebben en niet de <em>vrijheid</em> hebben om voor een pgb te indiceren. Ik krijg graag de bevestiging van de staatssecretaris dat zij altijd die <em>vrijheid</em> moeten hebben.  We hebben het gehad over de campagne over de veranderingen in de zorg. Ik vraag het kabinet om ons te informeren hoeveel deze campagne gekost heeft. Ik kan dat namelijk niet vinden in de VWS-begroting."
"nl.proc.ob.d.h-tk-20122013-33-14.1.30.1","nl.proc","speech",0.6862872,"2012-12-11","Klaver","GroenLinks","De heer","mp",2,"commons","Voorzitter. Ik krijg het gevoel dat artikel 23 en de <em>vrijheid</em> van onderwijs in deze kabinetsperiode een belangrijk thema kunnen worden. Dat is terecht. Er is eindelijk een meerderheid die daar niet dogmatisch naar kijkt, maar die volgens mij vindt dat de <em>vrijheid</em> van onderwijs terug moet naar waarvoor zij bedoeld is: de <em>vrijheid</em> om een school te"
"nl.proc.ob.d.h-tk-20052006-4263-4283.1.7.85","nl.proc","speech",0.6862872,"2006-04-05","Crone","null","De heer","mp",2,"commons","Ik ben ontzettend voor <em>vrijheid</em>, maar als een echte liberaal zou ik zeggen dat de <em>vrijheid</em> van de één niet ten koste mag gaan van de <em>vrijheid</em> van de ander. Als de <em>vrijheid</em> van de banken inhoudt dat zij een zodanige machtspositie hebben dat zij de efficiencyvoordelen kunnen binnenhalen door bankkantoren te sluiten ten koste van de <em>vrijheid</em> van"
"nl.proc.ob.d.h-tk-20152016-25-23.1.6.1","nl.proc","speech",0.6862872,"2015-11-17","Veldman","VVD","De heer","mp",3,"commons","Voorzitter. De aanslagen afgelopen vrijdag in Parijs hebben ons allemaal geschokt: een brute en laffe aanslag op onschuldige mensen die niets meer deden dan genieten van onze <em>vrijheid</em>, de <em>vrijheid</em> om een concert te bezoeken, de <em>vrijheid</em> om een terrasje te pakken of de <em>vrijheid</em> om naar een sportwedstrijd te gaan. Wij zullen met elkaar voor onze"
"nl.proc.ob.d.h-tk-20092010-27-2471.1.7.39","nl.proc","speech",0.66803706,"2009-11-19","Van der Vlies","SGP","De heer","mp",4,"commons"," hun bijdrage aan het debat uitdrukkelijk aandacht vroegen voor de <em>vrijheid</em> voor winkeliers, consumenten en gemeenten. In hun ogen zou de Winkeltijdenwet een keurslijf zijn. Daarmee stelden zij een belangrijk punt aan de orde. De heer Van der Ham refereerde aan het SER-advies over de Winkelsluitingswet uit 1986. Dat betrof toen een heel andere"
"nl.proc.ob.d.h-tk-20102011-45-4.1.6.69","nl.proc","speech",0.6628784,"2011-01-27","Wilders","PVV","De heer","mp",2,"commons","Laat ik daar maar niet op reageren. Voorzitter. Ik rond af. De Partij voor de <em>Vrijheid</em> is altijd helder geweest in haar standpunten. Wij zijn dat ook nu, zeg ik tegen de heer Pechtold, inzake Afghanistan. Wij gaan geen corrupt regime ondersteunen, dat gebaseerd is op de islam, dat de taliban niet bestrijdt, dat de drugshandel ongemoeid laat, dat"
"nl.proc.ob.d.h-tk-20062007-5260-5319.1.16.2","nl.proc","speech",0.6628784,"2007-09-06","Wilders","PVV","De heer","mp",11,"commons","Mevrouw de voorzitter. De tweede motie gaat over het verbieden van de Koran. Ik zal niet al mijn argumenten herhalen, maar zij komen erop neer dat de Koran niet alleen een verschrikkelijk boek is, maar ook in strijd is met alles waar wij achter staan. De Koran is in strijd met onze democratische rechtsstaat. Wij vergroten onze <em>vrijheid</em> van"
"nl.proc.ob.d.h-tk-20052006-4033-4034.1.7.1","nl.proc","speech",0.6628784,"2006-03-28","Van der Ham","D66","De heer","mp",2,"commons","Voorzitter. Ik geef een stemverklaring vanuit sociaal-liberaal perspectief. De <em>vrijheid</em> van meningsuiting is een elementair recht dat overal moet worden uitgedragen, bijvoorbeeld ook in Jemen. Dat de minister dus een artikel over de <em>vrijheid</em> van meningsuiting schrijft in uitgerekend de Yemen Times, is alleen maar goed. Dan moet het echter ook een"
"nl.proc.ob.d.h-tk-20052006-3927-3952.1.13.1","nl.proc","speech",0.64609396,"2006-03-22","Herben","LPF","De heer","mp",7,"commons","Voorzitter. Speciaal voor collega Van der Ham wil ik beginnen met een historische anekdote. Ik ga terug naar 1574 toen het Spaanse leger Leiden belegerde. Het stadsbestuur liet toen noodgeld drukken met in het Latijn de tekst: \"dit is voor de <em>vrijheid</em>\". Een aantal predikanten protesteerde daartegen. Naar hun mening diende het opschrift te luiden"
"nl.proc.ob.d.h-tk-20052006-5259-5294.1.17.82","nl.proc","speech",0.64182925,"2006-06-06","Van Dam","PvdA","De heer","mp",2,"commons"," <em>vrijheid</em> moeten hebben om te besluiten of zij hun studie willen bekostigen door geld te lenen dan wel door bij te werken. De staatssecretaris en de meerderheid van de Kamer hebben herhaaldelijk benadrukt dat de studenten de <em>vrijheid</em> hebben om te bepalen of zij geld lenen. Daar hoort ook de <em>vrijheid</em> tegenover te staan dat je je studie ook kunt bekostigen"
"nl.proc.ob.d.h-tk-20092010-1184-1223.1.11.19","nl.proc","speech",0.64182925,"2009-10-27","Gerkens","SP","Mevrouw","mp",2,"commons","Nee, het is waar. De heer Van der Ham heeft alleen maar gesuggereerd dat de zondagopenstelling ook een mooie sociale werkplaats is. Daar heb ik tegen geageerd. Maar mevrouw Van Gent zegt dat zij niet het standpunt van de vakbond hoeft over te nemen. Dat is zo. Het gaat wel om 40.000 handtekeningen. Zij zegt dat het gaat om de <em>vrijheid</em> van de"
"nl.proc.ob.d.h-tk-20072008-6010-6037.1.11.18","nl.proc","speech",0.64182925,"2008-05-20","Van Haersma Buma","CDA","De heer","mp",2,"commons","Dat kan ik met de argumenten die wij toen ook hebben gebruikt. Deze motie wekte de indruk dat de <em>vrijheid</em> van meningsuiting in dit land onvoldoende wordt beschermd. De <em>vrijheid</em> van meningsuiting wordt beschermd en hoort, gezien de Grondwet, ook beschermd te worden door de regering. Overigens was de verklaring van de kunstenaars duidelijk gericht"
"nl.proc.ob.d.h-tk-20072008-6010-6037.1.13.1","nl.proc","speech",0.64182925,"2008-05-20","Verdonk","Verdonk","Mevrouw","mp",2,"commons","Voorzitter. De <em>vrijheid</em> van meningsuiting is de hoeksteen van onze samenleving. Een man kiest ervoor om op zijn eigen artistieke manier een oordeel te geven over deze samenleving. Hij heeft zo'n angst voor de dreiging met geweld van bepaalde bevolkingsgroepen dat hij ervoor kiest om te leven onder een alias. Hij wil dat zijn stem op de radio wordt"
"nl.proc.ob.d.h-tk-20132014-21-11.1.18.10","nl.proc","speech",0.64182925,"2013-11-07","Ouwehand","PvdD","Mevrouw","mp",2,"commons","Ik probeerde nog een grapje te maken, maar dit wordt een vervelende discussie. Lees nou eens de Handelingen, zeg ik tegen de heer Graus. Bij de behandeling van de VWS-begroting in 2007, toen de Partij voor de Dieren net in de Kamer zat, vroeg de Partij voor de <em>Vrijheid</em> aan de PvdD: waarom hebt u het over dierproeven; deze begroting gaat toch over"
"nl.proc.ob.d.h-tk-20112012-96-5.1.22.49","nl.proc","speech",0.64182925,"2012-06-14","Aptroot","VVD","De heer","mp",2,"commons","Wij zijn niet voor onbeperkte <em>vrijheid</em>, altijd. Die geldt bijvoorbeeld niet voor een burger die een andere burger de hersens wil inslaan; dan willen we diens <em>vrijheid</em> ook afnemen. Wij willen ook niet de onbeperkte <em>vrijheid</em> voor overheden om maar bedrijfje te gaan spelen. We weten allemaal wat voor drama's daarvan komen: private bedrijven uit de"
"nl.proc.ob.d.h-tk-20072008-5519-5522.1.5.1","nl.proc","speech",0.64182925,"2008-04-17","De Roon","PVV","De heer","mp",10,"commons","Voorzitter. Ik ben van mening dat de mensenrechten en de <em>vrijheid</em> van meningsuiting onvoldoende tot uiting komen in het mensenrechtenbeleid zoals de regering dit in de stukken heeft verwoord. Daarom dien ik de volgende motie in. De Kamer, gehoord de beraadslaging, overwegende dat het genot van de mensenrechten slechts gewaarborgd kan worden in een"
"nl.proc.ob.d.h-tk-20072008-5519-5522.1.8.4","nl.proc","speech",0.64182925,"2008-04-17","De Roon","PVV","De heer","mp",2,"commons","Ik zal erover nadenken, maar ik zal dat op dit moment in ieder geval niet doen. Ik heb uit de bewoordingen van de minister, ook in het AO, al begrepen dat er wel het een en ander wordt gedaan aan de <em>vrijheid</em> van meningsuiting in zijn mensenrechtenbeleid. Maar in de mensenrechtenstrategie, het document en de actiepuntenlijst, zie ik daar heel"
"nl.proc.ob.d.h-tk-20142015-104-23.1.3.1","nl.proc","speech",0.64182925,"2015-07-02","Beertema","PVV","De heer","mp",11,"commons"," de IUR opereert, haaks staat op al onze gedeelde westerse waarden van <em>vrijheid</em> en democratie;  van mening dat het tot de kerntaken van het onderwijs behoort om studenten kritisch te leren denken vanuit onze traditie van <em>vrijheid</em> van meningsuiting, seksegelijkheid, individuele <em>vrijheid</em> en verantwoordelijkheid, wederkerigheid, tolerantie en respect"
"nl.proc.ob.d.h-tk-20062007-5260-5319.1.4.34","nl.proc","speech",0.6353786,"2007-09-06","Wilders","PVV","De heer","mp",5,"commons","Ik had u niet gevraagd om het toe te lichten. Ik zei alleen dat het weer onbegrijpelijk was. De eerste vraag was waarom het boek verboden moet worden en hoe dat zich verhoudt tot de <em>vrijheid</em> van meningsuiting en de <em>vrijheid</em> van godsdienst, zo voeg ik er zelf aan toe. Ik denk dat juist het verbieden van de Koran niet alleen de democratische"
"nl.proc.ob.d.h-tk-20142015-42-5.1.16.1","nl.proc","speech",0.6353786,"2015-01-15","Verheijen","VVD","De heer","mp",13,"commons"," economische belangen en de geopolitieke samenwerking met Turkije in die belangrijke regio. Daarbij gaat het ook over de samenwerking Cyprus en met Armenië, waarover zojuist is gesproken. Volgens mij is er genoeg te winnen in de relatie met Turkije en hebben we daar beide belang bij.  Wij hebben uitgebreid gesproken over de persvrijheid en de <em>vrijheid</em> van"
"nl.proc.ob.d.h-tk-20092010-25-2253.1.12.2","nl.proc","speech",0.62886167,"2009-11-17","Haverkamp","CDA","De heer","mp",2,"commons","Ik kom nog even terug op Iran. De heer De Roon vraagt de Nederlandse regering om mensen in Iran te steunen bij het verkrijgen van <em>vrijheid</em>. Hij weet dat de mensen in Iran meestal moslim zijn. Blijkbaar zijn er dus volgens hem ook moslims die streven naar <em>vrijheid</em>. Kan hij dat bevestigen? Verder stelt de heer De Roon voor om alle diplomatieke banden met Iran te verbreken. Juist de oppositie in Iran vraagt ons om te blijven, zodat wij haar kunnen ondersteunen. Hoe reageert de heer De Roon daarop?"
"nl.proc.ob.d.h-tk-20102011-73-2.1.6.41","nl.proc","speech",0.62886167,"2011-04-13","Thieme","PvdD","Mevrouw","mp",2,"commons","Zeker vanuit het standpunt van mevrouw Wiegman begrijp ik dat zij heel graag het debat met mij wil aangaan over de proportionaliteit en de verhouding tussen dierenwelzijnsbelangen en de <em>vrijheid</em> van godsdienst. Ik vraag mevrouw Wiegman om daar nog even geduld voor te hebben, want ik ga ook in op de proportionaliteit en op dierenwelzijnsbelangen"
"nl.proc.ob.d.h-tk-20132014-66-23.1.9.15","nl.proc","speech",0.62886167,"2014-03-25","Marcouch","PvdA","De heer","mp",2,"commons","Zeker, dit zijn heel belangrijke punten. Ik vind dat wij met dit soort wetten en met de inzet van dit soort middelen uiteindelijk alle mensen die deugen, beschermen. Zij worden al aangetast in hun <em>vrijheid</em> en veiligheid door overlastveroorzakers of criminelen. Het mag dan niet zo zijn dat de middelen die de overheid inzet, die <em>vrijheid</em> en veiligheid nog meer aantasten. Wij moeten die mensen beschermen, in de eerste plaats in hun privacy. Ik weet niet hoe het met de spreektijd zit, maar ik heb nog twee puntjes."
"nl.proc.ob.d.h-tk-20102011-100-7.1.9.6","nl.proc","speech",0.62886167,"2011-06-30","Azmani","VVD","De heer","mp",2,"commons","Ik leg de bal niet bij het kabinet. Het is nu aan het kabinet en de VNG en het was aan het kabinet en de VNG om te komen tot een bestuursakkoord. Dan de signalen. Mevrouw Hamer weet dat de VVD een liberale partij is en dat er <em>vrijheid</em> van meningsuiting is en de individuele <em>vrijheid</em> om keuzes te maken en te handelen naar eigen goeddunken. Dat doe ik in mijn rol als volksvertegenwoordiger en ik kan me voorstellen dat collega's van VVD-huize dat doen in hun rol als wethouder."
"nl.proc.ob.d.h-tk-20072008-4924-4937.1.13.1","nl.proc","speech",0.62886167,"2008-04-01","Rutte","VVD","De heer","mp",3,"commons"," misschien nog meer dan over de vraag of wij tot oplossingen zouden komen voor die vraagstukken van de radicale islam en van de gebrekkige integratie is dit debat gegaan over twee vrijheden. In de eerste plaats ging het over de <em>vrijheid</em> van meningsuiting. Ik zeg het nog maar eens dat die <em>vrijheid</em> alleen vooraf beperkt kan worden door de"
"nl.proc.ob.d.h-tk-20122013-65-9.1.12.9","nl.proc","speech",0.62886167,"2013-03-21","Straus","VVD","Mevrouw","mp",2,"commons","Dat is nu juist niet het systeem waar ik naartoe wil. Vandaar dat ik een pleidooi houd om te komen tot een systeem van leerwinst. Dat hebben wij nu inderdaad nog niet. Tot die tijd moeten wij daarom werken met wat wij nu hebben. En dat is het voorstel dat nu voorligt: een centrale eindtoets en een leerlingvolgsysteem. De heer Van Dijk vind het raar dat wij, een liberale partij, voor een centrale eindtoets zijn. Maar, mijnheer Van Dijk, <em>vrijheid</em> is geen blijheid. <em>Vrijheid</em> is verantwoordelijkheid."
"nl.proc.ob.d.h-tk-20082009-2094-2117.1.7.7","nl.proc","speech",0.62886167,"2008-11-18","Wilders","PVV","De heer","mp",2,"commons","Oké, dan doe ik het dadelijk nog een keer. Voorzitter. Ik rond af. De fractie van de Partij voor de <em>Vrijheid</em> vindt het van groot belang dat niet alleen de banken en de verzekeraars, maar ook de gewone burger, de gewone man, de gewone vrouw, een steuntje in de rug krijgen. Minister Bos geeft miljarden aan banken en geeft miljarden aan verzekeraars"
"nl.proc.ob.d.h-tk-20052006-3240-3243.1.4.26","nl.proc","speech",0.62886167,"2006-02-14","Van Baalen","VVD","De heer","mp",2,"commons","De VVD-fractie is het met de heer Wilders eens dat de <em>vrijheid</em> van meningsuiting en de <em>vrijheid</em> van drukpers voorop dienen te staan. Ik steun zijn verzoek om een brief dan ook. Ik krijg graag meer duidelijkheid over de vraag of de heer Solana met de regeringen heeft overlegd. Hij spreekt immers namens de regeringen. Op 23 februari vindt er een"
"nl.proc.ob.d.h-tk-20052006-5197-5203.1.6.4","nl.proc","speech",0.59289646,"2006-06-01","Van der Ham","D66","De heer","mp",2,"commons","Ik ben altijd blij verrast als ik de heer Van Beek weer zie. Mag ik constateren dat deze visie een schaduw vooruit werpt op andere vormen van lokaal bestuur, waarbij gemeenten meer <em>vrijheid</em> krijgen, bijvoorbeeld als het gaat om de gekozen burgemeester?"
"nl.proc.ob.d.h-tk-20052006-3927-3952.1.25.1","nl.proc","speech",0.59289646,"2006-03-22","Herben","LPF","De heer","mp",3,"commons","Ik ben diep teleurgesteld dat de bewindslieden mijn oproep niet hebben gevolgd om te onderstrepen dat de <em>vrijheid</em> van meningsuiting de enige manier is om te komen tot een dialoog. Niet de <em>vrijheid</em> van meningsuiting moet worden onderworpen aan allerlei toezicht, maar de godsdienstvrijheid moet kritisch worden bekeken. De godsdienstvrijheid mag niet"
"nl.proc.ob.d.h-tk-20072008-6569-6591.1.11.34","nl.proc","speech",0.59289646,"2008-06-05","Wiegman-van Meppelen Scheppink","ChristenUnie","Mevrouw","mp",2,"commons","Hier, in deze Kamer, moet in <em>vrijheid</em> gediscussieerd worden. De afspraken van kabinet en coalitie zijn echter vastgelegd in het coalitieakkoord. Er ligt een medisch-ethische brief van het kabinet voor. De discussie moet gevoerd worden binnen die heel belangrijke kaders."
